tok	miss	routed	M	coldGate	totGate	margin
0	22	320	1	-70.51758	-972.17456	11.8359375
1	52	320	1	-173.94873	-1043.214	9.140625
2	30	320	1	-112.178955	-1224.4421	13.4375
3	41	320	1	-139.13477	-1049.9912	11.296875
4	33	320	1	-113.03125	-1054.013	2.703125
5	7	320	1	-21.088867	-1133.728	11.4453125
6	13	320	1	-39.23242	-999.93945	8.578125
7	14	320	1	-39.864258	-972.583	12.921875
8	8	320	1	-27.702148	-1233.6543	9.9921875
9	15	320	1	-50.430664	-1203.6455	5.4609375
10	5	320	1	-19.966797	-1205.1289	13.71875
11	45	320	1	-177.05469	-1256.7002	14.390625
12	19	320	1	-59.737793	-1081.4362	8.796875
13	36	320	1	-109.43457	-1113.4961	10.5
14	24	320	1	-76.680664	-1149.9497	10.46875
15	6	320	1	-17.796875	-1030.5898	10.546875
16	13	320	1	-41.48828	-975.4346	12.53125
17	25	320	1	-83.03711	-1129.3115	16.671875
18	10	320	1	-36.54297	-1130.417	6.265625
19	21	320	1	-82.21094	-1243.7549	11.046875
20	10	320	1	-39.59375	-1233.2285	12.46875
21	17	320	1	-63.626953	-1236.4062	3.703125
22	29	320	1	-105.20703	-1203.4551	12.1875
23	32	320	1	-119.788574	-1187.106	4.53125
24	14	320	1	-45.47461	-1199.0215	6.140625
25	14	320	1	-52.359375	-1239.7129	12.421875
26	20	320	1	-80.80664	-1227.1826	10.34375
27	11	320	1	-38.97461	-1229.7441	15.84375
28	12	320	1	-48.853516	-1252.3984	15.0
29	463	3520	11	0.0	0.0	5.765625
30	14	320	1	-50.42383	-1226.9795	14.703125
31	13	320	1	-45.99414	-1231.5977	1.5625
32	24	320	1	-85.791016	-1246.5117	16.328125
33	9	320	1	-35.583984	-1239.5957	14.234375
34	8	320	1	-31.038086	-1263.2354	14.015625
35	10	320	1	-39.521484	-1273.6914	14.359375
36	644	5440	17	0.0	0.0	0.34375
37	24	320	1	-77.07568	-1242.271	6.203125
38	13	320	1	-46.152344	-1197.5039	14.5
39	8	320	1	-30.269531	-1247.7461	4.109375
40	13	320	1	-44.820312	-1175.9678	13.40625
41	19	320	1	-70.91406	-1215.7363	13.5
42	18	320	1	-73.00781	-1266.9092	13.6875
43	604	4800	15	0.0	0.0	0.3125
44	39	320	1	-150.42188	-1202.1035	13.640625
45	42	320	1	-153.99805	-1192.419	0.703125
46	33	320	1	-116.146484	-1206.126	10.828125
47	50	320	1	-178.82715	-1189.2373	3.53125
48	39	320	1	-140.8584	-1177.2832	12.890625
49	42	320	1	-145.64258	-1196.1758	2.84375
50	32	320	1	-113.072266	-1235.9648	6.546875
51	40	320	1	-144.45996	-1228.5225	5.28125
52	64	320	1	-228.25488	-1193.1865	0.609375
53	36	320	1	-126.65039	-1225.293	4.140625
54	14	320	1	-43.64746	-1015.9619	9.625
55	24	320	1	-75.265625	-1091.5127	13.46875
56	15	320	1	-54.47168	-1240.1719	10.140625
57	32	320	1	-124.84277	-1276.2627	11.125
58	18	320	1	-69.52734	-1214.8232	4.921875
59	55	320	1	-209.14844	-1241.042	10.9375
60	31	320	1	-101.79883	-1149.6318	1.78125
61	30	320	1	-111.76172	-1274.6973	14.265625
62	23	320	1	-84.68457	-1212.9668	1.625
63	12	320	1	-38.958984	-1226.5654	3.328125
64	15	320	1	-52.316406	-1241.8975	13.671875
65	10	320	1	-37.283203	-1118.2017	13.671875
66	15	320	1	-58.00586	-1246.8994	8.3125
67	534	5440	17	0.0	0.0	3.359375
68	36	320	1	-131.28418	-1244.4697	8.03125
69	23	320	1	-83.73828	-1284.9443	4.78125
70	26	320	1	-86.018555	-1272.1807	11.59375
71	10	320	1	-29.189453	-1212.041	4.171875
72	35	320	1	-124.697266	-1210.7988	5.109375
73	23	320	1	-86.52539	-1227.165	11.34375
74	46	320	1	-171.18848	-1283.8525	6.5625
75	54	320	1	-199.53418	-1253.1064	12.4375
76	25	320	1	-86.125	-1212.7905	7.9375
77	15	320	1	-59.998047	-1224.8828	11.96875
78	39	320	1	-139.33496	-1221.4766	1.140625
79	21	320	1	-77.396484	-1212.7588	16.140625
80	19	320	1	-71.78711	-1251.8877	13.875
81	707	5440	17	0.0	0.0	2.859375
82	11	320	1	-37.655273	-1228.5244	0.546875
83	12	320	1	-41.503906	-1266.8408	8.203125
84	14	320	1	-52.16797	-1213.4785	3.75
85	31	320	1	-111.947266	-1125.8848	12.4375
86	27	320	1	-101.4043	-1213.666	2.234375
87	51	320	1	-203.87305	-1279.6289	13.6875
88	35	320	1	-119.82178	-1211.9585	9.40625
89	25	320	1	-92.18652	-1200.166	2.71875
90	49	320	1	-182.8457	-1217.9854	12.46875
91	74	320	1	-279.8003	-1244.9507	2.6875
92	41	320	1	-154.0332	-1221.0566	2.59375
93	40	320	1	-158.96289	-1288.1787	11.109375
94	47	320	1	-186.61719	-1270.9951	14.765625
95	70	320	1	-278.6875	-1259.1309	8.140625
96	42	320	1	-155.64355	-1241.6221	12.78125
97	53	320	1	-200.78418	-1224.6943	9.75
98	39	320	1	-146.9707	-1204.7451	2.140625
99	115	320	1	-416.87305	-1241.3848	10.96875
100	74	320	1	-280.85156	-1214.5381	4.75
101	135	320	1	-460.80664	-1148.919	2.09375
102	141	320	1	-519.71387	-1240.8936	5.015625
103	100	320	1	-376.0039	-1230.2285	0.15625
104	68	320	1	-244.46289	-1211.0596	4.859375
105	106	320	1	-405.40625	-1238.2812	0.34375
106	156	320	1	-568.7969	-1217.1348	3.15625
107	141	320	1	-520.1533	-1236.3721	2.046875
108	157	320	1	-588.2783	-1221.5928	1.921875
109	129	320	1	-480.43945	-1230.8887	3.546875
110	166	320	1	-603.9375	-1250.0835	6.890625
111	151	320	1	-585.8086	-1278.4102	4.03125
112	130	320	1	-495.01562	-1227.2109	2.515625
113	169	320	1	-622.3711	-1240.8477	9.890625
114	167	320	1	-655.31836	-1286.166	2.21875
115	113	320	1	-435.70703	-1280.2812	12.7421875
116	65	320	1	-253.12793	-1255.4209	15.8125
117	54	320	1	-213.65234	-1257.6084	10.71875
118	66	320	1	-260.98828	-1253.834	6.8125
119	53	320	1	-200.89062	-1262.3008	11.4375
120	67	320	1	-257.03223	-1256.1338	9.09375
121	60	320	1	-229.90234	-1259.3418	10.15625
122	80	320	1	-299.08398	-1250.8438	1.71875
123	101	320	1	-362.38672	-1204.1387	0.171875
124	108	320	1	-409.2666	-1243.9463	5.28125
125	133	320	1	-524.8828	-1319.2773	5.03125
126	109	320	1	-415.72754	-1244.71	0.296875
127	77	320	1	-297.87793	-1276.0674	7.140625
128	64	320	1	-243.81934	-1243.3291	0.328125
129	43	320	1	-166.83594	-1303.9707	12.34375
130	63	320	1	-242.46094	-1264.874	11.421875
131	53	320	1	-199.47363	-1260.9053	11.28125
132	66	320	1	-256.33398	-1263.7881	3.421875
133	58	320	1	-220.03027	-1276.874	10.765625
134	65	320	1	-252.50586	-1285.0566	2.640625
135	70	320	1	-268.04297	-1236.7471	2.5625
136	100	320	1	-392.77344	-1249.6875	4.15625
137	154	320	1	-578.9678	-1245.4072	0.390625
138	155	320	1	-590.36035	-1278.6631	5.296875
139	143	320	1	-533.23535	-1265.2549	1.515625
140	146	320	1	-549.8047	-1258.5566	0.46875
141	156	320	1	-556.0742	-1208.9639	0.59375
142	135	320	1	-491.02148	-1214.7832	0.671875
143	67	320	1	-257.85938	-1249.748	11.0
144	35	320	1	-116.947266	-1159.8203	12.515625
145	21	320	1	-80.8457	-1241.4004	2.0
146	34	320	1	-129.34961	-1228.7969	2.875
147	53	320	1	-205.06543	-1283.9219	12.5625
148	45	320	1	-177.09961	-1261.5781	1.09375
149	136	320	1	-506.4453	-1245.0879	1.453125
150	187	320	1	-666.35254	-1181.9131	0.4921875
151	149	320	1	-554.21875	-1238.1172	1.328125
152	82	320	1	-313.92578	-1255.9297	1.71875
153	116	320	1	-450.05273	-1268.8027	5.046875
154	150	320	1	-564.44336	-1253.3711	3.3515625
155	205	320	1	-731.8086	-1159.7734	4.1328125
156	154	320	1	-596.2637	-1279.2773	5.9140625
157	87	320	1	-332.60938	-1281.6357	0.609375
158	41	320	1	-146.88086	-1199.2764	8.265625
159	26	320	1	-102.43359	-1260.124	12.046875
160	25	320	1	-100.43945	-1268.8711	8.359375
161	51	320	1	-198.99219	-1245.459	2.734375
162	86	320	1	-337.2246	-1300.3174	9.203125
163	67	320	1	-267.70312	-1270.248	5.703125
164	152	320	1	-584.6621	-1258.8789	1.875
165	1514	5120	16	0.0	0.0	6.375
167	102	320	1	-386.08496	-1247.2314	0.0625
168	115	320	1	-424.94434	-1233.04	1.90625
169	49	320	1	-175.0752	-1228.4546	1.734375
170	84	320	1	-307.47168	-1232.4385	0.359375
171	49	320	1	-191.98633	-1240.8984	2.25
172	55	320	1	-214.06055	-1256.4834	1.359375
173	69	320	1	-260.91406	-1306.3125	3.6875
174	32	320	1	-116.44531	-1211.2695	10.1328125
175	25	320	1	-99.19531	-1247.249	14.0234375
176	26	320	1	-104.13086	-1257.7646	0.515625
177	54	320	1	-201.80469	-1267.1602	6.890625
178	33	320	1	-114.52539	-1236.375	2.125
179	66	320	1	-247.43945	-1269.3984	3.484375
180	44	320	1	-174.80078	-1277.5889	0.0625
181	96	320	1	-344.0205	-1247.4971	1.4375
182	97	320	1	-348.46875	-1244.0664	6.296875
183	73	320	1	-249.4043	-1223.3867	0.28125
184	47	320	1	-180.875	-1253.9805	0.40625
185	72	320	1	-258.94922	-1209.581	1.984375
186	132	320	1	-468.49902	-1209.8818	3.453125
187	168	320	1	-582.08594	-1158.9922	0.421875
188	128	320	1	-440.65625	-1178.3809	4.859375
189	122	320	1	-421.46484	-1196.6436	1.453125
190	84	320	1	-327.34473	-1310.7607	5.203125
191	39	320	1	-136.59277	-1227.9971	2.5625
192	137	320	1	-484.43164	-1215.834	0.90625
193	54	320	1	-202.07422	-1228.1836	0.234375
194	77	320	1	-280.0	-1223.6758	2.625
195	139	320	1	-472.0957	-1149.1289	0.609375
196	93	320	1	-334.32227	-1190.7812	1.59375
197	41	320	1	-157.2793	-1218.2969	0.96875
198	55	320	1	-200.56055	-1171.2295	0.9375
199	42	320	1	-151.68652	-1202.8936	0.0625
200	119	320	1	-417.88867	-1219.1934	0.9375
201	48	320	1	-177.1582	-1208.2891	4.25
202	49	320	1	-174.64551	-1231.1006	3.1875
203	61	320	1	-226.23438	-1239.5078	2.328125
204	86	320	1	-311.10352	-1207.1855	4.3125
205	28	320	1	-87.9126	-1046.1636	1.515625
206	32	320	1	-107.27051	-1109.5361	9.890625
207	24	320	1	-90.984375	-1258.4902	6.796875
208	36	320	1	-141.95215	-1281.1973	9.609375
209	20	320	1	-78.69922	-1254.7109	2.765625
210	15	320	1	-52.10547	-1173.2832	7.921875
211	67	320	1	-226.49219	-1212.5391	0.84375
212	24	320	1	-82.98633	-1216.8809	6.765625
213	18	320	1	-73.6875	-1234.8994	9.3359375
214	13	320	1	-43.958984	-1097.3789	11.71875
215	16	320	1	-63.240234	-1238.1338	6.71875
216	543	5440	17	0.0	0.0	6.765625
217	16	320	1	-60.384766	-1199.1738	0.578125
218	32	320	1	-113.421875	-1217.8535	3.96875
219	15	320	1	-55.876953	-1268.4316	9.703125
220	11	320	1	-42.51172	-1180.4736	11.078125
221	10	320	1	-38.46875	-1194.9658	9.9375
222	7	320	1	-28.509766	-1236.8008	3.953125
223	13	320	1	-51.679688	-1255.6875	8.25
224	7	320	1	-20.74707	-1247.3916	1.0625
225	20	320	1	-76.1582	-1259.2285	2.171875
226	11	320	1	-44.59375	-1252.5664	0.21875
227	18	320	1	-69.41992	-1221.8896	2.5625
228	13	320	1	-51.470703	-1195.1465	10.3359375
229	16	320	1	-65.96484	-1246.875	0.578125
230	23	320	1	-82.08984	-1174.9316	2.84375
231	45	320	1	-162.02832	-1222.2139	1.15625
232	18	320	1	-66.34961	-1233.709	3.65625
233	22	320	1	-87.421875	-1277.8652	1.078125
234	26	320	1	-103.427734	-1246.7568	11.921875
235	18	320	1	-69.31445	-1210.7451	11.2734375
236	16	320	1	-64.61914	-1256.0898	4.1875
237	14	320	1	-49.390625	-1202.9277	3.15625
238	15	320	1	-56.09375	-1230.7598	2.75
239	35	320	1	-123.21973	-1220.1055	0.125
240	79	320	1	-269.16016	-1226.9375	1.40625
241	57	320	1	-200.99414	-1220.4512	0.234375
242	24	320	1	-90.72266	-1243.4102	2.96875
243	83	320	1	-312.68555	-1296.5459	10.078125
244	35	320	1	-123.79199	-1242.5615	0.125
245	59	320	1	-213.19434	-1225.7754	5.0
246	41	320	1	-156.89844	-1222.207	8.734375
247	51	320	1	-185.15137	-1241.8252	1.734375
248	34	320	1	-130.71875	-1227.2363	4.0
249	57	320	1	-211.00781	-1242.2559	10.5390625
250	32	320	1	-115.83984	-1209.6865	8.921875
251	18	320	1	-68.53125	-1188.709	12.578125
252	1259	5440	17	0.0	0.0	4.25
253	18	320	1	-67.63281	-1226.4395	6.5625
254	25	320	1	-90.515625	-1272.877	7.421875
255	34	320	1	-130.29297	-1238.5947	11.9140625
256	26	320	1	-97.927734	-1183.5293	12.75
257	29	320	1	-115.12305	-1238.8809	0.125
258	518	5440	17	0.0	0.0	6.765625
259	24	320	1	-86.581055	-1210.5459	3.25
260	27	320	1	-98.043945	-1233.1045	1.640625
261	28	320	1	-109.07617	-1231.2168	7.390625
262	22	320	1	-78.34082	-1255.5576	2.21875
263	30	320	1	-113.36133	-1205.2441	14.0
264	30	320	1	-110.31836	-1178.21	12.1328125
265	32	320	1	-124.11719	-1244.3203	0.671875
266	34	320	1	-126.73242	-1247.1523	7.5625
267	34	320	1	-109.825195	-1082.7344	2.609375
268	40	320	1	-133.7168	-1116.2109	11.6953125
269	54	320	1	-212.9336	-1271.9385	7.5625
270	59	320	1	-225.05273	-1286.5576	8.21875
271	53	320	1	-203.83887	-1248.5195	10.25
272	39	320	1	-135.64844	-1163.6855	8.578125
273	30	320	1	-109.83008	-1197.1025	1.046875
274	28	320	1	-110.208984	-1286.8691	4.0
275	18	320	1	-60.7334	-1282.7974	7.234375
276	62	320	1	-241.39648	-1271.2832	11.5
277	21	320	1	-79.302734	-1268.1069	5.6875
278	15	320	1	-56.03125	-1237.7637	0.21875
279	31	320	1	-111.54492	-1214.1572	9.625
280	76	320	1	-286.4453	-1282.5938	0.984375
281	64	320	1	-225.97314	-1185.5669	0.421875
