tok	miss	routed	M	coldGate	totGate	margin
0	30	320	1	-98.703125	-1023.0303	4.5390625
1	61	320	1	-207.77734	-1055.7207	15.609375
2	14	320	1	-52.339844	-1030.0386	10.640625
3	11	320	1	-32.01953	-977.83105	13.765625
4	18	320	1	-59.69922	-1029.3682	11.578125
5	2	320	1	-6.9492188	-1209.2607	9.796875
6	19	320	1	-67.26758	-1072.416	12.125
7	12	320	1	-44.41992	-1244.7354	2.578125
8	69	320	1	-253.61914	-1251.5723	10.46875
9	38	320	1	-125.54248	-1129.5317	9.5
10	45	320	1	-166.66992	-1261.457	1.328125
11	25	320	1	-86.95996	-1169.0654	7.171875
12	10	320	1	-32.285156	-1077.8994	11.546875
13	11	320	1	-35.09961	-1016.87695	8.328125
14	14	320	1	-57.92578	-1283.915	9.625
15	7	320	1	-24.5625	-1148.1553	9.5
16	14	320	1	-51.660156	-1260.3184	4.171875
17	4	320	1	-16.214844	-1261.5078	12.90625
18	14	320	1	-55.39258	-1272.2324	3.390625
19	32	320	1	-117.48633	-1270.5215	6.78125
20	40	320	1	-151.30664	-1259.2422	12.359375
21	32	320	1	-121.17578	-1215.0156	2.1875
22	55	320	1	-202.26172	-1292.6426	12.5625
23	803	5440	17	0.0	0.0	6.25
24	14	320	1	-46.823242	-1259.1084	10.6953125
25	16	320	1	-63.748047	-1241.3145	9.296875
26	40	320	1	-157.67773	-1208.5225	16.515625
27	21	320	1	-81.375	-1245.3613	11.1875
28	648	4160	13	0.0	0.0	3.75
29	14	320	1	-53.54297	-1262.2607	11.8125
30	23	320	1	-93.41797	-1314.5938	11.859375
31	21	320	1	-82.85156	-1248.6035	13.328125
32	28	320	1	-103.17578	-1241.377	1.171875
33	29	320	1	-99.856445	-1237.4863	6.65625
34	15	320	1	-59.691406	-1244.2793	4.21875
35	21	320	1	-81.97461	-1220.4248	1.125
36	21	320	1	-83.83008	-1261.4004	7.1875
37	18	320	1	-73.177734	-1241.1621	1.828125
38	49	320	1	-175.65039	-1219.7324	2.703125
39	68	320	1	-248.33984	-1215.584	0.21875
40	31	320	1	-108.03125	-1220.958	0.875
41	13	320	1	-51.410156	-1225.75	1.875
42	47	320	1	-181.50586	-1247.5225	2.953125
43	15	320	1	-49.091797	-1251.3057	11.2265625
44	26	320	1	-103.51953	-1249.206	10.546875
45	19	320	1	-72.69531	-1217.2246	16.382812
46	26	320	1	-103.009766	-1260.5996	11.6875
47	974	5440	17	0.0	0.0	9.203125
48	15	320	1	-58.82617	-1260.0996	13.015625
49	39	320	1	-155.53125	-1293.5156	6.1875
50	74	320	1	-285.25977	-1281.4805	10.53125
51	73	320	1	-254.06152	-1221.5889	8.0625
52	36	320	1	-118.44824	-1194.9424	6.015625
53	21	320	1	-74.1543	-1225.0508	7.84375
54	17	320	1	-51.135254	-1062.8804	10.65625
55	27	320	1	-91.46094	-1112.4219	4.4375
56	12	320	1	-45.859375	-1198.8477	7.296875
57	22	320	1	-85.09375	-1227.623	6.484375
58	33	320	1	-126.61328	-1253.1152	9.71875
59	27	320	1	-96.09961	-1200.3887	10.765625
60	38	320	1	-130.6748	-1228.8115	9.046875
61	25	320	1	-89.30371	-1223.873	8.109375
62	36	320	1	-134.38867	-1207.6426	2.421875
63	27	320	1	-102.31641	-1246.7363	5.65625
64	39	320	1	-130.6333	-1203.0864	2.65625
65	7	320	1	-22.939453	-1203.4014	1.03125
66	20	320	1	-69.200195	-1205.2822	1.25
67	13	320	1	-43.29004	-1224.6133	1.40625
68	17	320	1	-50.07617	-1209.4502	4.671875
69	28	320	1	-102.5166	-1211.1709	0.09375
70	26	320	1	-90.57422	-1248.9824	0.125
71	13	320	1	-46.976562	-1246.7949	11.4296875
72	6	320	1	-19.435547	-1120.7627	9.734375
73	27	320	1	-106.06445	-1230.5137	9.984375
74	546	5440	17	0.0	0.0	10.21875
76	27	320	1	-97.18359	-1215.2734	1.03125
77	6	320	1	-22.46289	-1240.4629	5.59375
78	10	320	1	-34.57617	-1211.3379	8.0625
79	35	320	1	-130.76367	-1188.1533	6.203125
80	59	320	1	-205.41602	-1199.21	0.09375
81	73	320	1	-253.97852	-1204.7803	2.640625
82	61	320	1	-212.28711	-1220.169	11.953125
83	41	320	1	-150.10156	-1206.7412	3.046875
84	22	320	1	-74.80664	-1206.2109	0.65625
85	56	320	1	-214.57227	-1214.0332	1.265625
86	144	320	1	-513.0449	-1214.8711	0.765625
87	182	320	1	-631.23535	-1182.8467	0.734375
88	177	320	1	-624.6338	-1185.3994	1.4375
89	177	320	1	-645.35547	-1216.8066	0.15625
90	175	320	1	-645.9531	-1235.3115	1.140625
91	362	640	2	0.0	0.0	1.9453125
93	385	640	2	0.0	0.0	2.6640625
95	376	640	2	0.0	0.0	2.4375
97	416	640	2	0.0	0.0	2.9765625
99	301	640	2	0.0	0.0	5.4140625
101	415	640	2	0.0	0.0	5.96875
103	429	640	2	0.0	0.0	6.546875
105	242	640	2	0.0	0.0	5.578125
107	413	640	2	0.0	0.0	5.6328125
109	430	640	2	0.0	0.0	6.1015625
111	324	640	2	0.0	0.0	6.0859375
113	335	640	2	0.0	0.0	5.421875
115	417	640	2	0.0	0.0	7.203125
117	320	640	2	0.0	0.0	6.8828125
119	354	640	2	0.0	0.0	4.765625
121	787	1280	4	0.0	0.0	6.3671875
125	1438	2560	8	0.0	0.0	7.46875
133	3175	5120	16	0.0	0.0	5.75
149	2679	8000	25	0.0	0.0	4.828125
174	1460	8000	25	0.0	0.0	5.359375
199	1417	8000	25	0.0	0.0	6.703125
224	1531	8000	25	0.0	0.0	7.171875
249	1566	8000	25	0.0	0.0	8.0234375
274	1800	8000	25	0.0	0.0	7.59375
299	217	8000	25	0.0	0.0	8.8984375
324	284	8000	25	0.0	0.0	8.828125
349	141	8000	25	0.0	0.0	9.2265625
374	259	8000	25	0.0	0.0	8.5390625
399	220	8000	25	0.0	0.0	8.5234375
424	265	8000	25	0.0	0.0	8.84375
449	90	8000	25	0.0	0.0	9.0703125
474	123	8000	25	0.0	0.0	8.84375
499	116	8000	25	0.0	0.0	8.9375
524	118	8000	25	0.0	0.0	8.7109375
549	69	8000	25	0.0	0.0	9.359375
574	157	8000	25	0.0	0.0	9.4453125
599	107	8000	25	0.0	0.0	9.375
624	111	8000	25	0.0	0.0	9.453125
649	130	8000	25	0.0	0.0	9.40625
674	119	8000	25	0.0	0.0	9.7109375
699	86	8000	25	0.0	0.0	9.5859375
724	146	8000	25	0.0	0.0	9.6796875
749	54	8000	25	0.0	0.0	9.921875
774	69	8000	25	0.0	0.0	10.5078125
799	65	8000	25	0.0	0.0	10.015625
824	125	8000	25	0.0	0.0	9.9609375
849	101	8000	25	0.0	0.0	10.0546875
874	84	8000	25	0.0	0.0	10.0078125
899	80	8000	25	0.0	0.0	10.671875
924	44	8000	25	0.0	0.0	9.7734375
949	29	8000	25	0.0	0.0	10.546875
974	59	8000	25	0.0	0.0	9.9609375
999	55	8000	25	0.0	0.0	10.2578125
1024	77	8000	25	0.0	0.0	10.65625
1049	24	8000	25	0.0	0.0	9.828125
1074	47	8000	25	0.0	0.0	10.5546875
1099	115	8000	25	0.0	0.0	9.890625
1124	129	8000	25	0.0	0.0	10.453125
1149	73	8000	25	0.0	0.0	9.4609375
1174	76	8000	25	0.0	0.0	9.5390625
1199	65	8000	25	0.0	0.0	10.2890625
1224	77	8000	25	0.0	0.0	9.8984375
1249	51	8000	25	0.0	0.0	9.375
1274	55	8000	25	0.0	0.0	10.4765625
1299	57	8000	25	0.0	0.0	10.9375
1324	7	8000	25	0.0	0.0	10.7578125
1349	52	8000	25	0.0	0.0	10.7421875
1374	25	8000	25	0.0	0.0	10.9375
1399	27	8000	25	0.0	0.0	10.6875
1424	47	8000	25	0.0	0.0	13.4453125
1449	33	8000	25	0.0	0.0	10.5859375
1474	14	8000	25	0.0	0.0	10.0546875
1499	37	8000	25	0.0	0.0	10.6796875
