tok	miss	routed	M	coldGate	totGate	margin
0	31	320	1	-98.67676	-968.16797	8.453125
1	90	320	1	-302.4453	-1043.5857	5.2109375
2	33	320	1	-126.78027	-1186.9336	9.7890625
3	102	320	1	-331.8994	-1046.4224	2.96875
4	81	320	1	-261.65234	-1013.56934	9.921875
5	12	320	1	-41.947266	-1169.8613	9.3984375
6	30	320	1	-95.83008	-1007.2217	7.484375
7	24	320	1	-76.02637	-1019.458	11.8828125
8	24	320	1	-86.23828	-1189.5898	11.546875
9	28	320	1	-98.24609	-1185.9502	7.0234375
10	18	320	1	-70.112305	-1221.7705	10.046875
11	70	320	1	-247.08496	-1118.8877	6.375
12	34	320	1	-126.49414	-1205.0469	0.46875
13	30	320	1	-102.256836	-1227.8467	1.109375
14	57	320	1	-192.85449	-1118.5254	0.0625
15	70	320	1	-240.36621	-1140.7139	8.421875
16	28	320	1	-88.71484	-1028.4092	9.65625
17	35	320	1	-110.259766	-997.64453	6.5
18	53	320	1	-183.19922	-1159.4219	10.90625
19	26	320	1	-86.12451	-1128.7554	11.953125
20	80	320	1	-310.24023	-1248.3359	3.25
21	19	320	1	-75.10742	-1259.7656	8.6875
22	41	320	1	-159.5332	-1248.0703	1.265625
23	17	320	1	-68.64453	-1296.3838	0.734375
24	41	320	1	-159.44336	-1252.8457	13.3125
25	30	320	1	-108.4043	-1219.6748	9.109375
26	29	320	1	-109.56836	-1296.1855	14.9375
27	610	5440	17	0.0	0.0	11.046875
39	29	320	1	-96.875	-1179.9678	10.859375
40	47	320	1	-178.53906	-1225.709	14.109375
41	25	320	1	-97.2666	-1211.4326	13.453125
42	1006	5440	17	0.0	0.0	2.828125
43	30	320	1	-112.17383	-1240.124	12.109375
44	33	320	1	-123.271484	-1252.5303	10.3125
45	22	320	1	-79.9375	-1237.7314	9.71875
46	45	320	1	-173.08398	-1306.832	10.8359375
47	37	320	1	-140.5918	-1237.8242	4.96875
48	44	320	1	-161.61328	-1257.8574	4.671875
49	41	320	1	-145.89209	-1265.7222	3.828125
50	30	320	1	-119.615234	-1313.752	9.8125
51	35	320	1	-131.41895	-1310.4502	5.578125
52	47	320	1	-181.18457	-1224.3477	12.265625
53	1030	5440	17	0.0	0.0	5.90625
54	44	320	1	-157.33301	-1257.4658	4.125
55	62	320	1	-244.63477	-1297.3379	8.65625
56	41	320	1	-154.65723	-1277.6543	4.0
57	57	320	1	-225.17188	-1299.2969	10.0625
58	45	320	1	-180.20898	-1244.6523	1.21875
59	43	320	1	-148.79785	-1159.4004	12.53125
60	62	320	1	-236.11816	-1219.6416	16.421875
61	1223	5440	17	0.0	0.0	14.484375
63	35	320	1	-130.85156	-1208.8145	0.765625
64	73	320	1	-254.97559	-1203.9541	1.40625
65	48	320	1	-181.53809	-1258.3086	0.640625
66	44	320	1	-168.95117	-1236.3008	8.671875
67	27	320	1	-100.93945	-1211.6562	2.515625
68	64	320	1	-242.75977	-1243.4434	4.421875
69	58	320	1	-211.0332	-1237.7402	9.078125
70	95	320	1	-328.03516	-1173.3086	0.390625
71	84	320	1	-300.2422	-1196.0713	1.421875
72	77	320	1	-274.36914	-1176.7627	5.984375
73	44	320	1	-152.24023	-1182.9375	12.53125
74	33	320	1	-122.13867	-1218.5337	0.09375
75	46	320	1	-169.58789	-1231.4688	3.109375
76	34	320	1	-124.07422	-1227.9141	10.4375
77	42	320	1	-155.60059	-1196.8564	5.75
78	49	320	1	-176.75781	-1202.9473	0.28125
79	42	320	1	-158.39258	-1228.9473	2.078125
80	32	320	1	-122.078125	-1245.3535	1.15625
81	62	320	1	-221.6543	-1199.415	0.34375
82	53	320	1	-181.08203	-1185.3184	5.34375
83	36	320	1	-142.02539	-1254.6094	1.84375
84	49	320	1	-180.94629	-1231.0498	4.515625
85	36	320	1	-132.32812	-1197.4932	6.140625
86	35	320	1	-140.95117	-1227.8721	0.15625
87	27	320	1	-101.76367	-1220.4629	10.734375
88	21	320	1	-73.90137	-1192.7451	0.328125
89	25	320	1	-93.98633	-1233.2422	0.078125
90	33	320	1	-117.95215	-1189.9541	1.59375
91	24	320	1	-92.60156	-1239.168	7.859375
92	39	320	1	-143.7666	-1237.1357	10.71875
93	44	320	1	-155.98438	-1202.3496	2.328125
94	33	320	1	-134.9414	-1218.6523	1.140625
95	25	320	1	-95.84961	-1221.3027	11.546875
96	27	320	1	-93.668945	-1210.0352	2.203125
97	28	320	1	-106.11133	-1250.1113	1.875
98	51	320	1	-198.3291	-1229.4727	11.953125
99	59	320	1	-181.58203	-1001.54297	7.6875
100	51	320	1	-174.33496	-1110.2422	13.9609375
101	40	320	1	-147.40234	-1195.208	5.5625
102	52	320	1	-186.86914	-1206.3457	10.40625
103	46	320	1	-175.96289	-1244.8184	0.0625
104	17	320	1	-65.97656	-1239.0586	3.390625
105	33	320	1	-113.41504	-1242.3662	10.9375
