pos	boltTok	strictPred	match	margin
0	8160	8160	1	-1.0
1	579	579	1	12.65625
2	264	264	1	8.28125
3	7047	7047	1	15.53125
4	1817	1817	1	7.875
5	25	25	1	3.265625
6	271	271	1	12.3046875
7	16	16	1	8.828125
8	13	13	1	14.0
9	220	220	1	11.5
10	2972	2972	1	7.140625
11	15771	15771	1	12.109375
12	2598	2598	1	15.078125
13	2570	2570	1	11.859375
14	5952	5952	1	10.703125
15	64700	64700	1	11.265625
16	198	198	1	12.078125
17	256	256	1	13.59375
18	471	471	1	17.140625
19	2972	2972	1	8.921875
20	25562	25562	1	10.765625
21	64700	64700	1	11.625
22	3297	3297	1	4.0625
23	5607	5607	1	13.125
24	366	366	1	10.859375
25	11767	11767	1	7.5625
26	198	198	1	13.375
27	256	256	1	14.71875
28	471	471	1	16.953125
29	2972	2972	1	15.796875
30	57201	57201	1	5.671875
31	64700	64700	1	14.640625
32	60552	60552	1	1.296875
33	2923	2923	1	16.078125
34	13909	13909	1	14.984375
35	28253	28253	1	15.5
36	15673	15673	1	14.375
37	11	478	0	0.078125
38	12654	12654	1	5.5
39	7873	7873	1	14.390625
40	198	198	1	4.171875
41	256	256	1	15.140625
42	471	471	1	14.65625
43	2972	2972	1	14.40625
44	38663	1536	0	0.75
45	64700	64700	1	12.984375
46	11680	11680	1	0.609375
47	11	11	1	12.53125
48	15751	15751	1	3.59375
49	11	11	1	14.0625
50	12995	12995	1	3.375
51	11	11	1	6.734375
52	321	321	1	5.46875
53	14542	14542	1	1.515625
54	271	271	1	4.46875
55	17	17	1	8.578125
56	13	13	1	14.3125
57	220	220	1	10.875
58	2972	2972	1	12.515625
59	1847	1847	1	4.328125
60	7355	7355	1	11.984375
61	3297	3297	1	7.0
62	5607	5607	1	11.90625
63	366	366	1	5.46875
64	64700	64700	1	4.859375
65	198	198	1	15.34375
66	256	256	1	15.125
67	471	471	1	9.046875
68	3437	3437	1	4.140625
69	369	369	1	11.328125
70	424	424	1	2.515625
71	30	30	1	12.71875
72	357	357	1	5.59375
73	21078	21078	1	5.953125
74	9485	9485	1	11.625
75	14429	14429	1	8.109375
76	15487	15487	1	9.109375
77	27355	27355	1	9.046875
78	11767	11767	1	11.4375
79	198	13	0	1.421875
80	256	256	1	16.796875
81	471	471	1	14.5625
82	5141	5141	1	2.03125
83	7123	7123	1	0.90625
84	25	25	1	7.359375
85	198	198	1	3.5
86	257	257	1	13.359375
87	220	264	0	0.71875
88	16	16	1	14.640625
89	13	13	1	13.28125
90	21513	21513	1	2.5
91	264	264	1	16.015625
92	25212	25212	1	4.421875
93	198	198	1	2.53125
94	257	257	1	13.078125
95	220	220	1	15.0234375
96	17	17	1	13.21875
97	13	13	1	12.0
98	52790	52790	1	9.59375
99	279	279	1	2.40625
100	1287	1287	1	13.421875
101	2094	2094	1	3.421875
102	279	279	1	15.25
103	25212	25212	1	13.25
104	318	198	0	0.578125
105	20766	20766	1	6.890625
106	361	361	1	4.859375
107	25212	25212	1	11.625
108	11	708	0	0.140625
109	5951	5255	0	0.71875
110	310	11	0	1.5625
111	25212	11	0	0.25
112	11	11	1	9.6875
113	835	835	1	3.09375
114	25212	25212	1	12.21875
115	8	8	1	9.5
116	198	198	1	15.3671875
117	257	257	1	14.65625
118	220	220	1	13.796875
119	18	18	1	11.171875
120	13	13	1	12.03125
121	3931	3931	1	11.40625
122	76991	76991	1	10.671875
123	3269	3668	0	1.671875
124	2047	279	0	2.78125
125	321	321	1	6.9375
126	1245	1245	1	10.484375
127	45127	1146	0	0.140625
128	198	198	1	8.59375
129	257	257	1	1.21875
130	220	220	1	14.9296875
131	19	19	1	14.296875
132	13	13	1	11.71875
133	5183	45247	0	1.34375
134	1105	1105	1	10.484375
135	25	25	1	6.421875
136	4147	17839	0	3.40625
137	466	466	1	5.875
138	3074	3074	1	9.078125
139	27522	27522	1	6.828125
140	17839	17839	1	3.265625
141	198	513	0	2.6875
142	256	256	1	10.90625
143	471	471	1	12.578125
144	3984	3984	1	2.921875
145	22373	22373	1	5.546875
146	25	25	1	15.015625
147	496	496	1	1.34375
148	74777	1393	0	9.171875
149	25	307	0	0.984375
150	496	496	1	1.1875
151	74777	1393	0	3.1875
152	25	25	1	0.421875
153	496	496	1	2.859375
154	74777	1393	0	1.328125
155	25	25	1	3.015625
156	496	496	1	5.0
157	74777	1393	0	2.03125
158	25	25	1	3.71875
159	496	496	1	5.7109375
160	74777	1393	0	1.6875
161	25	25	1	3.96875
162	496	496	1	5.84375
163	74777	1393	0	0.765625
164	25	25	1	4.734375
165	496	496	1	6.3203125
166	74777	74777	1	0.171875
167	25	25	1	5.0
168	496	496	1	6.7578125
169	74777	74777	1	0.71875
170	25	25	1	5.421875
171	496	496	1	6.6484375
172	74777	74777	1	1.0625
173	25	25	1	5.109375
174	496	496	1	6.859375
175	74777	74777	1	1.265625
176	25	25	1	5.328125
177	496	496	1	7.078125
178	74777	74777	1	1.484375
179	25	25	1	5.609375
180	496	496	1	6.828125
181	74777	74777	1	1.921875
182	25	25	1	5.65625
183	496	496	1	7.3203125
184	74777	74777	1	2.1875
185	25	25	1	5.734375
186	496	496	1	7.4453125
187	74777	74777	1	2.125
188	25	25	1	5.953125
189	496	496	1	7.0234375
190	74777	74777	1	2.34375
191	25	25	1	6.109375
192	496	496	1	7.21875
193	74777	74777	1	2.59375
194	25	25	1	5.984375
195	496	496	1	7.3359375
196	74777	74777	1	3.25
197	25	25	1	6.203125
198	496	496	1	7.1484375
199	74777	74777	1	3.328125
200	25	25	1	6.25
201	496	496	1	7.34375
202	74777	74777	1	3.484375
203	25	25	1	6.46875
204	496	496	1	7.6796875
205	74777	74777	1	3.0625
206	25	25	1	6.296875
207	496	496	1	7.7265625
208	74777	74777	1	4.2734375
209	25	25	1	6.546875
210	496	496	1	7.203125
211	74777	74777	1	4.4921875
212	25	25	1	6.453125
213	496	496	1	7.5703125
214	74777	74777	1	4.0
215	25	25	1	6.578125
216	496	496	1	7.765625
217	74777	74777	1	4.3203125
218	25	25	1	6.609375
219	496	496	1	7.3359375
220	74777	74777	1	4.5
221	25	25	1	6.78125
222	496	496	1	7.6953125
223	74777	74777	1	4.4375
224	25	25	1	6.84375
225	496	496	1	7.421875
226	74777	74777	1	4.8515625
227	25	25	1	7.21875
228	496	496	1	7.8046875
229	74777	74777	1	4.921875
230	25	25	1	7.125
231	496	496	1	7.8046875
232	74777	74777	1	5.3203125
233	25	25	1	7.109375
234	496	496	1	7.8203125
235	74777	74777	1	4.859375
236	25	25	1	7.265625
237	496	496	1	7.8984375
238	74777	74777	1	5.0703125
239	25	25	1	7.296875
240	496	496	1	7.7109375
241	74777	74777	1	5.234375
242	25	25	1	7.0625
243	496	496	1	7.71875
244	74777	74777	1	5.0234375
245	25	25	1	6.84375
246	496	496	1	8.0703125
247	74777	74777	1	5.109375
248	25	25	1	7.0625
249	496	496	1	8.203125
250	74777	74777	1	5.3125
251	25	25	1	7.609375
252	496	496	1	8.15625
253	74777	74777	1	5.9921875
254	25	25	1	6.984375
255	496	496	1	8.25
256	74777	74777	1	5.421875
257	25	25	1	7.5
258	496	496	1	8.46875
259	74777	74777	1	5.328125
260	25	25	1	7.234375
261	496	496	1	8.359375
262	74777	74777	1	5.5625
263	25	25	1	7.71875
264	496	496	1	8.0625
265	74777	74777	1	6.015625
266	25	25	1	7.765625
267	496	496	1	8.0625
268	74777	74777	1	5.359375
269	25	25	1	7.96875
270	496	496	1	8.515625
271	74777	74777	1	5.28125
272	25	25	1	7.75
273	496	496	1	7.9140625
274	74777	74777	1	5.21875
275	25	25	1	7.609375
276	496	496	1	8.6875
277	74777	74777	1	5.53125
278	25	25	1	7.796875
279	496	496	1	8.21875
280	74777	74777	1	5.453125
281	25	25	1	8.078125
282	496	496	1	8.6875
283	74777	74777	1	5.7109375
284	25	25	1	7.6875
285	496	496	1	8.1328125
286	74777	74777	1	5.859375
287	25	25	1	7.546875
288	496	496	1	8.6640625
289	74777	74777	1	5.8125
290	25	25	1	7.171875
291	496	496	1	6.96875
292	74777	74777	1	6.140625
293	25	25	1	7.59375
294	496	496	1	8.0703125
295	74777	74777	1	5.75
296	25	25	1	7.328125
297	496	496	1	7.90625
298	74777	74777	1	6.265625
299	25	25	1	7.671875
300	496	496	1	7.3203125
301	74777	74777	1	6.2734375
302	25	25	1	7.8125
303	496	496	1	8.4296875
304	74777	74777	1	6.2421875
305	25	25	1	7.421875
306	496	496	1	8.5625
307	74777	74777	1	5.84375
308	25	25	1	7.421875
309	496	496	1	8.3046875
310	74777	74777	1	5.6875
311	25	25	1	7.453125
312	496	496	1	8.9765625
313	74777	74777	1	6.0
314	25	25	1	7.75
315	496	496	1	7.671875
316	74777	74777	1	6.390625
317	25	25	1	7.78125
318	496	496	1	7.4921875
319	74777	74777	1	5.765625
320	25	25	1	7.78125
321	496	496	1	7.671875
322	74777	74777	1	5.984375
323	25	25	1	7.75
324	496	496	1	8.21875
325	74777	74777	1	6.140625
326	25	25	1	7.78125
327	496	496	1	8.8828125
328	74777	74777	1	6.4375
329	25	25	1	7.84375
330	496	496	1	8.640625
331	74777	74777	1	6.21875
332	25	25	1	7.796875
333	496	496	1	7.5546875
334	74777	74777	1	6.4296875
335	25	25	1	7.984375
336	496	496	1	8.546875
337	74777	74777	1	6.3125
338	25	25	1	7.828125
339	496	496	1	8.03125
340	74777	74777	1	5.671875
341	25	25	1	7.96875
342	496	496	1	8.7421875
343	74777	74777	1	6.25
344	25	25	1	8.0625
345	496	496	1	8.4609375
346	74777	74777	1	6.3203125
347	25	25	1	8.265625
348	496	496	1	7.5703125
349	74777	74777	1	6.28125
350	25	25	1	8.3125
351	496	496	1	8.7265625
352	74777	74777	1	6.0625
353	25	25	1	8.15625
354	496	496	1	8.515625
355	74777	74777	1	5.9375
356	25	25	1	8.0625
357	496	496	1	8.59375
358	74777	74777	1	6.0
359	25	25	1	8.140625
