tok	miss	routed	M	coldGate	totGate	margin	coldW	entropy	top8
0	22	320	1	-70.51758	-972.17456	11.8359375	2.2514455	0.0002997345	579:27.046875,2224:15.2109375,725:14.3828125,2688:14.25,3766:13.1015625,4035:13.0703125,12887:12.359375,82:11.8359375
1	52	320	1	-173.94873	-1043.214	9.140625	6.1056676	0.001194616	264:28.671875,7047:19.53125,449:15.6796875,310:15.375,279:14.640625,821:13.6484375,303:13.3828125,1683:12.9921875
2	30	320	1	-112.178955	-1224.4421	13.4375	3.155727	5.3285294e-05	7047:32.71875,50534:19.28125,31626:18.109375,7873:17.546875,79420:17.484375,99496:17.265625,24217:16.546875,2250:16.28125
3	41	320	1	-139.13477	-1049.9912	11.296875	4.201839	0.00039867783	1817:31.546875,97424:20.25,7047:19.59375,8340:18.75,7188:18.015625,8024:17.90625,27375:17.671875,10978:17.453125
4	33	320	1	-113.03125	-1054.013	2.703125	3.2300296	0.23554343	25:25.59375,421:22.890625,11:14.3046875,440:13.171875,26:13.015625,0:12.953125,13:12.7890625,466:12.7421875
5	7	320	1	-21.088867	-1133.728	11.4453125	0.705544	0.00050355605	271:24.765625,4558:13.3203125,198:12.9140625,561:11.921875,353:11.015625,421:10.3671875,279:10.1328125,62:10.0390625
6	13	320	1	-39.23242	-999.93945	8.578125	1.4102902	0.005545268	16:25.890625,760:17.3125,8160:16.78125,13962:16.265625,248069:16.1875,71093:15.125,4277:14.2421875,17:13.6953125
7	14	320	1	-39.864258	-972.583	12.921875	1.7321689	9.153023e-05	13:28.328125,8:15.40625,11:14.75,25:14.59375,198:13.6171875,14:13.078125,271:12.515625,15771:11.90625
8	8	320	1	-27.702148	-1233.6543	9.9921875	0.92120564	0.0007652752	220:25.203125,2972:15.2109375,256:12.3515625,43934:11.875,561:11.53125,68490:11.015625,198:10.9765625,271:10.921875
9	15	320	1	-50.430664	-1203.6455	5.4609375	1.88364	0.1252552	2972:21.03125,9170:15.5703125,8396:14.953125,15771:14.734375,43934:14.6484375,332:14.265625,98142:13.6953125,7744:13.65625
10	5	320	1	-19.966797	-1205.1289	13.71875	0.55308807	3.871832e-05	15771:37.6875,7744:23.96875,56270:23.109375,68695:22.875,9170:21.859375,1172:21.796875,1421:21.78125,78587:21.125
11	45	320	1	-177.05469	-1256.7002	14.390625	5.085952	1.03457005e-05	2598:40.71875,93375:26.328125,9773:24.03125,47105:22.625,15120:22.265625,49942:21.765625,84925:20.84375,81958:20.015625
12	19	320	1	-59.737793	-1081.4362	8.796875	2.2816725	0.0016857025	2570:33.8125,279:25.015625,1156:21.734375,1421:21.734375,97237:20.25,7113:19.296875,3208:18.90625,13473:18.796875
13	36	320	1	-109.43457	-1113.4961	10.5	5.965991	0.0004446993	5952:34.8125,1835:24.3125,1622:22.359375,38622:21.078125,32666:20.359375,7644:20.28125,101729:20.1875,9371:20.15625
14	24	320	1	-76.680664	-1149.9497	10.46875	3.8437536	0.0006015888	64700:30.703125,25:20.234375,92217:19.859375,188912:16.96875,245342:16.546875,159029:16.03125,332:14.7578125,236993:14.4296875
15	6	320	1	-17.796875	-1030.5898	10.546875	0.55884063	0.00035241945	198:29.59375,561:19.046875,271:16.421875,2228:15.1640625,695:14.90625,353:12.609375,256:12.5625,220:12.28125
16	13	320	1	-41.48828	-975.4346	12.53125	1.3507189	5.9600334e-05	256:29.625,262:17.09375,257:13.7265625,220:13.671875,12:13.6015625,471:13.140625,197:12.0859375,5690:11.2265625
17	25	320	1	-83.03711	-1129.3115	16.671875	3.5985215	1.8047672e-06	471:33.5625,2972:16.890625,256:14.7890625,561:14.734375,1137:14.3828125,185756:13.7421875,31819:13.3828125,12:13.0703125
18	10	320	1	-36.54297	-1130.417	6.265625	0.8649813	0.014277045	2972:31.28125,31819:25.015625,79091:20.4375,25562:19.609375,332:18.9375,30381:17.671875,14235:17.484375,8282:16.890625
19	21	320	1	-82.21094	-1243.7549	11.046875	2.5145593	0.00033346645	25562:38.4375,31819:27.390625,26943:25.796875,38663:25.53125,30381:25.1875,6065:25.0625,8282:23.40625,15930:23.34375
20	10	320	1	-39.59375	-1233.2285	12.46875	1.0503552	0.00012584978	64700:33.96875,3297:21.5,25:20.859375,92217:20.140625,51595:19.640625,245342:19.40625,2114:18.84375,438:18.671875
21	17	320	1	-63.626953	-1236.4062	3.703125	2.1687636	0.113672756	3297:32.8125,16743:29.109375,2114:21.046875,1167:20.140625,10953:19.640625,61791:19.09375,15853:18.921875,438:18.703125
22	29	320	1	-105.20703	-1203.4551	12.1875	3.6538985	0.00013102758	5607:29.9375,839:17.75,1524:15.890625,3269:15.0546875,9927:14.9296875,372:14.8828125,6646:14.515625,15793:14.234375
23	32	320	1	-119.788574	-1187.106	4.53125	4.1171713	0.22314309	366:24.171875,15495:19.640625,9927:19.234375,38989:18.609375,11767:18.25,3269:18.125,6646:17.421875,17885:16.84375
24	14	320	1	-45.47461	-1199.0215	6.140625	1.5470829	0.019766606	11767:33.125,318:26.984375,198:25.28125,27355:23.421875,38989:21.734375,108646:21.265625,24385:20.15625,19086:19.515625
25	14	320	1	-52.359375	-1239.7129	12.421875	1.4298791	6.728155e-05	198:32.15625,318:19.734375,15673:17.40625,10921:15.453125,13:15.4453125,3376:15.0078125,271:14.421875,2228:14.203125
26	20	320	1	-80.80664	-1227.1826	10.34375	2.2020752	0.00039713748	256:29.265625,220:18.921875,262:15.796875,257:14.0859375,471:13.6484375,406:12.5625,285:11.890625,950:11.140625
27	11	320	1	-38.97461	-1229.7441	15.84375	1.3637655	6.1279497e-06	471:33.375,185756:17.53125,8242:16.546875,32666:16.484375,2972:15.6171875,96719:15.3046875,57201:15.09375,220:15.046875
28	12	320	1	-48.853516	-1252.3984	15.0	0.9982166	6.9592784e-06	2972:35.4375,32666:20.4375,57201:18.140625,332:18.0,348:17.328125,173976:17.0,8242:16.859375,198:16.0625
29	463	3520	11	0.0	0.0	5.765625	0.0	0.024847751	57201:35.5,73211:29.734375,32666:26.390625,7907:25.796875,96719:25.703125,4935:25.671875,1835:24.53125,3925:24.28125
30	14	320	1	-50.42383	-1226.9795	14.703125	1.8800558	1.1362477e-05	64700:36.78125,51595:22.078125,188912:20.25,245342:19.890625,7518:19.875,60552:19.765625,11346:19.65625,92217:18.765625
31	13	320	1	-45.99414	-1231.5977	1.5625	1.5003757	0.4675542	60552:32.6875,695:31.125,14392:25.6875,198:22.359375,11346:21.53125,24951:21.328125,61338:21.09375,414:18.71875
32	24	320	1	-85.791016	-1246.5117	16.328125	3.1880853	2.843169e-06	2923:40.6875,14392:24.359375,9239:23.78125,37160:22.734375,8046:22.0,7123:20.5625,11607:20.515625,20807:20.515625
33	9	320	1	-35.583984	-1239.5957	14.234375	1.2503275	1.0693527e-05	13909:37.96875,28253:23.734375,4534:19.75,41332:18.984375,1402:18.390625,42962:17.9375,3309:17.328125,12:17.296875
34	8	320	1	-31.038086	-1263.2354	14.015625	0.8029652	2.2711882e-05	28253:37.5,13909:23.484375,40284:21.65625,4514:20.703125,11258:20.6875,9239:20.34375,45771:19.890625,8187:19.8125
35	10	320	1	-39.521484	-1273.6914	14.359375	1.2035993	2.0298887e-05	15673:37.9375,68868:23.578125,67407:23.53125,10033:21.53125,39492:20.796875,24228:19.515625,10993:19.125,3142:19.109375
36	644	5440	17	0.0	0.0	0.34375	0.0	0.6806736	11:29.375,478:29.03125,314:20.90625,3449:19.671875,5346:19.015625,198:18.65625,12654:17.640625,321:17.171875
37	24	320	1	-77.07568	-1242.271	6.203125	3.439615	0.017743396	12654:30.8125,5346:24.609375,440:21.828125,7854:21.78125,478:20.171875,2583:19.140625,11990:19.046875,2830:18.265625
38	13	320	1	-46.152344	-1197.5039	14.5	1.3729881	2.1103617e-05	7873:37.28125,29806:22.78125,1970:22.09375,4072:21.9375,37066:21.515625,13957:21.265625,35629:19.671875,24141:19.28125
39	8	320	1	-30.269531	-1247.7461	4.109375	0.9041504	0.08598532	198:28.453125,271:24.34375,11:20.25,56963:18.09375,13:16.96875,1358:16.71875,13488:16.328125,440:15.609375
40	13	320	1	-44.820312	-1175.9678	13.40625	1.4846584	2.9306497e-05	256:30.0625,220:16.65625,12:14.390625,471:13.6953125,248069:13.125,257:12.75,262:12.484375,17:12.390625
41	19	320	1	-70.91406	-1215.7363	13.5	2.1621583	2.3370063e-05	471:31.015625,185756:17.515625,1411:13.3203125,2972:13.25,41330:13.0859375,29208:12.7890625,50422:12.6328125,172299:12.4609375
42	18	320	1	-73.00781	-1266.9092	13.6875	1.756208	2.4558098e-05	2972:31.59375,332:17.90625,348:15.4765625,173976:14.625,5141:14.2265625,38622:14.015625,220:13.75,38663:13.7421875
