pos	boltTok	strictPred	match	margin
0	8160	8160	1	-1.0
1	579	579	1	12.65625
2	264	264	1	8.28125
3	7047	7047	1	15.53125
4	1817	1817	1	7.875
5	25	25	1	3.265625
6	271	271	1	12.3046875
7	16	16	1	8.828125
8	13	13	1	14.0
9	220	220	1	11.5
10	2972	2972	1	7.140625
11	15771	15771	1	12.109375
12	2598	2598	1	15.078125
13	2570	2570	1	11.859375
14	5952	5952	1	10.703125
15	64700	64700	1	11.265625
16	198	198	1	12.078125
17	256	256	1	13.59375
18	471	471	1	17.140625
19	2972	2972	1	8.921875
20	25562	25562	1	10.765625
21	64700	64700	1	11.625
22	3297	3297	1	4.0625
23	5607	5607	1	13.125
24	366	366	1	10.859375
25	11767	11767	1	7.5625
26	198	198	1	13.375
27	256	256	1	14.71875
28	471	471	1	16.953125
29	2972	2972	1	15.796875
30	57201	57201	1	5.671875
31	64700	64700	1	14.640625
32	60552	60552	1	1.296875
33	2923	2923	1	16.078125
34	13909	13909	1	14.984375
35	28253	28253	1	15.5
36	15673	15673	1	14.375
37	11	478	0	0.078125
38	12654	12654	1	5.5
39	7873	7873	1	14.390625
40	198	198	1	4.171875
41	256	256	1	15.140625
42	471	471	1	14.65625
43	2972	2972	1	14.40625
44	38663	1536	0	0.75
45	64700	64700	1	12.984375
46	11680	11680	1	0.609375
47	11	11	1	12.53125
48	15751	15751	1	3.59375
49	11	11	1	14.0625
50	12995	12995	1	3.375
51	11	11	1	6.734375
52	321	321	1	5.46875
53	14542	14542	1	1.515625
54	271	271	1	4.46875
55	17	17	1	8.578125
56	13	13	1	14.3125
57	220	220	1	10.875
58	2972	2972	1	12.515625
59	1847	1847	1	4.328125
60	7355	7355	1	11.984375
61	3297	3297	1	7.0
62	5607	5607	1	11.90625
63	366	366	1	5.46875
64	64700	64700	1	4.859375
65	198	198	1	15.34375
66	256	256	1	15.125
67	471	471	1	9.046875
68	3437	3437	1	4.140625
69	369	369	1	11.328125
70	424	424	1	2.515625
71	30	30	1	12.71875
72	357	357	1	5.59375
73	21078	21078	1	5.953125
74	9485	9485	1	11.625
75	14429	14429	1	8.109375
76	15487	15487	1	9.109375
77	27355	27355	1	9.046875
78	11767	11767	1	11.4375
79	198	13	0	1.421875
80	256	256	1	16.796875
81	471	471	1	14.5625
82	5141	5141	1	2.03125
83	7123	7123	1	0.90625
84	25	25	1	7.359375
85	198	198	1	3.5
86	257	257	1	13.359375
87	220	264	0	0.71875
88	16	16	1	14.640625
89	13	13	1	13.28125
90	21513	21513	1	2.5
91	264	264	1	16.015625
92	25212	25212	1	4.421875
93	198	198	1	2.53125
94	257	257	1	13.078125
95	220	220	1	15.0234375
96	17	17	1	13.21875
97	13	13	1	12.0
98	52790	52790	1	9.59375
99	279	279	1	2.40625
100	1287	1287	1	13.421875
101	2094	2094	1	3.421875
102	279	279	1	15.25
103	25212	25212	1	13.25
104	318	198	0	0.578125
105	20766	20766	1	6.890625
106	361	361	1	4.859375
107	25212	25212	1	11.625
108	11	708	0	0.140625
109	5951	5255	0	0.71875
110	310	11	0	1.5625
111	25212	11	0	0.25
112	11	11	1	9.6875
113	835	835	1	3.09375
114	25212	25212	1	12.21875
115	8	8	1	9.5
116	198	198	1	15.3671875
117	257	257	1	14.65625
118	220	220	1	13.796875
119	18	18	1	11.171875
120	13	13	1	12.03125
121	3931	3931	1	11.40625
122	76991	76991	1	10.671875
123	3269	3668	0	1.671875
124	2047	279	0	2.78125
125	321	321	1	6.9375
126	1245	1245	1	10.484375
127	45127	1146	0	0.140625
128	198	198	1	8.59375
129	257	257	1	1.21875
130	220	220	1	14.9296875
131	19	19	1	14.296875
132	13	13	1	11.71875
133	5183	45247	0	1.34375
134	1105	1105	1	10.484375
135	25	25	1	6.421875
136	17839	17839	1	3.40625
137	314	314	1	3.96875
138	220	1331	0	5.09375
139	16	15	0	11.484375
140	14	466	0	2.671875
141	15	15	1	4.390625
142	1331	5255	0	5.921875
143	198	513	0	5.484375
144	256	256	1	6.703125
145	471	471	1	11.125
146	3984	3984	1	2.828125
147	22373	22373	1	5.0625
148	25	25	1	13.875
149	496	496	1	1.390625
150	1393	1393	1	7.9375
151	8	1433	0	8.09375
152	5289	5289	1	0.203125
153	11	11	1	3.28125
154	496	496	1	7.296875
155	1393	1393	1	8.703125
156	8	28495	0	4.515625
157	11447	11447	1	1.484375
158	198	1105	0	0.828125
159	256	256	1	5.046875
160	471	471	1	8.5234375
161	11156	11156	1	5.5625
162	22373	22373	1	4.84375
163	25	25	1	7.6953125
164	496	496	1	7.796875
165	1393	12171	0	1.765625
166	8	8	1	2.296875
167	318	5289	0	0.21875
168	258	22906	0	1.125
169	40284	40284	1	3.34375
170	11	11	1	0.328125
171	29812	694	0	2.640625
172	5436	5436	1	0.78125
173	8	8	1	3.40625
174	198	198	1	3.96875
175	256	256	1	6.5
176	471	471	1	11.4296875
177	733	733	1	0.03125
178	40284	40284	1	6.3515625
179	5972	5972	1	3.078125
180	13	13	1	2.90625
181	524	680	0	0.796875
182	3309	3309	1	0.484375
183	40284	40284	1	7.921875
184	10478	25	0	1.296875
185	318	318	1	0.8125
186	40	40	1	3.046875
187	3172	3172	1	3.34375
188	708	5077	0	0.359375
189	440	440	1	6.5625
190	303	279	0	0.4375
191	40284	40284	1	9.9921875
192	364	364	1	0.765625
193	5129	14588	0	1.890625
194	11	7873	0	1.390625
195	694	694	1	5.25
196	6088	6970	0	0.09375
197	29812	279	0	2.71875
198	1103	2243	0	0.140625
199	59036	11147	0	0.359375
200	364	364	1	0.609375
201	12654	37685	0	0.140625
202	291	291	1	3.546875
203	1647	37685	0	0.34375
204	8	413	0	0.21875
205	271	271	1	1.859375
206	18	18	1	1.8125
207	13	13	1	9.15625
208	220	220	1	4.84375
209	2972	2972	1	8.140625
210	22238	22238	1	1.890625
211	279	279	1	6.90625
212	68868	68868	1	0.90625
213	64700	64700	1	6.578125
214	198	198	1	9.140625
215	256	256	1	11.25
216	471	471	1	6.015625
217	27416	27416	1	6.3125
218	14	14	1	0.078125
219	39688	39688	1	4.40625
220	198	198	1	8.5546875
221	256	256	1	10.4140625
222	471	471	1	8.34375
223	14392	14392	1	4.53125
224	13909	13909	1	8.109375
225	28253	28253	1	0.625
226	29006	29006	1	1.921875
227	198	198	1	1.515625
228	256	256	1	5.234375
229	471	471	1	8.828125
230	19572	19572	1	0.828125
231	14	14	1	4.125
232	12929	12929	1	0.609375
233	95523	95523	1	3.390625
234	198	198	1	2.96875
235	256	256	1	10.9296875
236	471	471	1	9.0546875
237	12654	12654	1	3.234375
238	7873	7873	1	3.28125
239	318	318	1	2.828125
240	20385	258	0	0.1875
241	25	303	0	1.171875
242	5129	12654	0	0.453125
243	303	303	1	1.90625
244	40284	40284	1	9.796875
245	594	321	0	1.5625
246	12654	12654	1	4.6875
247	291	291	1	9.0
248	29812	29812	1	1.0
249	8	8	1	3.015625
250	198	198	1	10.40625
251	256	256	1	9.5625
252	471	471	1	10.859375
253	68230	68230	1	3.015625
254	6157	6157	1	5.859375
255	198	198	1	6.578125
256	256	256	1	10.4296875
257	471	471	1	11.5703125
258	5141	5141	1	0.203125
259	36515	36515	1	5.765625
260	14	14	1	0.03125
261	18555	18555	1	0.90625
262	7787	7787	1	5.796875
263	198	198	1	2.59375
264	256	256	1	9.75
265	471	471	1	9.390625
266	71366	71366	1	1.671875
267	271	271	1	7.71875
268	19	19	1	3.171875
269	13	13	1	9.296875
270	220	220	1	5.3125
271	2972	2972	1	5.796875
272	48401	48401	1	9.0
273	471	471	1	6.6875
274	14392	14392	1	0.34375
275	13909	13909	1	5.15625
276	12	12	1	6.609375
277	8046	8046	1	7.859375
278	68868	68868	1	6.015625
279	318	318	1	0.09375
280	44	44	1	8.078125
281	88945	6098	0	9.609375
282	8288	8288	1	1.984375
283	35953	35953	1	5.9453125
284	188912	188912	1	4.453125
285	198	198	1	9.9765625
286	256	256	1	10.015625
287	348	348	1	0.96875
288	8046	8046	1	3.328125
289	220	220	1	8.828125
290	16	16	1	7.2109375
291	25	25	1	4.78125
292	21513	21513	1	0.375
293	264	264	1	4.71875
294	94516	94516	1	2.125
295	9	9	1	4.71875
296	198	198	1	2.09375
297	256	256	1	6.53125
298	471	471	1	6.875
299	2885	2885	1	0.15625
300	381	381	1	2.515625
301	1118	1118	1	2.453125
302	11	11	1	5.75
303	1483	1483	1	6.46875
304	11	11	1	10.0234375
305	5956	5956	1	2.78125
306	11	11	1	8.1796875
307	4055	4055	1	1.078125
308	11	11	1	3.6875
309	466	466	1	2.703125
310	21853	21853	1	7.921875
311	8404	8404	1	3.53125
312	46780	46780	1	6.171875
313	13	13	1	0.90625
314	353	353	1	0.234375
315	3172	3172	1	8.578125
316	8941	958	0	0.421875
317	440	440	1	0.890625
318	1483	1483	1	1.59375
319	2315	2315	1	4.953125
320	364	364	1	3.59375
321	37685	37685	1	4.25
322	303	11	0	0.484375
323	15673	15673	1	2.40625
324	11	11	1	0.421875
325	694	694	1	4.921875
326	6088	6088	1	2.609375
327	25605	4055	0	0.03125
328	13	13	1	6.34375
329	198	198	1	0.625
330	256	256	1	1.046875
331	348	348	1	8.40625
332	8046	8046	1	8.2265625
333	220	220	1	8.1171875
334	17	17	1	7.96875
335	25	25	1	6.734375
336	52790	52790	1	8.765625
337	286	286	1	1.421875
338	9	9	1	5.203125
339	198	198	1	8.515625
340	256	256	1	9.4140625
341	471	471	1	8.375
342	44372	44372	1	6.078125
343	9381	9381	1	5.1875
344	1287	1287	1	1.0625
345	748	748	1	7.1875
346	421	660	0	0.46875
347	25212	660	0	0.5625
348	369	369	1	0.453125
349	303	303	1	4.203125
350	1141	4252	0	0.3125
351	4252	4252	1	0.078125
352	2234	10300	0	2.03125
353	198	198	1	0.90625
354	256	256	1	8.546875
355	471	471	1	9.6640625
356	33027	1942	0	0.875
357	361	361	1	2.140625
358	25212	25212	1	7.9140625
