pos	boltTok	strictPred	match	margin
0	90700	90700	1	-1.0
1	8340	8340	1	7.3984375
2	25	25	1	14.6953125
3	271	271	1	10.875
4	16	16	1	12.859375
5	13	13	1	9.8125
6	220	220	1	11.53125
7	2972	2972	1	11.8125
8	1847	1847	1	9.640625
9	7355	7355	1	11.8125
10	279	279	1	11.359375
11	5952	1156	0	1.9375
12	64700	64700	1	9.203125
13	198	198	1	12.65625
14	262	262	1	10.203125
15	348	348	1	10.765625
16	256	256	1	9.890625
17	31819	31819	1	6.421875
18	25	25	1	13.625
19	8169	8169	1	2.921875
20	279	279	1	5.453125
21	12515	12515	1	12.890625
22	7701	7701	1	4.828125
23	6105	6105	1	14.203125
24	13	13	1	5.578125
25	198	198	1	10.1953125
26	262	262	1	9.140625
27	348	348	1	14.359375
28	256	256	1	10.609375
29	11574	11574	1	3.625
30	25	25	1	10.296875
31	41774	41774	1	11.0
32	6163	6163	1	13.75
33	318	318	1	2.46875
34	22230	22230	1	6.1875
35	11	11	1	2.4375
36	2708	2708	1	1.59375
37	11	11	1	6.03125
38	874	874	1	2.375
39	492	492	1	3.90625
40	68421	68421	1	14.3125
41	11	1332	0	1.09375
42	15156	15156	1	1.5
43	553	553	1	3.109375
44	198	198	1	11.140625
45	262	262	1	10.6484375
46	348	348	1	14.28125
47	256	256	1	10.8125
48	16777	16777	1	9.515625
49	25	25	1	12.8125
50	9680	9680	1	9.515625
51	2250	2250	1	11.671875
52	41228	41228	1	10.265625
53	13	13	1	12.828125
54	271	271	1	9.203125
55	17	17	1	11.1328125
56	13	13	1	10.390625
57	220	220	1	9.234375
58	2972	2972	1	13.71875
59	48401	48401	1	7.0625
60	286	286	1	10.28125
61	471	471	1	9.40625
62	47690	47690	1	9.15625
63	220	220	1	5.921875
64	16	16	1	7.28125
65	25	25	1	5.34375
66	561	561	1	1.890625
67	8483	8483	1	1.9375
68	321	321	1	1.171875
69	279	279	1	3.359375
70	41292	41292	1	0.109375
71	64700	64700	1	0.9375
72	198	198	1	10.8671875
73	262	262	1	9.1953125
74	348	348	1	9.90625
75	256	256	1	10.25
76	348	348	1	9.53125
77	43098	43098	1	0.34375
78	51595	51595	1	5.40625
79	7806	7806	1	8.09375
80	4009	4009	1	8.34375
81	5435	5686	0	1.53125
82	660	660	1	6.828125
83	7736	7736	1	11.484375
84	13	13	1	2.21875
85	52022	6350	0	0.3125
86	1100	7771	0	13.5234375
87	2311	9872	0	10.09375
88	2311	9872	0	3.53125
89	2311	9872	0	2.03125
90	2311	9872	0	2.734375
91	2311	9872	0	2.5
92	2311	9872	0	1.21875
93	2311	9872	0	3.65625
94	2311	9872	0	2.171875
95	2311	9872	0	2.609375
96	2311	9872	0	1.28125
97	2311	9872	0	0.75
98	2311	9872	0	0.3125
99	2311	9872	0	1.078125
100	2311	9872	0	0.09375
101	2311	2311	1	1.3125
102	2311	2311	1	0.21875
103	2311	2311	1	0.265625
104	2311	9872	0	0.78125
105	2311	9872	0	0.0625
106	2311	2311	1	1.8125
107	2311	2311	1	1.078125
108	2311	2311	1	0.96875
109	2311	2311	1	2.0
110	2311	2311	1	2.125
111	2311	2311	1	1.421875
112	2311	2311	1	2.90625
113	2311	2311	1	4.359375
114	2311	2311	1	3.9453125
115	2311	2311	1	3.4921875
116	2311	2311	1	2.671875
117	2311	2311	1	2.625
118	2311	2311	1	3.609375
119	2311	2311	1	3.84375
120	2311	2311	1	2.484375
121	2311	2311	1	3.484375
122	2311	2311	1	3.6640625
123	2311	2311	1	3.640625
124	2311	2311	1	4.2890625
125	2311	2311	1	4.2734375
126	2311	2311	1	4.515625
