tok	miss	routed	M	coldGate	totGate	margin	coldW	entropy	top8
0	30	320	1	-98.703125	-1023.0303	4.5390625	3.0643525	0.6191154	8340:18.296875,25:13.7578125,11574:13.6328125,26846:13.1328125,14665:12.9609375,1817:12.5546875,9321:12.2109375,14392:12.0
1	61	320	1	-207.77734	-1055.7207	15.609375	5.8898935	7.356393e-06	25:32.25,1590:16.640625,64700:15.5390625,51595:15.421875,579:14.8671875,71527:14.6875,8:13.984375,4960:13.8046875
2	14	320	1	-52.339844	-1030.0386	10.640625	1.0782373	0.001728313	271:22.90625,16:12.265625,561:12.0390625,987:11.3125,1358:10.765625,8:10.296875,4558:10.203125,579:9.9453125
3	11	320	1	-32.01953	-977.83105	13.765625	1.350765	6.2155246e-05	16:29.421875,19:15.65625,17:15.203125,760:14.578125,18:14.484375,20:14.09375,23:13.8125,40:13.578125
4	18	320	1	-59.69922	-1029.3682	11.578125	2.1959736	0.00035381448	13:26.21875,11:14.640625,442:13.7421875,401:13.2890625,159029:12.6953125,2211:12.46875,25:12.359375,1847:12.1484375
5	2	320	1	-6.9492188	-1209.2607	9.796875	0.22612813	0.00083007314	220:26.03125,2972:16.234375,256:13.8671875,561:12.71875,262:12.640625,332:12.4921875,279:12.046875,198:11.3671875
6	19	320	1	-67.26758	-1072.416	12.125	1.9575641	0.00015057139	2972:26.703125,401:14.578125,1526:12.7109375,332:12.3984375,17:12.0546875,348:11.84375,16:11.8203125,18:11.5703125
7	12	320	1	-44.41992	-1244.7354	2.578125	1.4281715	0.25994253	1847:25.8125,2014:23.234375,1526:16.59375,442:16.125,1113:15.5546875,21018:15.328125,35:14.828125,30949:14.734375
8	69	320	1	-253.61914	-1251.5723	10.46875	8.646299	0.0027159718	7355:24.390625,27538:13.921875,37088:13.859375,78766:13.453125,50932:13.4140625,45621:13.3359375,18115:12.8046875,12:12.2890625
9	38	320	1	-125.54248	-1129.5317	9.5	4.6040835	0.002773743	279:27.171875,5952:17.671875,321:16.84375,2570:16.765625,594:16.5625,14:16.375,11033:15.8359375,15380:15.6875
10	45	320	1	-166.66992	-1261.457	1.328125	5.81315	1.3993148	5952:24.703125,1156:23.375,57491:22.921875,2570:22.609375,11033:21.828125,9640:21.75,15380:20.71875,24057:20.390625
11	25	320	1	-86.95996	-1169.0654	7.171875	3.3944402	0.0077930875	64700:26.15625,25:18.984375,92217:16.421875,51595:14.59375,198:14.5625,2879:14.1796875,188912:13.71875,159029:13.1328125
12	10	320	1	-32.285156	-1077.8994	11.546875	1.2309064	0.00056564866	198:24.890625,38622:13.34375,561:12.84375,9:12.1953125,262:11.4140625,271:11.0078125,64:10.78125,5614:10.7109375
13	11	320	1	-35.09961	-1016.87695	8.328125	1.3836845	0.0026216144	262:29.265625,256:20.9375,9:17.9375,16:17.671875,257:16.484375,285:16.171875,197:15.140625,348:14.796875
14	14	320	1	-57.92578	-1283.915	9.625	1.7405027	0.0016767138	348:25.59375,471:15.96875,7061:14.2109375,12492:14.046875,328:13.5859375,220:13.4453125,696:13.1875,264:13.0390625
15	7	320	1	-24.5625	-1148.1553	9.5	0.6653631	0.0009343731	256:32.34375,262:22.84375,31819:20.0,257:19.09375,950:18.65625,25562:18.203125,285:18.046875,406:18.046875
16	14	320	1	-51.660156	-1260.3184	4.171875	1.6608502	0.079169564	31819:31.984375,38622:27.8125,25562:21.65625,30381:19.328125,8282:18.625,13095:18.03125,15930:17.90625,82740:17.5625
17	4	320	1	-16.214844	-1261.5078	12.90625	0.5037145	0.0001753614	25:29.609375,51595:16.703125,8169:16.609375,64700:16.140625,9930:16.125,3069:16.046875,79091:14.9921875,476:14.6796875
18	14	320	1	-55.39258	-1272.2324	3.390625	1.8058872	0.1445808	8169:31.359375,79091:27.96875,14296:21.734375,68868:19.515625,9930:19.09375,3069:19.03125,17467:18.296875,328:17.0625
19	32	320	1	-117.48633	-1270.5215	6.78125	4.175105	0.019872585	279:31.421875,369:24.640625,1503:24.640625,12515:23.0625,7701:18.171875,14296:16.765625,1719:16.5625,3070:16.53125
20	40	320	1	-151.30664	-1259.2422	12.359375	4.6707463	0.00011790965	12515:31.28125,25832:18.921875,14296:17.703125,6105:17.296875,6574:16.0,6797:15.890625,1834:15.109375,1836:15.0
21	32	320	1	-121.17578	-1215.0156	2.1875	4.0347815	0.3356829	7701:28.703125,369:26.515625,5686:21.953125,6105:17.75,10263:17.578125,4816:16.515625,682:16.09375,878:15.3515625
22	55	320	1	-202.26172	-1292.6426	12.5625	7.8107877	0.0003115855	6105:30.046875,1447:17.484375,8432:16.96875,11855:16.75,13:16.71875,2438:16.390625,310:16.328125,5983:16.3125
23	803	5440	17	0.0	0.0	6.25	0.0	0.014780473	13:25.796875,30:19.546875,11:14.0234375,318:13.90625,198:13.8359375,78603:13.515625,1149:13.1953125,0:12.78125
24	14	320	1	-46.823242	-1259.1084	10.6953125	1.9990268	0.001267675	198:24.515625,271:13.8203125,13983:12.484375,328:12.46875,220:12.09375,17:12.0703125,79091:11.9140625,18:11.5625
25	16	320	1	-63.748047	-1241.3145	9.296875	1.7890612	0.002241515	262:24.140625,285:14.84375,256:13.140625,17:12.890625,348:12.5703125,9:12.3984375,220:11.84375,248069:11.8203125
