pos	boltTok	strictPred	match	margin
0	8160	8160	1	-1.0
1	579	579	1	9.2578125
2	264	264	1	5.40625
3	7047	7047	1	11.75
4	1817	7047	0	3.296875
5	25	25	1	11.6328125
6	271	271	1	13.984375
7	16	16	1	7.96875
8	13	13	1	13.9453125
9	220	220	1	13.0390625
10	2972	2972	1	9.453125
11	2014	2014	1	9.609375
12	53983	53983	1	14.46875
13	279	2570	0	4.5625
14	2570	2570	1	2.609375
15	5952	57491	0	2.796875
16	64700	64700	1	7.953125
17	198	198	1	11.484375
18	256	256	1	7.234375
19	471	471	1	14.078125
20	2972	2972	1	14.390625
21	25562	25562	1	2.40625
22	64700	64700	1	14.390625
23	357	357	1	1.703125
24	2716	324	0	0.890625
25	3255	3255	1	13.40625
26	883	883	1	8.4375
27	264	264	1	15.984375
28	324	324	1	10.484375
29	55965	55965	1	12.171875
30	51624	51624	1	9.90625
31	852	852	1	4.09375
32	49296	49296	1	8.71875
33	264	264	1	15.234375
34	1876	1876	1	11.9375
35	303	303	1	15.375
36	264	264	1	14.09375
37	16002	16002	1	11.25
38	13	13	1	11.125
39	198	198	1	14.734375
40	256	256	1	12.75
41	471	471	1	13.75
42	2972	2972	1	12.359375
43	1536	1536	1	3.5625
44	33027	33027	1	11.953125
45	64700	64700	1	12.1875
46	436	436	1	10.453125
47	55965	55965	1	13.109375
48	51624	51624	1	6.4375
49	11	11	1	5.0625
50	1876	1876	1	4.390625
51	303	303	1	11.6875
52	264	264	1	8.3125
53	16002	16002	1	11.828125
54	11	11	1	8.0625
55	2716	2716	1	3.140625
56	3255	3255	1	9.296875
57	3443	3443	1	9.671875
58	13	13	1	8.890625
59	198	198	1	5.0625
60	256	256	1	14.421875
61	471	471	1	15.96875
62	2972	2972	1	14.1875
63	51	51	1	4.453125
64	64644	588	0	11.125
65	14	14	1	3.421875
66	2247	36282	0	0.375
67	64700	64700	1	10.78125
68	5097	5097	1	2.84375
69	11	11	1	10.265625
70	694	694	1	13.71875
71	353	10813	0	1.0
72	3172	3172	1	2.46875
73	8940	8940	1	8.71875
74	364	364	1	14.3125
75	2414	42900	0	1.25
76	42900	42900	1	3.453125
77	11	11	1	12.859375
78	9781	9781	1	5.03125
79	83093	24577	0	1.515625
80	7516	7516	1	9.96875
81	694	694	1	0.78125
82	13260	13260	1	0.8125
83	36307	36307	1	4.75
84	11	11	1	2.59375
85	440	440	1	4.828125
86	264	264	1	3.578125
87	5077	5077	1	1.125
88	383	383	1	12.90625
89	29310	29310	1	0.015625
90	11	11	1	2.890625
91	13618	13618	1	0.421875
92	11	11	1	8.453125
93	321	321	1	8.125
94	264	264	1	0.734375
95	5615	5615	1	1.984375
96	314	314	1	13.1875
97	21831	21831	1	2.328125
98	13	13	1	1.984375
99	271	271	1	11.3671875
100	17	17	1	4.890625
101	13	13	1	13.25
102	220	220	1	9.875
103	2972	2972	1	12.046875
104	12048	12048	1	1.375
105	594	594	1	2.46875
106	19427	19427	1	10.90625
107	10499	10499	1	8.140625
108	64700	64700	1	10.03125
109	198	198	1	14.109375
110	256	256	1	12.0625
111	471	471	1	11.828125
112	2972	2972	1	0.90625
113	43	12048	0	0.21875
114	55965	55965	1	10.90625
115	78812	78812	1	7.109375
116	64700	64700	1	10.171875
117	82697	41717	0	0.5625
118	13	645	0	1.46875
119	52117	52117	1	2.640625
120	11	11	1	8.6875
121	1654	1654	1	0.515625
122	908	908	1	12.5625
123	11	11	1	11.640625
124	6107	6107	1	0.6875
125	7249	7249	1	1.625
126	11	11	1	0.390625
127	682	682	1	0.890625
128	8341	978	0	1.3125
129	279	279	1	2.28125
130	3000	3000	1	2.78125
131	364	364	1	4.90625
132	10476	10476	1	2.09375
133	13	13	1	7.25
134	10380	561	0	0.09375
135	5384	5384	1	0.578125
136	4184	4184	1	2.90625
137	11	11	1	0.8125
138	466	466	1	2.59375
139	1066	1066	1	5.1875
140	11886	14135	0	0.453125
141	310	310	1	0.34375
142	279	780	0	0.15625
143	13783	9117	0	0.515625
144	13	13	1	7.90625
145	6558	6558	1	4.765625
146	579	579	1	11.390625
147	708	1236	0	0.53125
148	440	440	1	13.0234375
149	264	11886	0	1.015625
150	5357	11012	0	0.0625
151	314	314	1	10.15625
152	11012	11012	1	5.609375
153	42189	42189	1	1.171875
154	11	694	0	0.859375
155	694	13618	0	0.546875
156	524	1990	0	0.421875
157	524	44367	0	0.015625
158	524	24380	0	0.359375
159	524	10548	0	0.234375
160	524	24380	0	0.46875
161	524	524	1	0.4375
162	524	524	1	0.6953125
163	524	524	1	0.953125
164	524	524	1	1.3984375
165	524	524	1	1.4375
166	524	524	1	1.6640625
167	524	524	1	2.3984375
168	524	524	1	2.1875
169	524	524	1	2.671875
170	524	524	1	2.8671875
171	524	524	1	3.1875
172	524	524	1	3.8359375
173	524	524	1	3.96875
174	524	524	1	4.125
175	524	524	1	4.453125
176	524	524	1	4.2109375
177	524	524	1	4.0234375
178	524	524	1	4.078125
179	524	524	1	4.6875
180	524	524	1	4.0234375
181	524	524	1	4.0546875
182	524	524	1	4.7109375
183	524	524	1	4.5
184	524	524	1	4.5234375
185	524	524	1	4.2890625
186	524	524	1	4.0546875
