tok	miss	routed	M	coldGate	totGate	margin	coldW	entropy	top8
0	31	320	1	-98.67676	-968.16797	8.453125	3.088561	0.06798854	579:19.421875,79:10.96875,82:10.921875,11:10.65625,4221:10.6171875,7047:10.546875,26:10.5234375,725:10.484375
1	90	320	1	-302.4453	-1043.5857	5.2109375	9.695303	0.0672978	264:21.140625,7047:15.9296875,1683:13.4765625,11:13.46875,353:13.078125,303:12.59375,328:12.3046875,279:12.0
2	33	320	1	-126.78027	-1186.9336	9.7890625	3.6150618	0.0041665803	7047:25.328125,79420:15.5390625,50534:15.40625,248045:15.265625,279:15.1875,90700:15.0859375,248068:14.3515625,24725:12.7109375
3	102	320	1	-331.8994	-1046.4224	2.96875	11.413971	0.2186748	1817:23.25,7047:20.28125,795:15.703125,3019:14.0859375,1103:13.1640625,4936:13.15625,4475:13.1015625,1304:13.09375
4	81	320	1	-261.65234	-1013.56934	9.921875	8.510157	0.0010808979	25:25.625,421:15.703125,0:13.15625,279:12.875,51595:12.8671875,8559:12.6875,364:12.328125,310:12.234375
5	12	320	1	-41.947266	-1169.8613	9.3984375	1.1434416	0.0018656285	271:24.6875,4558:15.2890625,561:14.46875,279:13.6640625,3851:11.6171875,82697:11.46875,353:11.3515625,318:11.0
6	30	320	1	-95.83008	-1007.2217	7.484375	2.9564133	0.0072595403	16:27.140625,760:19.65625,332:18.578125,5170:16.171875,8160:15.703125,13962:14.1015625,90700:13.9375,8046:13.796875
7	24	320	1	-76.02637	-1019.458	11.8828125	2.5921474	0.00038745577	13:26.203125,14:14.3203125,11:14.171875,8:14.0,2014:13.640625,8360:12.546875,10436:12.296875,579:11.6796875
8	24	320	1	-86.23828	-1189.5898	11.546875	2.6349635	0.00035865372	220:24.953125,2972:13.40625,271:11.8046875,198:11.5859375,34830:10.796875,86:10.28125,318:10.1484375,272:10.046875
9	28	320	1	-98.24609	-1185.9502	7.0234375	3.3261483	0.01515994	2972:22.515625,248068:15.4921875,332:14.59375,348:13.6015625,220:12.6171875,757:12.421875,13962:11.3828125,279:10.7890625
10	18	320	1	-70.112305	-1221.7705	10.046875	1.7740611	0.001560884	2014:28.453125,44:18.40625,70814:17.703125,1473:16.953125,15771:16.796875,22903:16.265625,90010:16.25,1597:16.15625
11	70	320	1	-247.08496	-1118.8877	6.375	8.305196	0.030223565	53983:24.53125,1386:18.15625,7516:16.21875,49464:15.546875,41670:15.375,26025:15.2578125,13099:15.015625,97237:15.0
12	34	320	1	-126.49414	-1205.0469	0.46875	3.9442506	0.6871019	279:22.9375,2570:22.46875,561:15.90625,5952:15.6953125,12347:14.9921875,14206:14.8828125,8394:14.75,25946:14.1640625
13	30	320	1	-102.256836	-1227.8467	1.109375	4.1145043	0.82672113	2570:27.125,5952:26.015625,57491:25.125,1156:20.484375,9640:18.625,10710:18.140625,5396:17.90625,1622:16.875
14	57	320	1	-192.85449	-1118.5254	0.0625	7.966042	0.96247303	5952:26.03125,57491:25.96875,5396:24.578125,579:17.5625,9640:16.828125,64700:15.7578125,1879:15.734375,1622:15.40625
15	70	320	1	-240.36621	-1140.7139	8.421875	9.095253	0.0047591897	64700:26.953125,25:18.53125,332:18.25,92217:17.28125,188912:15.78125,159029:14.1953125,7518:13.890625,2879:13.3046875
16	28	320	1	-88.71484	-1028.4092	9.65625	3.0946329	0.0017615365	198:24.828125,561:15.171875,328:14.3359375,271:13.5859375,695:13.3828125,353:11.59375,279:11.1328125,318:10.984375
17	35	320	1	-110.259766	-997.64453	6.5	3.762303	0.012280757	256:25.296875,12:18.796875,471:14.6875,262:14.6328125,220:14.2734375,17:12.6328125,16:9.953125,4277:9.859375
18	53	320	1	-183.19922	-1159.4219	10.90625	7.623109	0.00025138078	471:28.328125,2972:17.421875,220:14.15625,348:13.125,256:12.515625,3856:12.1796875,1137:11.921875,12:11.203125
19	26	320	1	-86.12451	-1128.7554	11.953125	3.200801	0.0001469133	2972:32.125,31819:20.171875,332:18.984375,25562:18.375,38962:17.59375,348:16.546875,36282:16.484375,14606:15.2734375
20	80	320	1	-310.24023	-1248.3359	3.25	10.410881	0.17656802	25562:31.859375,36282:28.609375,12646:24.859375,3925:24.65625,5218:23.3125,52782:22.84375,1289:22.328125,31819:20.859375
21	19	320	1	-75.10742	-1259.7656	8.6875	2.1078875	0.001734932	64700:35.0625,92217:26.375,25:23.1875,51595:19.859375,245342:19.265625,188912:18.78125,332:18.640625,7518:18.125
22	41	320	1	-159.5332	-1248.0703	1.265625	4.572089	0.61618435	357:28.390625,10382:27.125,436:24.765625,324:17.375,5546:16.640625,2716:16.15625,8394:16.0,9357:15.265625
23	17	320	1	-68.64453	-1296.3838	0.734375	1.9826244	0.63131976	2716:28.0,324:27.265625,3255:18.734375,1248:17.0,436:16.4375,3000:15.2578125,542:14.7890625,8412:14.671875
24	41	320	1	-159.44336	-1252.8457	13.3125	5.372169	4.9472725e-05	3255:36.53125,25638:23.21875,98615:22.765625,14665:20.859375,17402:20.703125,883:20.65625,43594:20.328125,7112:19.875
25	30	320	1	-108.4043	-1219.6748	9.109375	3.854751	0.0011233848	883:33.75,198:24.640625,8823:17.75,9680:16.390625,97785:16.234375,50068:15.7109375,88889:15.5078125,23847:15.4453125
26	29	320	1	-109.56836	-1296.1855	14.9375	4.136928	7.4534923e-06	264:36.71875,324:21.78125,449:20.765625,279:18.09375,436:16.734375,4184:15.15625,64:14.765625,198:14.7421875
27	610	5440	17	0.0	0.0	11.046875	0.0	0.00061175943	324:28.140625,82697:17.09375,75:16.25,2235:16.203125,27878:14.9453125,637:14.828125,879:14.4765625,234:13.9765625
39	29	320	1	-96.875	-1179.9678	10.859375	3.3837178	0.00032171083	256:27.296875,220:16.4375,471:14.4140625,257:13.3671875,262:13.1796875,5690:12.890625,12:12.34375,17:11.921875
40	47	320	1	-178.53906	-1225.709	14.109375	5.776284	3.6056117e-05	471:30.3125,1328:16.203125,185756:15.765625,2972:15.6640625,2984:14.6484375,172299:13.859375,220:13.6484375,5141:13.6171875
41	25	320	1	-97.2666	-1211.4326	13.453125	3.239752	6.551531e-05	2972:31.375,5141:17.921875,1536:17.25,332:16.96875,348:16.515625,2984:16.09375,1328:15.4765625,3443:15.3515625
42	1006	5440	17	0.0	0.0	2.828125	0.0	0.341006	1536:31.328125,4232:28.5,3925:27.4375,36282:25.4375,11529:24.96875,51:24.28125,57201:20.359375,36247:20.25
43	30	320	1	-112.17383	-1240.124	12.109375	3.9409068	0.00012411343	33027:35.65625,11529:23.546875,8281:22.03125,5255:21.828125,22091:21.6875,100553:19.5625,62268:19.484375,20766:19.109375
44	33	320	1	-123.271484	-1252.5303	10.3125	4.2569003	0.0012045867	64700:31.984375,12296:21.671875,25:21.484375,54667:21.09375,92217:21.03125,436:18.734375,51595:18.4375,7518:17.21875
45	22	320	1	-79.9375	-1237.7314	9.71875	2.6170485	0.00082251366	436:30.890625,324:21.171875,244068:19.46875,8394:16.359375,15174:16.3125,695:15.484375,19427:15.2734375,4545:14.9140625
46	45	320	1	-173.08398	-1306.832	10.8359375	6.379893	0.0013364056	55965:25.28125,18291:14.4453125,324:13.7109375,481:13.5546875,34269:13.140625,7781:12.9375,46038:12.7265625,78812:12.71875
47	37	320	1	-140.5918	-1237.8242	4.96875	4.6538534	0.069510765	51624:29.765625,6047:24.796875,11:24.328125,18291:18.78125,78812:18.265625,2426:18.09375,39051:17.390625,1895:17.15625
48	44	320	1	-161.61328	-1257.8574	4.671875	5.7530518	0.059981924	11:27.625,318:22.953125,44067:20.4375,6047:17.625,3542:17.34375,1876:16.359375,1822:15.2890625,48921:13.6484375
49	41	320	1	-145.89209	-1265.7222	3.828125	5.299057	0.28230876	1876:24.859375,17789:21.03125,324:20.390625,10782:19.890625,24577:18.75,23443:18.59375,49296:18.53125,16002:18.0625
