pos	boltTok	strictPred	match	margin
0	8160	8160	1	-1.0
1	579	579	1	13.28125
2	264	264	1	9.21875
3	7047	7047	1	11.796875
4	1817	1817	1	6.125
5	25	25	1	3.484375
6	271	271	1	11.296875
7	16	16	1	9.265625
8	13	13	1	13.0078125
9	220	220	1	10.09375
10	2972	2972	1	11.1328125
11	15771	15771	1	8.890625
12	2598	2598	1	14.125
13	2570	2570	1	9.1875
14	5952	5952	1	7.359375
15	64700	64700	1	8.6875
16	198	198	1	5.765625
17	256	256	1	12.78125
18	471	471	1	12.515625
19	2972	2972	1	4.5625
20	25562	25562	1	11.0
21	64700	64700	1	13.03125
22	25804	25804	1	10.921875
23	7034	7034	1	2.359375
24	41085	41085	1	12.734375
25	7533	7533	1	12.453125
26	198	198	1	11.015625
27	256	256	1	14.53125
28	471	471	1	13.765625
29	2972	2972	1	15.03125
30	1536	1536	1	1.546875
31	32956	32956	1	5.78125
32	12296	310	0	1.53125
33	64700	64700	1	10.8125
34	36885	36885	1	5.90625
35	4980	4980	1	5.84375
36	11	11	1	17.03125
37	7034	7034	1	9.265625
38	41085	41085	1	12.5
39	32879	32879	1	8.015625
40	663	663	1	11.984375
41	11	11	1	12.296875
42	16778	16778	1	11.875
43	10082	10082	1	8.0
44	32284	32284	1	10.625
45	1701	1701	1	10.25
46	11	11	1	12.90625
47	16778	16778	1	14.203125
48	32790	32790	1	9.359375
49	198	198	1	9.65625
50	256	256	1	16.8125
51	471	471	1	15.265625
52	2972	2972	1	15.15625
53	4303	4303	1	1.1875
54	314	314	1	4.75
55	24951	24951	1	10.515625
56	64700	64700	1	11.4375
57	328	328	1	1.6875
58	623	623	1	0.171875
59	7472	7472	1	12.875
60	1	1	1	10.71875
61	471	198	0	1.203125
62	3749	3749	1	2.625
63	15352	15352	1	2.09375
64	15673	15673	1	3.46875
65	11	314	0	0.328125
66	23038	23038	1	1.84375
67	11	11	1	13.890625
68	54254	1528	0	0.5
69	11	11	1	10.171875
70	1528	1528	1	2.65625
71	32480	32480	1	5.375
72	11	11	1	13.8515625
73	24385	321	0	1.90625
74	11	11	1	6.109375
75	321	321	1	6.359375
76	14542	14542	1	1.328125
77	36515	36515	1	0.375
78	13	13	1	10.921875
79	271	271	1	6.53125
80	17	17	1	2.265625
81	13	13	1	15.15625
82	220	220	1	11.09375
83	2972	2972	1	13.6015625
84	1847	1847	1	3.203125
85	7355	7355	1	11.40625
86	25804	25804	1	1.234375
87	7034	7034	1	10.1875
88	41085	41085	1	13.296875
89	7533	7533	1	10.421875
90	64700	64700	1	7.46875
91	198	198	1	15.5
92	256	256	1	13.625
93	471	471	1	0.9375
94	25804	25804	1	2.078125
95	369	5533	0	0.71875
96	264	264	1	4.765625
97	3511	14294	0	0.203125
98	33924	33924	1	9.90625
99	11	11	1	3.515625
100	14294	14294	1	7.4375
101	7318	7318	1	0.953125
102	11176	11176	1	4.984375
103	13	13	1	2.375
104	198	198	1	6.171875
105	256	256	1	14.875
106	471	471	1	12.234375
107	7034	7034	1	5.0625
108	41085	41085	1	13.046875
109	2444	2444	1	5.46875
110	369	27028	0	1.90625
111	264	16099	0	1.140625
112	10732	8751	0	0.640625
113	16456	16456	1	3.359375
114	310	310	1	3.921875
115	5190	5471	0	0.59375
116	3790	3790	1	2.84375
117	52231	40786	0	1.328125
118	13	318	0	0.625
119	198	198	1	9.21875
120	256	256	1	15.9921875
121	471	471	1	12.109375
122	9237	9237	1	0.1875
123	7059	7059	1	0.359375
124	25	25	1	12.3515625
125	7034	26320	0	0.1875
126	41085	41085	1	9.703125
127	13249	13249	1	6.3125
128	318	318	1	2.703125
129	66	66	1	5.21875
130	4520	22429	0	7.265625
131	8	22429	0	0.828125
132	471	471	1	0.90625
133	4495	13001	0	1.578125
134	579	13001	0	1.296875
135	2420	3798	0	1.9375
