tok	miss	routed	M	coldGate	totGate	margin	coldW	entropy	top8
0	31	320	1	-93.35156	-966.8794	11.984375	3.2793753	0.00027081725	579:27.390625,2224:15.40625,725:14.765625,4035:13.8671875,2688:13.5546875,369:13.5390625,82:13.2890625,12887:13.203125
1	62	320	1	-194.28882	-1030.6819	8.234375	7.2006764	0.0026148725	264:27.703125,7047:19.46875,449:15.953125,821:12.5625,90700:12.1953125,579:12.109375,310:12.1015625,974:12.0
2	36	320	1	-127.51367	-1175.418	11.359375	3.963665	0.00035439877	7047:29.1875,50534:17.828125,79420:16.484375,90700:16.359375,99496:15.953125,31626:15.9296875,2614:15.4140625,1683:13.7734375
3	66	320	1	-214.90625	-1051.4795	7.3125	7.35347	0.0063676317	1817:29.8125,7047:22.5,97424:19.015625,8427:18.125,3019:17.890625,5759:17.578125,8340:17.265625,8240:17.15625
4	47	320	1	-153.96777	-1049.2822	2.875	4.991882	0.20909004	25:24.609375,421:21.734375,6964:12.2734375,51595:12.1484375,310:11.40625,13:11.3515625,440:11.3359375,0:11.0859375
5	14	320	1	-46.05957	-1145.6807	10.2734375	1.4198054	0.0012622026	271:23.9375,198:13.6640625,4558:13.4296875,561:12.3125,353:10.71875,62:10.625,421:10.484375,16:9.9296875
6	14	320	1	-42.242188	-1000.20605	6.1875	1.5618072	0.016415244	16:26.328125,760:20.140625,8160:15.7578125,40:15.078125,1919:14.6015625,13962:14.3359375,17:14.125,4277:13.96875
7	15	320	1	-41.899902	-956.7446	12.75	1.6709821	0.00013237286	13:27.34375,11:14.59375,8:14.3984375,14:13.484375,25:13.484375,15771:12.4765625,12:11.7109375,579:11.671875
8	9	320	1	-34.529297	-1202.8154	9.0625	0.80707	0.001710481	220:26.0,2972:16.9375,68490:14.5078125,9170:14.421875,43934:14.375,272:13.2578125,3418:12.25,8396:12.0546875
9	31	320	1	-116.637695	-1178.0098	11.109375	3.0285378	0.00047814928	2972:26.0625,25804:14.953125,332:13.0625,353:12.7578125,52451:12.5859375,220:12.4921875,361:12.140625,1510:12.0625
10	9	320	1	-32.63867	-1214.6113	7.921875	1.1963422	0.0035802682	15771:32.5,1847:24.578125,7744:20.6875,1421:19.984375,68490:19.875,67776:19.609375,68695:19.609375,56270:19.4375
11	54	320	1	-204.58594	-1234.6445	15.171875	6.303552	4.953387e-06	2598:44.125,93375:28.953125,9773:26.8125,47105:25.328125,49942:24.546875,15120:23.28125,81958:21.96875,2418:21.46875
12	24	320	1	-84.24072	-1080.4849	7.640625	2.7051332	0.0045087542	2570:31.375,279:23.734375,1156:19.640625,1421:19.5,97237:18.546875,13473:18.40625,7113:18.15625,78947:17.453125
13	42	320	1	-138.16699	-1142.6465	6.859375	6.8042264	0.008822549	5952:31.578125,11033:24.71875,1835:21.015625,579:19.375,38622:18.96875,1622:18.71875,57491:18.578125,101729:18.109375
14	22	320	1	-69.424805	-1157.29	8.75	3.5385053	0.0018021159	64700:31.234375,92217:22.484375,25:20.265625,188912:17.75,245342:17.015625,332:16.53125,159029:16.140625,236993:15.7265625
