tok	miss	routed	M	coldGate	totGate	margin	coldW
0	22	320	1	-70.51758	-972.17456	11.8359375	2.2514455
1	52	320	1	-173.94873	-1043.214	9.140625	6.1056676
2	30	320	1	-112.178955	-1224.4421	13.4375	3.155727
3	41	320	1	-139.13477	-1049.9912	11.296875	4.201839
4	33	320	1	-113.03125	-1054.013	2.703125	3.2300296
5	7	320	1	-21.088867	-1133.728	11.4453125	0.705544
6	13	320	1	-39.23242	-999.93945	8.578125	1.4102902
7	14	320	1	-39.864258	-972.583	12.921875	1.7321689
8	8	320	1	-27.702148	-1233.6543	9.9921875	0.92120564
9	15	320	1	-50.430664	-1203.6455	5.4609375	1.88364
10	5	320	1	-19.966797	-1205.1289	13.71875	0.55308807
11	45	320	1	-177.05469	-1256.7002	14.390625	5.085952
12	19	320	1	-59.737793	-1081.4362	8.796875	2.2816725
13	36	320	1	-109.43457	-1113.4961	10.5	5.965991
14	24	320	1	-76.680664	-1149.9497	10.46875	3.8437536
15	6	320	1	-17.796875	-1030.5898	10.546875	0.55884063
16	13	320	1	-41.48828	-975.4346	12.53125	1.3507189
17	25	320	1	-83.03711	-1129.3115	16.671875	3.5985215
18	10	320	1	-36.54297	-1130.417	6.265625	0.8649813
19	21	320	1	-82.21094	-1243.7549	11.046875	2.5145593
20	10	320	1	-39.59375	-1233.2285	12.46875	1.0503552
21	17	320	1	-63.626953	-1236.4062	3.703125	2.1687636
22	29	320	1	-105.20703	-1203.4551	12.1875	3.6538985
23	32	320	1	-119.788574	-1187.106	4.53125	4.1171713
24	14	320	1	-45.47461	-1199.0215	6.140625	1.5470829
25	14	320	1	-52.359375	-1239.7129	12.421875	1.4298791
26	20	320	1	-80.80664	-1227.1826	10.34375	2.2020752
27	11	320	1	-38.97461	-1229.7441	15.84375	1.3637655
28	12	320	1	-48.853516	-1252.3984	15.0	0.9982166
29	463	3520	11	0.0	0.0	5.765625	0.0
30	14	320	1	-50.42383	-1226.9795	14.703125	1.8800558
31	13	320	1	-45.99414	-1231.5977	1.5625	1.5003757
32	24	320	1	-85.791016	-1246.5117	16.328125	3.1880853
33	9	320	1	-35.583984	-1239.5957	14.234375	1.2503275
34	8	320	1	-31.038086	-1263.2354	14.015625	0.8029652
35	10	320	1	-39.521484	-1273.6914	14.359375	1.2035993
36	644	5440	17	0.0	0.0	0.34375	0.0
37	24	320	1	-77.07568	-1242.271	6.203125	3.439615
38	13	320	1	-46.152344	-1197.5039	14.5	1.3729881
39	8	320	1	-30.269531	-1247.7461	4.109375	0.9041504
40	13	320	1	-44.820312	-1175.9678	13.40625	1.4846584
41	19	320	1	-70.91406	-1215.7363	13.5	2.1621583
42	18	320	1	-73.00781	-1266.9092	13.6875	1.756208
43	604	4800	15	0.0	0.0	0.3125	0.0
44	39	320	1	-150.42188	-1202.1035	13.640625	4.718484
45	42	320	1	-153.99805	-1192.419	0.703125	5.262703
46	33	320	1	-116.146484	-1206.126	10.828125	3.8284087
47	50	320	1	-178.82715	-1189.2373	3.53125	5.8593583
48	39	320	1	-140.8584	-1177.2832	12.890625	4.475498
49	42	320	1	-145.64258	-1196.1758	2.84375	5.494427
50	32	320	1	-113.072266	-1235.9648	6.546875	4.0450172
51	40	320	1	-144.45996	-1228.5225	5.28125	4.9802923
52	64	320	1	-228.25488	-1193.1865	0.609375	7.817395
53	36	320	1	-126.65039	-1225.293	4.140625	4.2258863
54	14	320	1	-43.64746	-1015.9619	9.625	1.5008627
55	24	320	1	-75.265625	-1091.5127	13.46875	3.318641
56	15	320	1	-54.47168	-1240.1719	10.140625	1.7064638
57	32	320	1	-124.84277	-1276.2627	11.125	3.4771583
58	18	320	1	-69.52734	-1214.8232	4.921875	1.9365039
59	55	320	1	-209.14844	-1241.042	10.9375	6.390462
60	31	320	1	-101.79883	-1149.6318	1.78125	4.0363145
61	30	320	1	-111.76172	-1274.6973	14.265625	4.1250944
62	23	320	1	-84.68457	-1212.9668	1.625	3.0919743
63	12	320	1	-38.958984	-1226.5654	3.328125	1.4799998
64	15	320	1	-52.316406	-1241.8975	13.671875	1.6391689
65	10	320	1	-37.283203	-1118.2017	13.671875	0.9504293
66	15	320	1	-58.00586	-1246.8994	8.3125	1.5952153
67	534	5440	17	0.0	0.0	3.359375	0.0
68	36	320	1	-131.28418	-1244.4697	8.03125	5.040132
69	23	320	1	-83.73828	-1284.9443	4.78125	3.2351766
70	26	320	1	-86.018555	-1272.1807	11.59375	3.7346022
71	10	320	1	-29.189453	-1212.041	4.171875	1.1816357
72	35	320	1	-124.697266	-1210.7988	5.109375	4.804076
73	23	320	1	-86.52539	-1227.165	11.34375	2.6308331
74	46	320	1	-171.18848	-1283.8525	6.5625	5.5579147
75	54	320	1	-199.53418	-1253.1064	12.4375	7.348102
76	25	320	1	-86.125	-1212.7905	7.9375	3.090939
77	15	320	1	-59.998047	-1224.8828	11.96875	1.4936924
78	39	320	1	-139.33496	-1221.4766	1.140625	4.9350653
79	21	320	1	-77.396484	-1212.7588	16.140625	2.0734482
80	19	320	1	-71.78711	-1251.8877	13.875	1.9357909
81	707	5440	17	0.0	0.0	2.859375	0.0
82	11	320	1	-37.655273	-1228.5244	0.546875	1.4132897
83	12	320	1	-41.503906	-1266.8408	8.203125	1.8740611
84	14	320	1	-52.16797	-1213.4785	3.75	1.243283
85	31	320	1	-111.947266	-1125.8848	12.4375	3.1144025
86	27	320	1	-101.4043	-1213.666	2.234375	3.0915504
87	51	320	1	-203.87305	-1279.6289	13.6875	6.134387
88	35	320	1	-119.82178	-1211.9585	9.40625	4.7085147
89	25	320	1	-92.18652	-1200.166	2.71875	2.7643309
90	49	320	1	-182.8457	-1217.9854	12.46875	6.05827
91	74	320	1	-279.8003	-1244.9507	2.6875	9.672966
92	41	320	1	-154.0332	-1221.0566	2.59375	5.1789045
93	40	320	1	-158.96289	-1288.1787	11.109375	5.056266
94	47	320	1	-186.61719	-1270.9951	14.765625	5.301287
95	70	320	1	-278.6875	-1259.1309	8.140625	7.7332115
96	42	320	1	-155.64355	-1241.6221	12.78125	5.195714
97	53	320	1	-200.78418	-1224.6943	9.75	6.237448
98	39	320	1	-146.9707	-1204.7451	2.140625	4.7698216
99	115	320	1	-416.87305	-1241.3848	10.96875	16.996532
100	74	320	1	-280.85156	-1214.5381	4.75	8.735209
101	135	320	1	-460.80664	-1148.919	2.09375	18.205286
102	141	320	1	-519.71387	-1240.8936	5.015625	19.81273
103	100	320	1	-376.0039	-1230.2285	0.15625	12.753142
104	68	320	1	-244.46289	-1211.0596	4.859375	8.737989
105	106	320	1	-405.40625	-1238.2812	0.34375	13.4845
106	156	320	1	-568.7969	-1217.1348	3.15625	21.559174
107	141	320	1	-520.1533	-1236.3721	2.046875	18.92107
108	157	320	1	-588.2783	-1221.5928	1.921875	20.171906
109	129	320	1	-480.43945	-1230.8887	3.546875	17.328262
110	166	320	1	-603.9375	-1250.0835	6.890625	24.029524
111	151	320	1	-585.8086	-1278.4102	4.03125	20.320086
112	130	320	1	-495.01562	-1227.2109	2.515625	15.6854515
113	169	320	1	-622.3711	-1240.8477	9.890625	23.585173
114	167	320	1	-655.31836	-1286.166	2.21875	22.087942
115	113	320	1	-435.70703	-1280.2812	12.7421875	14.379467
116	65	320	1	-253.12793	-1255.4209	15.8125	8.294442
117	54	320	1	-213.65234	-1257.6084	10.71875	6.107672
118	66	320	1	-260.98828	-1253.834	6.8125	7.0395603
119	53	320	1	-200.89062	-1262.3008	11.4375	6.518306
120	67	320	1	-257.03223	-1256.1338	9.09375	8.229757
121	60	320	1	-229.90234	-1259.3418	10.15625	8.165401
122	80	320	1	-299.08398	-1250.8438	1.71875	10.582084
123	101	320	1	-362.38672	-1204.1387	0.171875	13.876723
124	108	320	1	-409.2666	-1243.9463	5.28125	13.474019
125	133	320	1	-524.8828	-1319.2773	5.03125	17.270954
126	109	320	1	-415.72754	-1244.71	0.296875	13.49203
127	77	320	1	-297.87793	-1276.0674	7.140625	9.902851
128	64	320	1	-243.81934	-1243.3291	0.328125	7.857025
129	43	320	1	-166.83594	-1303.9707	12.34375	5.7411046
130	63	320	1	-242.46094	-1264.874	11.421875	7.3850923
131	53	320	1	-199.47363	-1260.9053	11.28125	6.855327
132	66	320	1	-256.33398	-1263.7881	3.421875	8.030824
133	58	320	1	-220.03027	-1276.874	10.765625	7.278806
134	72	320	1	-280.0703	-1278.7861	2.78125	9.200627
135	72	320	1	-272.66406	-1230.5078	1.65625	8.504627
136	108	320	1	-412.89453	-1254.665	0.703125	13.902881
