tok	miss	routed	M	coldGate	totGate	margin	coldW
0	31	320	1	-98.67676	-968.16797	8.453125	3.088561
1	90	320	1	-302.4453	-1043.5857	5.2109375	9.695303
2	33	320	1	-126.78027	-1186.9336	9.7890625	3.6150618
3	102	320	1	-331.8994	-1046.4224	2.96875	11.413971
4	81	320	1	-261.65234	-1013.56934	9.921875	8.510157
5	12	320	1	-41.947266	-1169.8613	9.3984375	1.1434416
6	30	320	1	-95.83008	-1007.2217	7.484375	2.9564133
7	24	320	1	-76.02637	-1019.458	11.8828125	2.5921474
8	24	320	1	-86.23828	-1189.5898	11.546875	2.6349635
9	28	320	1	-98.24609	-1185.9502	7.0234375	3.3261483
10	18	320	1	-70.112305	-1221.7705	10.046875	1.7740611
11	70	320	1	-247.08496	-1118.8877	6.375	8.305196
12	34	320	1	-126.49414	-1205.0469	0.46875	3.9442506
13	30	320	1	-102.256836	-1227.8467	1.109375	4.1145043
14	57	320	1	-192.85449	-1118.5254	0.0625	7.966042
15	70	320	1	-240.36621	-1140.7139	8.421875	9.095253
16	28	320	1	-88.71484	-1028.4092	9.65625	3.0946329
17	35	320	1	-110.259766	-997.64453	6.5	3.762303
18	53	320	1	-183.19922	-1159.4219	10.90625	7.623109
19	26	320	1	-86.12451	-1128.7554	11.953125	3.200801
20	80	320	1	-310.24023	-1248.3359	3.25	10.410881
21	19	320	1	-75.10742	-1259.7656	8.6875	2.1078875
22	41	320	1	-159.5332	-1248.0703	1.265625	4.572089
23	17	320	1	-68.64453	-1296.3838	0.734375	1.9826244
24	41	320	1	-159.44336	-1252.8457	13.3125	5.372169
25	30	320	1	-108.4043	-1219.6748	9.109375	3.854751
26	29	320	1	-109.56836	-1296.1855	14.9375	4.136928
27	610	5440	17	0.0	0.0	11.046875	0.0
39	29	320	1	-96.875	-1179.9678	10.859375	3.3837178
40	47	320	1	-178.53906	-1225.709	14.109375	5.776284
41	25	320	1	-97.2666	-1211.4326	13.453125	3.239752
42	1006	5440	17	0.0	0.0	2.828125	0.0
43	30	320	1	-112.17383	-1240.124	12.109375	3.9409068
44	33	320	1	-123.271484	-1252.5303	10.3125	4.2569003
45	22	320	1	-79.9375	-1237.7314	9.71875	2.6170485
46	45	320	1	-173.08398	-1306.832	10.8359375	6.379893
47	37	320	1	-140.5918	-1237.8242	4.96875	4.6538534
