tok	miss	routed	M	coldGate	totGate	margin	coldW
0	31	320	1	-93.35156	-966.8794	11.984375	3.2793753
1	62	320	1	-194.28882	-1030.6819	8.234375	7.2006764
2	36	320	1	-127.51367	-1175.418	11.359375	3.963665
3	66	320	1	-214.90625	-1051.4795	7.3125	7.35347
4	47	320	1	-153.96777	-1049.2822	2.875	4.991882
5	14	320	1	-46.05957	-1145.6807	10.2734375	1.4198054
6	14	320	1	-42.242188	-1000.20605	6.1875	1.5618072
7	15	320	1	-41.899902	-956.7446	12.75	1.6709821
8	9	320	1	-34.529297	-1202.8154	9.0625	0.80707
9	31	320	1	-116.637695	-1178.0098	11.109375	3.0285378
10	9	320	1	-32.63867	-1214.6113	7.921875	1.1963422
11	54	320	1	-204.58594	-1234.6445	15.171875	6.303552
12	24	320	1	-84.24072	-1080.4849	7.640625	2.7051332
13	42	320	1	-138.16699	-1142.6465	6.859375	6.8042264
14	22	320	1	-69.424805	-1157.29	8.75	3.5385053
15	6	320	1	-20.166016	-1032.7773	3.21875	0.58653355
16	13	320	1	-40.796875	-978.09375	11.28125	1.4482429
17	17	320	1	-55.28711	-1067.3496	12.640625	2.3463259
18	5	320	1	-17.53711	-1133.0576	1.703125	0.43614268
19	14	320	1	-54.16211	-1248.832	11.21875	1.6365277
20	8	320	1	-29.5625	-1245.082	13.46875	0.8734425
21	16	320	1	-59.296875	-1246.7383	11.078125	2.071391
22	19	320	1	-67.80859	-1171.0166	2.46875	2.5071683
23	5	320	1	-20.142578	-1242.9229	13.265625	0.4882027
24	2	320	1	-7.685547	-1171.8232	12.65625	0.16953239
25	1	320	1	-4.2890625	-1210.4473	11.171875	0.11171606
26	14	320	1	-59.265625	-1230.4258	13.953125	1.5929902
27	10	320	1	-38.38086	-1233.1582	13.609375	0.97197545
28	5	320	1	-19.300781	-1175.043	12.71875	0.46686864
29	350	3520	11	0.0	0.0	1.25	0.0
30	21	320	1	-78.39844	-1247.6592	5.875	2.5614097
31	30	320	1	-114.54883	-1263.334	0.625	3.8180952
32	45	320	1	-153.87207	-1252.1582	11.953125	7.1129103
33	16	320	1	-61.296875	-1256.3408	5.046875	1.7148712
