pos	boltTok	strictPred	match	margin
0	8160	8160	1	-1.0
1	579	579	1	0.0
2	264	264	1	0.0
3	7047	7047	1	0.0
4	1817	1817	1	0.0
5	25	25	1	0.0
6	271	271	1	0.0
7	16	16	1	0.0
8	13	13	1	0.0
9	220	220	1	0.0
10	2972	2972	1	0.0
11	15771	15771	1	0.0
12	2598	2598	1	0.0
13	2570	2570	1	0.0
14	5952	5952	1	0.0
15	64700	64700	1	0.0
16	198	198	1	0.0
17	256	256	1	0.0
18	471	471	1	0.0
19	2972	2972	1	0.0
20	25562	25562	1	0.0
21	64700	64700	1	0.0
22	3297	3297	1	0.0
23	5607	5607	1	0.0
24	366	366	1	0.0
25	11767	11767	1	0.0
26	198	198	1	0.0
27	256	256	1	0.0
28	471	471	1	0.0
29	2972	2972	1	0.0
30	57201	57201	1	0.0
31	64700	64700	1	0.0
32	60552	60552	1	0.0
33	2923	2923	1	0.0
34	13909	13909	1	0.0
35	28253	28253	1	0.0
36	15673	15673	1	0.0
37	11	478	0	0.0
38	12654	12654	1	0.0
39	7873	7873	1	0.0
40	198	198	1	0.0
41	256	256	1	0.0
42	471	471	1	0.0
43	2972	2972	1	0.0
44	38663	1536	0	0.0
45	64700	64700	1	0.0
46	11680	11680	1	0.0
47	11	11	1	0.0
48	15751	15751	1	0.0
49	11	11	1	0.0
50	12995	12995	1	0.0
51	11	11	1	0.0
52	321	321	1	0.0
53	14542	14542	1	0.0
54	271	271	1	0.0
55	17	17	1	0.0
56	13	13	1	0.0
57	220	220	1	0.0
58	2972	2972	1	0.0
59	1847	1847	1	0.0
60	7355	7355	1	0.0
61	3297	3297	1	0.0
62	5607	5607	1	0.0
63	366	366	1	0.0
64	64700	64700	1	0.0
65	198	198	1	0.0
66	256	256	1	0.0
67	471	471	1	0.0
68	3437	3437	1	0.0
69	369	369	1	0.0
70	424	424	1	0.0
71	30	30	1	0.0
72	357	357	1	0.0
73	21078	21078	1	0.0
74	9485	9485	1	0.0
75	14429	14429	1	0.0
76	15487	15487	1	0.0
77	27355	27355	1	0.0
78	11767	11767	1	0.0
79	198	13	0	0.0
80	256	256	1	0.0
81	471	471	1	0.0
82	5141	5141	1	0.0
83	7123	7123	1	0.0
84	25	25	1	0.0
85	198	198	1	0.0
86	257	257	1	0.0
87	220	264	0	0.0
88	16	16	1	0.0
89	13	13	1	0.0
90	21513	21513	1	0.0
91	264	264	1	0.0
92	25212	25212	1	0.0
93	198	198	1	0.0
94	257	257	1	0.0
95	220	220	1	0.0
96	17	17	1	0.0
97	13	13	1	0.0
98	52790	52790	1	0.0
99	279	279	1	0.0
100	1287	1287	1	0.0
101	2094	2094	1	0.0
102	279	279	1	0.0
103	25212	25212	1	0.0
104	318	198	0	0.0
105	20766	20766	1	0.0
106	361	361	1	0.0
107	25212	25212	1	0.0
108	11	708	0	0.0
109	5951	5255	0	0.0
110	310	11	0	0.0
111	25212	11	0	0.0
112	11	11	1	0.0
113	835	835	1	0.0
114	25212	25212	1	0.0
115	8	8	1	0.0
116	198	198	1	0.0
117	257	257	1	0.0
118	220	220	1	0.0
119	18	18	1	0.0
120	13	13	1	0.0
121	3931	3931	1	0.0
122	76991	76991	1	0.0
123	3269	3668	0	0.0
124	2047	279	0	0.0
125	321	321	1	0.0
126	1245	1245	1	0.0
127	45127	1146	0	0.0
128	198	198	1	0.0
129	257	257	1	0.0
130	220	220	1	0.0
131	19	19	1	0.0
132	13	13	1	0.0
133	5183	45247	0	0.0
134	1105	1105	1	0.0
135	25	25	1	0.0
136	4147	17839	0	0.0
137	466	466	1	0.0
138	3074	3074	1	0.0
139	27522	27522	1	0.0
140	17839	17839	1	0.0
141	198	513	0	0.0
142	256	256	1	0.0
143	471	471	1	0.0
144	3984	3984	1	0.0
145	22373	22373	1	0.0
146	25	25	1	0.0
147	496	496	1	0.0
148	1393	1393	1	0.0
149	8	1433	0	0.0
150	5289	5289	1	0.0
151	11	11	1	0.0
152	496	496	1	0.0
153	1393	1393	1	0.0
154	8	28495	0	0.0
155	11447	11447	1	0.0
156	11	1105	0	0.0
157	496	496	1	0.0
158	1393	1393	1	0.0
159	8	1433	0	0.0
160	1786	3433	0	0.0
161	198	318	0	0.0
162	256	256	1	0.0
163	471	471	1	0.0
164	11156	11156	1	0.0
165	22373	22373	1	0.0
166	25	25	1	0.0
167	496	496	1	0.0
168	12171	12171	1	0.0
169	8	307	0	0.0
170	5289	5289	1	0.0
171	318	318	1	0.0
172	47848	2670	0	0.0
173	5436	5436	1	0.0
174	681	681	1	0.0
175	496	496	1	0.0
176	1393	1393	1	0.0
177	8	8	1	0.0
178	11447	11447	1	0.0
179	198	198	1	0.0
180	256	256	1	0.0
181	471	471	1	0.0
182	733	733	1	0.0
183	40284	40284	1	0.0
184	5972	5972	1	0.0
185	13	13	1	0.0
186	680	680	1	0.0
187	8404	8404	1	0.0
188	40284	40284	1	0.0
189	25	25	1	0.0
190	2885	353	0	0.0
191	381	381	1	0.0
192	11205	11205	1	0.0
193	303	2107	0	0.0
194	40284	40284	1	0.0
195	466	466	1	0.0
196	440	440	1	0.0
197	4799	4799	1	0.0
198	3433	17839	0	0.0
199	271	13	0	0.0
200	18	18	1	0.0
201	13	13	1	0.0
202	220	220	1	0.0
203	2972	2972	1	0.0
204	22238	22238	1	0.0
205	279	279	1	0.0
206	68868	68868	1	0.0
207	64700	64700	1	0.0
208	198	198	1	0.0
209	256	256	1	0.0
210	471	471	1	0.0
211	27416	27416	1	0.0
212	14	310	0	0.0
213	39688	39688	1	0.0
214	198	198	1	0.0
215	256	256	1	0.0
216	471	471	1	0.0
217	14392	14392	1	0.0
218	13909	13909	1	0.0
219	28253	28253	1	0.0
220	29006	29006	1	0.0
221	318	198	0	0.0
222	4058	4058	1	0.0
223	264	3010	0	0.0
224	13769	13769	1	0.0
225	3010	3010	1	0.0
226	8	8	1	0.0
227	198	198	1	0.0
228	256	256	1	0.0
229	471	471	1	0.0
230	12654	12654	1	0.0
231	7873	7873	1	0.0
232	318	318	1	0.0
233	7187	20385	0	0.0
234	11	11	1	0.0
235	1575	1575	1	0.0
236	44145	44145	1	0.0
237	290	290	1	0.0
238	8	8	1	0.0
239	198	198	1	0.0
240	256	256	1	0.0
241	471	471	1	0.0
242	68230	68230	1	0.0
243	6157	6157	1	0.0
244	198	198	1	0.0
245	256	256	1	0.0
246	471	471	1	0.0
247	5141	5141	1	0.0
248	36515	36515	1	0.0
249	14	14	1	0.0
250	18555	18555	1	0.0
251	7787	7787	1	0.0
252	318	198	0	0.0
253	66125	66125	1	0.0
254	6381	6381	1	0.0
255	11	11	1	0.0
256	19150	303	0	0.0
257	11	11	1	0.0
258	303	4831	0	0.0
259	40284	40284	1	0.0
260	5972	5972	1	0.0
261	13	13	1	0.0
262	680	680	1	0.0
263	8404	8404	1	0.0
264	40284	40284	1	0.0
265	8	8	1	0.0
266	198	198	1	0.0
267	256	256	1	0.0
268	471	471	1	0.0
269	71366	71366	1	0.0
270	271	271	1	0.0
271	19	19	1	0.0
272	13	13	1	0.0
273	220	220	1	0.0
274	2972	2972	1	0.0
275	48401	48401	1	0.0
276	471	471	1	0.0
277	14392	14392	1	0.0
278	13909	13909	1	0.0
279	12	12	1	0.0
280	8046	8046	1	0.0
281	68868	68868	1	0.0
282	318	318	1	0.0
283	44	44	1	0.0
284	88945	6098	0	0.0
285	8288	8288	1	0.0
286	35953	35953	1	0.0
287	188912	188912	1	0.0
288	198	198	1	0.0
289	256	256	1	0.0
290	353	353	1	0.0
291	3172	3172	1	0.0
292	958	958	1	0.0
293	264	264	1	0.0
294	2526	13769	0	0.0
295	1287	1287	1	0.0
296	25	25	1	0.0
297	74988	74988	1	0.0
298	19	18	0	0.0
299	11	11	1	0.0
300	220	220	1	0.0
301	20	17	0	0.0
302	11	11	1	0.0
303	220	220	1	0.0
304	17	16	0	0.0
305	11	11	1	0.0
306	220	220	1	0.0
307	16	23	0	0.0
308	11	11	1	0.0
309	220	220	1	0.0
310	18	18	1	0.0
311	60	60	1	0.0
312	63	63	1	0.0
313	466	198	0	0.0
314	6970	74988	0	0.0
315	74988	74988	1	0.0
316	58	18	0	0.0
317	20	18	0	0.0
318	11	11	1	0.0
