pos	boltTok	strictPred	match	margin
0	8160	8160	1	-1.0
1	579	579	1	0.0
2	264	264	1	0.0
3	7047	7047	1	0.0
4	1817	7047	0	0.0
5	25	25	1	0.0
6	271	271	1	0.0
7	16	16	1	0.0
8	13	13	1	0.0
9	220	220	1	0.0
10	2972	2972	1	0.0
11	2014	2014	1	0.0
12	53983	53983	1	0.0
13	279	2570	0	0.0
14	2570	2570	1	0.0
15	5952	57491	0	0.0
16	64700	64700	1	0.0
17	198	198	1	0.0
18	256	256	1	0.0
19	471	471	1	0.0
20	2972	2972	1	0.0
21	25562	25562	1	0.0
22	64700	64700	1	0.0
23	357	357	1	0.0
24	2716	324	0	0.0
25	3255	3255	1	0.0
26	883	883	1	0.0
27	264	264	1	0.0
28	324	324	1	0.0
29	55965	55965	1	0.0
30	51624	51624	1	0.0
31	852	852	1	0.0
32	49296	49296	1	0.0
33	264	264	1	0.0
34	1876	1876	1	0.0
35	303	303	1	0.0
36	264	264	1	0.0
37	16002	16002	1	0.0
38	13	13	1	0.0
39	198	198	1	0.0
40	256	256	1	0.0
41	471	471	1	0.0
42	2972	2972	1	0.0
43	1536	1536	1	0.0
44	33027	33027	1	0.0
45	64700	64700	1	0.0
46	436	436	1	0.0
47	55965	55965	1	0.0
48	51624	51624	1	0.0
49	11	11	1	0.0
50	1876	1876	1	0.0
51	303	303	1	0.0
52	264	264	1	0.0
53	16002	16002	1	0.0
54	11	11	1	0.0
55	2716	2716	1	0.0
56	3255	3255	1	0.0
57	3443	3443	1	0.0
58	13	13	1	0.0
59	198	198	1	0.0
60	256	256	1	0.0
61	471	471	1	0.0
62	2972	2972	1	0.0
63	51	51	1	0.0
64	64644	588	0	0.0
65	14	14	1	0.0
66	2247	36282	0	0.0
67	64700	64700	1	0.0
68	5097	5097	1	0.0
69	11	11	1	0.0
70	694	694	1	0.0
71	353	10813	0	0.0
72	3172	3172	1	0.0
73	8940	8940	1	0.0
74	364	364	1	0.0
75	2414	42900	0	0.0
76	42900	42900	1	0.0
77	11	11	1	0.0
78	9781	9781	1	0.0
79	83093	24577	0	0.0
80	7516	7516	1	0.0
81	694	694	1	0.0
82	13260	13260	1	0.0
83	36307	36307	1	0.0
84	11	11	1	0.0
85	440	440	1	0.0
86	264	264	1	0.0
87	5077	5077	1	0.0
88	383	383	1	0.0
89	29310	29310	1	0.0
90	11	11	1	0.0
91	13618	13618	1	0.0
92	11	11	1	0.0
93	321	321	1	0.0
94	264	264	1	0.0
95	5615	5615	1	0.0
96	314	314	1	0.0
97	21831	21831	1	0.0
98	13	13	1	0.0
99	271	271	1	0.0
100	17	17	1	0.0
101	13	13	1	0.0
102	220	220	1	0.0
103	2972	2972	1	0.0
104	12048	12048	1	0.0
105	594	594	1	0.0
106	19427	19427	1	0.0
107	10499	10499	1	0.0
108	64700	64700	1	0.0
109	198	198	1	0.0
110	256	256	1	0.0
111	471	471	1	0.0
112	2972	2972	1	0.0
113	43	12048	0	0.0
114	55965	55965	1	0.0
115	78812	78812	1	0.0
116	64700	64700	1	0.0
117	82697	41717	0	0.0
118	13	645	0	0.0
119	52117	52117	1	0.0
120	11	11	1	0.0
121	1654	1654	1	0.0
122	908	908	1	0.0
123	11	11	1	0.0
124	6107	6107	1	0.0
125	7249	7249	1	0.0
126	11	11	1	0.0
127	682	682	1	0.0
128	8341	978	0	0.0
129	279	279	1	0.0
130	3000	3000	1	0.0
131	364	364	1	0.0
132	10476	10476	1	0.0
133	13	13	1	0.0
134	10380	561	0	0.0
135	5384	5384	1	0.0
136	4184	4184	1	0.0
137	11	11	1	0.0
138	466	466	1	0.0
139	1066	1066	1	0.0
140	2144	14135	0	0.0
141	440	440	1	0.0
142	95041	95041	1	0.0
143	13	13	1	0.0
144	6558	6558	1	0.0
145	579	579	1	0.0
146	708	708	1	0.0
147	440	440	1	0.0
148	4184	4184	1	0.0
149	852	852	1	0.0
150	13325	13325	1	0.0
151	8649	8649	1	0.0
152	303	303	1	0.0
153	13618	279	0	0.0
154	694	694	1	0.0
155	10751	369	0	0.0
156	264	279	0	0.0
157	11012	11012	1	0.0
158	75635	75635	1	0.0
159	13	364	0	0.0
160	198	198	1	0.0
161	256	256	1	0.0
162	471	471	1	0.0
163	2972	2972	1	0.0
164	43	14951	0	0.0
165	55965	55965	1	0.0
166	64700	64700	1	0.0
167	328	328	1	0.0
168	14004	14004	1	0.0
169	10495	6451	0	0.0
170	4963	8394	0	0.0
171	1	1	1	0.0
172	466	466	1	0.0
173	328	328	1	0.0
174	34	34	1	0.0
175	1082	1959	0	0.0
176	276	839	0	0.0
177	8394	8854	0	0.0
178	1	1149	0	0.0
179	471	471	1	0.0
180	2414	1042	0	0.0
181	23443	52941	0	0.0
182	11	11	1	0.0
183	791	791	1	0.0
184	2320	2320	1	0.0
185	383	383	1	0.0
186	264	264	1	0.0
187	25888	53653	0	0.0
188	3438	3438	1	0.0
189	13255	41586	0	0.0
190	13	13	1	0.0
191	6558	21190	0	0.0
192	579	579	1	0.0
193	708	958	0	0.0
194	440	440	1	0.0
195	328	328	1	0.0
196	34	39	0	0.0
197	1082	1082	1	0.0
198	276	276	1	0.0
199	8394	8394	1	0.0
200	1	1288	0	0.0
201	383	383	1	0.0
202	264	264	1	0.0
203	25888	27562	0	0.0
204	3438	3438	1	0.0
205	13255	11	0	0.0
206	13	314	0	0.0
207	6558	21190	0	0.0
208	579	579	1	0.0
209	708	708	1	0.0
210	440	440	1	0.0
211	328	328	1	0.0
212	34	34	1	0.0
213	1082	1082	1	0.0
214	276	276	1	0.0
215	8394	8394	1	0.0
216	1	1	1	0.0
217	383	383	1	0.0
218	264	264	1	0.0
219	25888	25888	1	0.0
220	3438	3438	1	0.0
221	13255	13255	1	0.0
222	13	13	1	0.0
223	6558	198	0	0.0
224	579	579	1	0.0
225	708	708	1	0.0
226	440	440	1	0.0
227	328	328	1	0.0
228	34	34	1	0.0
229	1082	1082	1	0.0
230	276	276	1	0.0
231	8394	8394	1	0.0
232	1	1	1	0.0
233	383	383	1	0.0
234	264	264	1	0.0
235	25888	25888	1	0.0
236	3438	3438	1	0.0
237	13255	13255	1	0.0
238	13	13	1	0.0
239	6558	198	0	0.0
240	579	579	1	0.0
241	708	708	1	0.0
242	440	440	1	0.0
243	328	328	1	0.0
244	34	34	1	0.0
245	1082	1082	1	0.0
246	276	276	1	0.0
247	8394	8394	1	0.0
248	1	1	1	0.0
249	383	383	1	0.0
250	264	264	1	0.0
251	25888	25888	1	0.0
252	3438	3438	1	0.0
253	13255	13255	1	0.0
254	13	13	1	0.0
255	6558	6558	1	0.0
256	579	579	1	0.0
257	708	708	1	0.0
258	440	440	1	0.0
259	328	328	1	0.0
260	34	34	1	0.0
261	1082	1082	1	0.0
262	276	276	1	0.0
263	8394	8394	1	0.0
264	1	1	1	0.0
265	383	383	1	0.0
266	264	264	1	0.0
267	25888	25888	1	0.0
268	3438	3438	1	0.0
269	13255	13255	1	0.0
270	13	13	1	0.0
271	6558	6558	1	0.0
272	579	579	1	0.0
273	708	708	1	0.0
274	440	440	1	0.0
275	328	328	1	0.0
276	34	34	1	0.0
277	1082	1082	1	0.0
278	276	276	1	0.0
279	8394	8394	1	0.0
280	1	1	1	0.0
281	383	383	1	0.0
282	264	264	1	0.0
283	25888	25888	1	0.0
284	3438	3438	1	0.0
285	13255	13255	1	0.0
286	13	13	1	0.0
287	6558	6558	1	0.0
288	579	579	1	0.0
289	708	708	1	0.0
290	440	440	1	0.0
291	328	328	1	0.0
292	34	34	1	0.0
293	1082	1082	1	0.0
294	276	276	1	0.0
295	8394	8394	1	0.0
296	1	1	1	0.0
297	383	383	1	0.0
298	264	264	1	0.0
299	25888	25888	1	0.0
300	3438	3438	1	0.0
301	13255	13255	1	0.0
302	13	13	1	0.0
303	6558	6558	1	0.0
304	579	579	1	0.0
305	708	708	1	0.0
306	440	440	1	0.0
307	328	328	1	0.0
308	34	34	1	0.0
309	1082	1082	1	0.0
310	276	276	1	0.0
311	8394	8394	1	0.0
312	1	1	1	0.0
313	383	383	1	0.0
314	264	264	1	0.0
315	25888	25888	1	0.0
316	3438	3438	1	0.0
317	13255	13255	1	0.0
318	13	13	1	0.0
319	6558	6558	1	0.0
