pos	boltTok	strictPred	match	margin
0	8160	8160	1	-1.0
1	579	579	1	0.0
2	264	264	1	0.0
3	7047	7047	1	0.0
4	1817	1817	1	0.0
5	421	25	0	0.0
6	11177	11177	1	0.0
7	310	310	1	0.0
8	279	279	1	0.0
9	11488	11488	1	0.0
10	15673	15673	1	0.0
11	321	321	1	0.0
12	12654	7873	0	0.0
13	7873	7873	1	0.0
14	314	314	1	0.0
15	3297	3297	1	0.0
16	5607	5607	1	0.0
17	366	366	1	0.0
18	25	25	1	0.0
19	271	271	1	0.0
20	16	16	1	0.0
21	13	13	1	0.0
22	220	220	1	0.0
23	2972	2972	1	0.0
24	15771	15771	1	0.0
25	2598	2598	1	0.0
26	279	279	1	0.0
27	38622	38622	1	0.0
28	64700	64700	1	0.0
29	561	561	1	0.0
30	1156	1156	1	0.0
31	6587	6587	1	0.0
32	264	264	1	0.0
33	11346	348	0	0.0
34	11	11	1	0.0
35	2923	2923	1	0.0
36	13909	13909	1	0.0
37	28253	28253	1	0.0
38	15673	15673	1	0.0
39	314	314	1	0.0
40	279	279	1	0.0
41	3297	3297	1	0.0
42	5607	5607	1	0.0
43	366	366	1	0.0
44	11767	11767	1	0.0
45	11	11	1	0.0
46	23195	23195	1	0.0
47	539	539	1	0.0
48	264	264	1	0.0
49	12654	12654	1	0.0
50	7873	7873	1	0.0
51	13	13	1	0.0
52	271	271	1	0.0
53	17	17	1	0.0
54	13	13	1	0.0
55	220	220	1	0.0
56	2972	2972	1	0.0
57	6196	6196	1	0.0
58	62704	62704	1	0.0
59	64700	64700	1	0.0
60	561	561	1	0.0
61	15673	15673	1	0.0
62	1220	1220	1	0.0
63	381	381	1	0.0
64	2708	2708	1	0.0
65	3213	3213	1	0.0
66	364	364	1	0.0
67	264	264	1	0.0
68	47308	47308	1	0.0
69	310	310	1	0.0
70	27510	3418	0	0.0
71	46194	46194	1	0.0
72	310	310	1	0.0
73	3418	3418	1	0.0
74	11	11	1	0.0
75	694	17661	0	0.0
76	11346	11346	1	0.0
77	3213	3213	1	0.0
78	310	310	1	0.0
79	3311	3311	1	0.0
80	279	279	1	0.0
81	28079	28079	1	0.0
82	13	318	0	0.0
83	271	271	1	0.0
84	18	18	1	0.0
85	13	13	1	0.0
86	220	220	1	0.0
87	2972	2972	1	0.0
88	1536	1536	1	0.0
89	73182	73182	1	0.0
90	314	314	1	0.0
91	3297	3297	1	0.0
92	5607	5607	1	0.0
93	366	366	1	0.0
94	64700	64700	1	0.0
95	198	198	1	0.0
96	262	262	1	0.0
97	348	348	1	0.0
98	256	256	1	0.0
99	60783	60783	1	0.0
100	321	321	1	0.0
101	1160	1160	1	0.0
102	15487	15487	1	0.0
103	8024	8024	1	0.0
104	13	13	1	0.0
105	198	198	1	0.0
106	262	262	1	0.0
107	348	348	1	0.0
108	256	256	1	0.0
109	94516	94516	1	0.0
110	6381	6381	1	0.0
111	13	13	1	0.0
112	198	198	1	0.0
113	262	262	1	0.0
114	348	348	1	0.0
115	256	256	1	0.0
116	52790	52790	1	0.0
117	286	286	1	0.0
118	318	318	1	0.0
119	43	265	0	0.0
120	5968	315	0	0.0
121	277	579	0	0.0
122	579	579	1	0.0
123	466	16168	0	0.0
124	436	436	1	0.0
125	26863	315	0	0.0
126	579	579	1	0.0
127	1647	16168	0	0.0
128	11	11	1	0.0
129	5802	3384	0	0.0
130	16765	436	0	0.0
131	532	532	1	0.0
132	579	579	1	0.0
133	369	466	0	0.0
134	8397	5129	0	0.0
135	310	310	1	0.0
136	10033	10033	1	0.0
137	553	7059	0	0.0
138	198	198	1	0.0
139	262	262	1	0.0
140	348	348	1	0.0
141	256	256	1	0.0
142	3931	3931	1	0.0
143	33146	33146	1	0.0
144	13	13	1	0.0
145	198	198	1	0.0
146	262	262	1	0.0
147	348	348	1	0.0
148	256	256	1	0.0
149	3984	3984	1	0.0
150	14	22373	0	0.0
151	9620	9620	1	0.0
152	22373	22373	1	0.0
153	318	318	1	0.0
154	6449	6449	1	0.0
155	391	391	1	0.0
156	9444	553	0	0.0
157	553	364	0	0.0
158	271	271	1	0.0
159	19	19	1	0.0
160	13	13	1	0.0
161	220	220	1	0.0
162	2972	2972	1	0.0
163	22238	22238	1	0.0
164	314	314	1	0.0
165	279	279	1	0.0
166	5764	5764	1	0.0
167	64700	64700	1	0.0
168	198	198	1	0.0
169	262	262	1	0.0
170	348	348	1	0.0
171	256	256	1	0.0
172	2972	2972	1	0.0
173	35924	35924	1	0.0
174	64700	64700	1	0.0
175	4962	4962	1	0.0
176	11258	11258	1	0.0
177	11782	11782	1	0.0
178	318	13	0	0.0
179	12195	12195	1	0.0
180	369	369	1	0.0
181	424	424	1	0.0
182	11	11	1	0.0
183	3069	3069	1	0.0
184	958	958	1	0.0
185	424	424	1	0.0
186	553	553	1	0.0
187	198	198	1	0.0
188	262	262	1	0.0
189	348	348	1	0.0
190	256	256	1	0.0
191	2972	2972	1	0.0
192	760	760	1	0.0
193	38989	34906	0	0.0
194	318	318	1	0.0
195	8046	8046	1	0.0
196	13909	13909	1	0.0
197	12	12	1	0.0
198	8046	8046	1	0.0
199	188912	188912	1	0.0
200	561	357	0	0.0
201	6007	6007	1	0.0
202	11870	11870	1	0.0
203	13	13	1	0.0
204	198	198	1	0.0
205	262	262	1	0.0
206	348	348	1	0.0
207	256	256	1	0.0
208	2972	2972	1	0.0
209	9308	9308	1	0.0
210	14	14	1	0.0
211	43098	43098	1	0.0
212	899	899	1	0.0
213	12996	12996	1	0.0
214	64700	64700	1	0.0
215	357	12194	0	0.0
216	8785	11319	0	0.0
217	1542	1542	1	0.0
218	41332	440	0	0.0
219	13	13	1	0.0
220	198	198	1	0.0
221	262	262	1	0.0
222	348	348	1	0.0
223	256	256	1	0.0
224	2972	2972	1	0.0
225	29292	29292	1	0.0
226	29806	29806	1	0.0
227	64700	64700	1	0.0
228	561	561	1	0.0
229	1970	1970	1	0.0
230	13	13	1	0.0
231	198	198	1	0.0
232	262	262	1	0.0
233	348	348	1	0.0
234	256	256	1	0.0
235	2972	2972	1	0.0
236	30118	30118	1	0.0
237	477	477	1	0.0
238	17775	17775	1	0.0
239	64700	64700	1	0.0
240	5971	5971	1	0.0
241	496	496	1	0.0
242	42727	42727	1	0.0
243	13	13	1	0.0
244	198	198	1	0.0
245	262	262	1	0.0
246	348	348	1	0.0
247	256	256	1	0.0
248	2972	2972	1	0.0
249	43421	43421	1	0.0
250	14	14	1	0.0
251	14777	14777	1	0.0
252	64700	64700	1	0.0
253	3095	3095	1	0.0
254	310	310	1	0.0
255	958	958	1	0.0
256	424	424	1	0.0
257	13	13	1	0.0
258	271	271	1	0.0
259	20	20	1	0.0
260	13	13	1	0.0
261	220	220	1	0.0
262	2972	2972	1	0.0
263	48401	48401	1	0.0
264	286	286	1	0.0
265	279	279	1	0.0
266	8615	8615	1	0.0
267	471	471	1	0.0
268	14392	14392	1	0.0
269	220	13909	0	0.0
270	16	16	1	0.0
271	25	25	1	0.0
272	561	561	1	0.0
273	38989	38989	1	0.0
274	64700	64700	1	0.0
275	198	198	1	0.0
276	262	262	1	0.0
277	348	348	1	0.0
278	256	256	1	0.0
279	348	348	1	0.0
280	8046	43098	0	0.0
281	220	220	1	0.0
282	16	16	1	0.0
283	51595	25	0	0.0
284	19123	19123	1	0.0
285	264	264	1	0.0
286	25212	25212	1	0.0
287	13	13	1	0.0
288	318	318	1	0.0
289	814	814	1	0.0
290	20139	20139	1	0.0
291	2519	2519	1	0.0
292	25	25	1	0.0
293	1118	1118	1	0.0
294	11	11	1	0.0
295	1483	1483	1	0.0
296	11	11	1	0.0
297	4055	4055	1	0.0
298	11	11	1	0.0
299	21853	21853	1	0.0
300	553	553	1	0.0
301	198	6558	0	0.0
302	262	262	1	0.0
303	348	348	1	0.0
304	348	256	0	0.0
305	8046	8046	1	0.0
306	220	220	1	0.0
307	17	17	1	0.0
308	51595	51595	1	0.0
309	52790	52790	1	0.0
310	13	13	1	0.0
311	14142	318	0	0.0
312	5255	5255	1	0.0
313	8882	8882	1	0.0
314	1056	1056	1	0.0
315	25212	25212	1	0.0
316	310	310	1	0.0
317	2047	279	0	0.0
318	11	11	1	0.0
319	7875	7875	1	0.0
