pos	boltTok	strictPred	match	margin
0	8160	8160	1	-1.0
1	579	579	1	0.0
2	264	264	1	0.0
3	7047	7047	1	0.0
4	7047	7047	1	0.0
5	1817	8240	0	0.0
6	25	271	0	0.0
7	271	271	1	0.0
8	16	16	1	0.0
9	13	13	1	0.0
10	220	220	1	0.0
11	2972	2972	1	0.0
12	2014	2014	1	0.0
13	53983	53983	1	0.0
14	2570	279	0	0.0
15	5952	5396	0	0.0
16	64700	64700	1	0.0
17	198	198	1	0.0
18	256	256	1	0.0
19	471	471	1	0.0
20	2972	2972	1	0.0
21	25562	25562	1	0.0
22	64700	64700	1	0.0
23	357	10382	0	0.0
24	324	324	1	0.0
25	55965	55965	1	0.0
26	51624	51624	1	0.0
27	852	49296	0	0.0
28	49296	49296	1	0.0
29	264	264	1	0.0
30	1876	1876	1	0.0
31	303	303	1	0.0
32	264	264	1	0.0
33	16002	16002	1	0.0
34	13	13	1	0.0
35	198	198	1	0.0
36	256	256	1	0.0
37	471	471	1	0.0
38	2972	2972	1	0.0
39	3925	3925	1	0.0
40	64700	64700	1	0.0
41	10382	10382	1	0.0
42	3255	3255	1	0.0
43	13	13	1	0.0
44	198	198	1	0.0
45	256	256	1	0.0
46	471	471	1	0.0
47	2972	2972	1	0.0
48	1536	1536	1	0.0
49	33027	33027	1	0.0
50	64700	64700	1	0.0
51	436	436	1	0.0
52	55965	55965	1	0.0
53	51624	51624	1	0.0
54	11	11	1	0.0
55	1876	1876	1	0.0
56	303	303	1	0.0
57	264	264	1	0.0
58	16002	16002	1	0.0
59	11	11	1	0.0
60	17789	17789	1	0.0
61	11	11	1	0.0
62	18641	18641	1	0.0
63	15123	15123	1	0.0
64	13	13	1	0.0
65	271	271	1	0.0
66	17	17	1	0.0
67	13	13	1	0.0
68	220	220	1	0.0
69	2972	2972	1	0.0
70	62879	62879	1	0.0
71	25568	25568	1	0.0
72	286	286	1	0.0
73	9237	9237	1	0.0
74	73182	73182	1	0.0
75	64700	64700	1	0.0
76	198	198	1	0.0
77	256	256	1	0.0
78	471	471	1	0.0
79	348	348	1	0.0
80	14951	14951	1	0.0
81	51595	51595	1	0.0
82	20110	20110	1	0.0
83	11	324	0	0.0
84	52941	23443	0	0.0
85	77094	13255	0	0.0
86	11	11	1	0.0
87	23443	23443	1	0.0
88	324	324	1	0.0
89	55965	55965	1	0.0
90	11	11	1	0.0
91	13071	13071	1	0.0
92	88	88	1	0.0
93	8831	8831	1	0.0
94	11	11	1	0.0
95	9117	11679	0	0.0
96	14	11	0	0.0
97	19896	19896	1	0.0
98	39107	39107	1	0.0
99	13	13	1	0.0
100	198	198	1	0.0
101	256	256	1	0.0
102	471	471	1	0.0
103	348	348	1	0.0
104	12048	12048	1	0.0
105	51595	51595	1	0.0
106	436	82697	0	0.0
107	55965	55965	1	0.0
108	51624	51624	1	0.0
109	318	471	0	0.0
110	35542	1112	0	0.0
111	6725	6725	1	0.0
112	82697	82697	1	0.0
113	11	11	1	0.0
114	466	466	1	0.0
115	1066	7798	0	0.0
116	328	328	1	0.0
117	1719	1719	1	0.0
118	51624	51624	1	0.0
119	3842	3842	1	0.0
120	10015	10015	1	0.0
121	11	11	1	0.0
122	8106	55218	0	0.0
123	38257	38257	1	0.0
124	11	11	1	0.0
125	9006	1654	0	0.0
126	505	505	1	0.0
127	11	11	1	0.0
128	14542	8173	0	0.0
129	13	694	0	0.0
130	198	198	1	0.0
131	256	256	1	0.0
132	471	471	1	0.0
133	348	348	1	0.0
134	760	760	1	0.0
135	52173	52173	1	0.0
136	51595	51595	1	0.0
137	21926	11962	0	0.0
138	290	290	1	0.0
139	11	11	1	0.0
140	8720	8720	1	0.0
141	11	11	1	0.0
142	86249	86249	1	0.0
143	290	290	1	0.0
144	11	11	1	0.0
145	5435	5435	1	0.0
146	264	264	1	0.0
147	1876	1876	1	0.0
148	13	13	1	0.0
149	3437	3437	1	0.0
150	579	579	1	0.0
151	279	279	1	0.0
152	1876	1876	1	0.0
153	30	30	1	0.0
154	16018	16018	1	0.0
155	381	381	1	0.0
156	264	264	1	0.0
157	9663	9663	1	0.0
158	11	11	1	0.0
159	264	264	1	0.0
160	37677	2854	0	0.0
161	11	11	1	0.0
162	264	264	1	0.0
163	13263	2854	0	0.0
164	35426	35426	1	0.0
165	11	11	1	0.0
166	264	264	1	0.0
167	4204	2854	0	0.0
168	55452	5020	0	0.0
169	11	11	1	0.0
170	466	466	1	0.0
171	2414	2414	1	0.0
172	62342	24577	0	0.0
173	3082	3082	1	0.0
174	93068	93068	1	0.0
175	13	13	1	0.0
176	198	198	1	0.0
177	256	256	1	0.0
178	471	471	1	0.0
179	348	348	1	0.0
180	24790	24790	1	0.0
181	19087	19087	1	0.0
182	51595	51595	1	0.0
183	36833	36833	1	0.0
184	1411	1411	1	0.0
185	17239	17239	1	0.0
186	14	14	1	0.0
187	32755	27950	0	0.0
188	17394	17394	1	0.0
189	1411	1411	1	0.0
190	64583	90949	0	0.0
191	14	14	1	0.0
192	72298	72298	1	0.0
193	1411	1411	1	0.0
194	35886	35886	1	0.0
195	318	14	0	0.0
196	2428	2428	1	0.0
197	466	466	1	0.0
198	89158	7629	0	0.0
199	553	553	1	0.0
200	198	198	1	0.0
201	256	256	1	0.0
202	471	471	1	0.0
203	348	348	1	0.0
204	51	12232	0	0.0
205	588	588	1	0.0
206	51595	51595	1	0.0
207	83508	83508	1	0.0
208	11	11	1	0.0
209	9781	9781	1	0.0
210	83093	83093	1	0.0
211	7516	7516	1	0.0
212	11	11	1	0.0
213	36307	49986	0	0.0
214	11	11	1	0.0
215	466	466	1	0.0
216	24577	24577	1	0.0
217	13	13	1	0.0
218	6558	271	0	0.0
219	579	579	1	0.0
220	8940	708	0	0.0
221	364	364	1	0.0
222	264	42900	0	0.0
223	19717	19717	1	0.0
224	314	314	1	0.0
225	66445	95041	0	0.0
226	321	321	1	0.0
227	25602	25602	1	0.0
228	10642	10642	1	0.0
229	3082	3082	1	0.0
230	91968	91968	1	0.0
231	13	13	1	0.0
232	271	271	1	0.0
233	18	18	1	0.0
234	13	13	1	0.0
235	220	220	1	0.0
236	2972	2972	1	0.0
237	19821	19821	1	0.0
238	286	286	1	0.0
239	279	279	1	0.0
240	92409	92409	1	0.0
241	64700	64700	1	0.0
242	198	198	1	0.0
243	256	256	1	0.0
244	471	471	1	0.0
245	348	348	1	0.0
246	49573	49573	1	0.0
247	51595	51595	1	0.0
248	38093	38093	1	0.0
249	279	6047	0	0.0
250	6047	6047	1	0.0
251	321	321	1	0.0
252	279	279	1	0.0
253	51624	51624	1	0.0
254	579	579	1	0.0
255	13618	13618	1	0.0
256	13	13	1	0.0
257	1286	561	0	0.0
258	46250	46250	1	0.0
259	279	279	1	0.0
260	29310	29310	1	0.0
261	321	321	1	0.0
262	279	279	1	0.0
263	9117	9117	1	0.0
264	579	579	1	0.0
265	6570	6570	1	0.0
266	9084	9084	1	0.0
267	13	13	1	0.0
268	198	198	1	0.0
269	256	256	1	0.0
270	471	471	1	0.0
271	348	348	1	0.0
272	37947	37947	1	0.0
273	5672	5672	1	0.0
274	66413	66413	1	0.0
275	51595	51595	1	0.0
276	357	561	0	0.0
277	13071	13071	1	0.0
278	1347	1347	1	0.0
279	56548	56548	1	0.0
280	11	11	1	0.0
281	466	29621	0	0.0
282	264	264	1	0.0
283	18717	18717	1	0.0
284	6353	6353	1	0.0
285	11	11	1	0.0
286	948	321	0	0.0
287	279	279	1	0.0
288	51624	51624	1	0.0
289	13325	13325	1	0.0
290	279	279	1	0.0
291	16002	16002	1	0.0
292	36251	36251	1	0.0
293	685	685	1	0.0
294	383	383	1	0.0
295	279	279	1	0.0
296	22317	22317	1	0.0
297	13	13	1	0.0
298	198	198	1	0.0
299	256	256	1	0.0
300	471	471	1	0.0
301	348	348	1	0.0
302	49	49	1	0.0
303	3663	3663	1	0.0
304	5411	5411	1	0.0
305	51595	51595	1	0.0
306	1216	1216	1	0.0
307	46393	46393	1	0.0
308	424	424	1	0.0
309	11	11	1	0.0
310	15417	43217	0	0.0
311	424	424	1	0.0
312	11	11	1	0.0
313	15339	15339	1	0.0
314	279	279	1	0.0
315	1876	1876	1	0.0
316	13	13	1	0.0
