pos	boltTok	strictPred	match	margin
0	8160	8160	1	-1.0
1	579	579	1	0.0
2	264	264	1	0.0
3	7047	7047	1	0.0
4	1817	1817	1	0.0
5	421	25	0	0.0
6	11177	11177	1	0.0
7	310	310	1	0.0
8	279	279	1	0.0
9	15673	15673	1	0.0
10	314	314	1	0.0
11	25804	25804	1	0.0
12	52231	52231	1	0.0
13	2444	2444	1	0.0
14	25	25	1	0.0
15	271	271	1	0.0
16	16	16	1	0.0
17	13	13	1	0.0
18	220	220	1	0.0
19	2972	2972	1	0.0
20	1847	1847	1	0.0
21	7355	7355	1	0.0
22	279	279	1	0.0
23	5952	5952	1	0.0
24	64700	64700	1	0.0
25	198	198	1	0.0
26	262	262	1	0.0
27	348	348	1	0.0
28	256	256	1	0.0
29	2972	2972	1	0.0
30	25562	25562	1	0.0
31	64700	64700	1	0.0
32	25804	25804	1	0.0
33	7034	7034	1	0.0
34	41085	41085	1	0.0
35	7533	7533	1	0.0
36	13	13	1	0.0
37	198	198	1	0.0
38	262	262	1	0.0
39	348	348	1	0.0
40	256	256	1	0.0
41	2972	2972	1	0.0
42	1536	1536	1	0.0
43	32956	32956	1	0.0
44	310	310	1	0.0
45	17227	17227	1	0.0
46	64700	64700	1	0.0
47	36885	36885	1	0.0
48	4980	4980	1	0.0
49	11	11	1	0.0
50	7034	7034	1	0.0
51	41085	41085	1	0.0
52	32879	32879	1	0.0
53	663	663	1	0.0
54	11	11	1	0.0
55	16778	16778	1	0.0
56	10082	10082	1	0.0
57	32284	32284	1	0.0
58	1701	1701	1	0.0
59	11	11	1	0.0
60	16778	16778	1	0.0
61	32790	32790	1	0.0
62	13	13	1	0.0
63	198	198	1	0.0
64	262	262	1	0.0
65	348	348	1	0.0
66	256	256	1	0.0
67	2972	2972	1	0.0
68	4303	4303	1	0.0
69	314	314	1	0.0
70	24951	24951	1	0.0
71	64700	64700	1	0.0
72	328	328	1	0.0
73	623	623	1	0.0
74	7472	7472	1	0.0
75	1149	1149	1	0.0
76	271	271	1	0.0
77	17	17	1	0.0
78	13	13	1	0.0
79	220	220	1	0.0
80	2972	2972	1	0.0
81	6140	6140	1	0.0
82	30876	30876	1	0.0
83	18878	18878	1	0.0
84	805	805	1	0.0
85	594	594	1	0.0
86	15664	15664	1	0.0
87	1618	1618	1	0.0
88	64700	64700	1	0.0
89	198	198	1	0.0
90	262	262	1	0.0
91	348	348	1	0.0
92	256	256	1	0.0
93	348	348	1	0.0
94	3710	3710	1	0.0
95	369	369	1	0.0
96	25804	25804	1	0.0
97	7034	52231	0	0.0
98	41085	41085	1	0.0
99	7533	7533	1	0.0
100	174548	174548	1	0.0
101	1049	1049	1	0.0
102	579	579	1	0.0
103	264	264	1	0.0
104	16456	16456	1	0.0
105	310	310	1	0.0
106	5190	5190	1	0.0
107	11293	3790	0	0.0
108	2166	2166	1	0.0
109	1691	1691	1	0.0
110	795	795	1	0.0
111	1083	1083	1	0.0
112	279	279	1	0.0
113	3790	3790	1	0.0
114	11	11	1	0.0
115	13969	29436	0	0.0
116	52231	52231	1	0.0
117	318	318	1	0.0
118	24043	24043	1	0.0
119	4557	4557	1	0.0
120	553	11	0	0.0
121	1049	1049	1	0.0
122	32530	32530	1	0.0
123	383	383	1	0.0
124	279	10732	0	0.0
125	4495	4495	1	0.0
126	579	579	1	0.0
127	328	1593	0	0.0
128	29431	435	0	0.0
129	41085	41085	1	0.0
130	13249	13249	1	0.0
131	1	1	1	0.0
132	1651	1651	1	0.0
133	66	66	1	0.0
134	22429	22429	1	0.0
135	553	3	0	0.0
136	198	198	1	0.0
137	262	262	1	0.0
138	348	348	1	0.0
139	256	256	1	0.0
140	348	348	1	0.0
141	1536	1536	1	0.0
142	20762	20762	1	0.0
143	51595	51595	1	0.0
144	198	198	1	0.0
145	285	285	1	0.0
146	348	348	1	0.0
147	256	256	1	0.0
148	393	393	1	0.0
149	82	66	0	0.0
150	29093	29093	1	0.0
151	2408	2408	1	0.0
152	318	3	0	0.0
153	56328	56328	1	0.0
154	4980	4980	1	0.0
155	56129	56129	1	0.0
156	553	1590	0	0.0
157	198	198	1	0.0
158	285	285	1	0.0
159	348	348	1	0.0
160	256	256	1	0.0
161	393	393	1	0.0
162	82	66	0	0.0
163	29093	3233	0	0.0
164	2408	2408	1	0.0
165	318	318	1	0.0
166	56328	56328	1	0.0
167	4980	4980	1	0.0
168	56129	56129	1	0.0
169	553	553	1	0.0
170	198	198	1	0.0
171	285	285	1	0.0
172	348	348	1	0.0
173	256	256	1	0.0
174	393	393	1	0.0
175	66	66	1	0.0
176	22429	22429	1	0.0
177	318	318	1	0.0
178	29431	29431	1	0.0
179	41085	41085	1	0.0
180	13249	13249	1	0.0
181	553	553	1	0.0
182	198	198	1	0.0
183	285	285	1	0.0
184	348	348	1	0.0
185	256	256	1	0.0
186	393	393	1	0.0
187	82	81	0	0.0
188	29093	29093	1	0.0
189	2408	2408	1	0.0
190	318	318	1	0.0
191	56328	56328	1	0.0
192	4980	4980	1	0.0
193	56129	56129	1	0.0
194	553	553	1	0.0
195	198	198	1	0.0
196	285	262	0	0.0
197	348	348	1	0.0
198	256	256	1	0.0
199	393	393	1	0.0
200	82	82	1	0.0
201	29093	29093	1	0.0
202	2408	2408	1	0.0
203	318	318	1	0.0
204	56328	56328	1	0.0
205	4980	4980	1	0.0
206	56129	56129	1	0.0
207	553	553	1	0.0
208	198	198	1	0.0
209	285	262	0	0.0
210	348	348	1	0.0
211	256	256	1	0.0
212	393	393	1	0.0
213	66	82	0	0.0
214	22429	22429	1	0.0
215	318	318	1	0.0
216	29431	29431	1	0.0
217	41085	41085	1	0.0
218	13249	13249	1	0.0
219	553	553	1	0.0
220	198	198	1	0.0
221	285	285	1	0.0
222	348	348	1	0.0
223	256	256	1	0.0
224	393	393	1	0.0
225	82	82	1	0.0
226	29093	29093	1	0.0
227	2408	2408	1	0.0
228	318	318	1	0.0
229	56328	56328	1	0.0
230	4980	4980	1	0.0
231	56129	56129	1	0.0
232	553	553	1	0.0
233	198	198	1	0.0
234	285	285	1	0.0
235	348	348	1	0.0
236	256	256	1	0.0
237	393	393	1	0.0
238	66	66	1	0.0
239	22429	22429	1	0.0
240	318	318	1	0.0
241	29431	29431	1	0.0
242	41085	41085	1	0.0
243	13249	13249	1	0.0
244	553	553	1	0.0
245	198	198	1	0.0
246	285	285	1	0.0
247	348	348	1	0.0
248	256	256	1	0.0
249	393	393	1	0.0
250	82	82	1	0.0
251	29093	29093	1	0.0
252	2408	2408	1	0.0
253	318	318	1	0.0
254	56328	56328	1	0.0
255	4980	4980	1	0.0
256	56129	56129	1	0.0
257	553	553	1	0.0
258	198	198	1	0.0
259	285	285	1	0.0
260	348	348	1	0.0
261	256	256	1	0.0
262	393	393	1	0.0
263	66	66	1	0.0
264	22429	22429	1	0.0
265	318	318	1	0.0
266	29431	29431	1	0.0
267	41085	41085	1	0.0
268	13249	13249	1	0.0
269	553	553	1	0.0
270	198	198	1	0.0
271	285	285	1	0.0
272	348	348	1	0.0
273	256	256	1	0.0
274	393	393	1	0.0
275	82	82	1	0.0
276	29093	29093	1	0.0
277	2408	2408	1	0.0
278	318	318	1	0.0
279	56328	56328	1	0.0
280	4980	4980	1	0.0
281	56129	56129	1	0.0
282	553	553	1	0.0
283	198	198	1	0.0
284	285	285	1	0.0
285	348	348	1	0.0
286	256	256	1	0.0
287	393	393	1	0.0
288	66	66	1	0.0
289	22429	22429	1	0.0
290	318	318	1	0.0
291	29431	29431	1	0.0
292	41085	41085	1	0.0
293	13249	13249	1	0.0
294	553	553	1	0.0
295	198	198	1	0.0
296	285	285	1	0.0
297	348	348	1	0.0
298	256	256	1	0.0
299	393	393	1	0.0
300	82	82	1	0.0
301	29093	29093	1	0.0
302	2408	2408	1	0.0
303	318	318	1	0.0
304	56328	56328	1	0.0
305	4980	4980	1	0.0
306	56129	56129	1	0.0
307	553	553	1	0.0
308	198	198	1	0.0
309	285	285	1	0.0
310	348	348	1	0.0
311	256	256	1	0.0
312	393	393	1	0.0
313	66	66	1	0.0
314	22429	22429	1	0.0
315	318	318	1	0.0
316	29431	29431	1	0.0
317	41085	41085	1	0.0
318	13249	13249	1	0.0
319	553	553	1	0.0
