pos	boltTok	strictPred	match	margin
0	8160	8160	1	-1.0
1	579	579	1	0.0
2	264	264	1	0.0
3	7047	7047	1	0.0
4	1817	1817	1	0.0
5	421	25	0	0.0
6	11177	11177	1	0.0
7	310	310	1	0.0
8	279	279	1	0.0
9	11488	11488	1	0.0
10	1965	15673	0	0.0
11	25	25	1	0.0
12	271	271	1	0.0
13	16	16	1	0.0
14	13	13	1	0.0
15	220	220	1	0.0
16	2972	2972	1	0.0
17	15771	15771	1	0.0
18	2598	2598	1	0.0
19	279	279	1	0.0
20	38622	38622	1	0.0
21	64700	64700	1	0.0
22	561	561	1	0.0
23	1156	1156	1	0.0
24	6587	6587	1	0.0
25	264	264	1	0.0
26	11346	11346	1	0.0
27	11	11	1	0.0
28	2923	2923	1	0.0
29	13909	13909	1	0.0
30	28253	28253	1	0.0
31	15673	15673	1	0.0
32	314	314	1	0.0
33	279	279	1	0.0
34	3297	3297	1	0.0
35	5607	5607	1	0.0
36	366	366	1	0.0
37	11767	11767	1	0.0
38	11	11	1	0.0
39	23195	23195	1	0.0
40	539	539	1	0.0
41	264	264	1	0.0
42	12654	12654	1	0.0
43	7873	7873	1	0.0
44	13	13	1	0.0
45	271	271	1	0.0
46	17	17	1	0.0
47	13	13	1	0.0
48	220	220	1	0.0
49	2972	2972	1	0.0
50	6196	6196	1	0.0
51	62704	62704	1	0.0
52	64700	64700	1	0.0
53	561	561	1	0.0
54	15673	15673	1	0.0
55	1220	1220	1	0.0
56	381	381	1	0.0
57	2708	2708	1	0.0
58	3213	3213	1	0.0
59	364	364	1	0.0
60	45285	264	0	0.0
61	694	694	1	0.0
62	11346	11346	1	0.0
63	3213	3213	1	0.0
64	364	364	1	0.0
65	27510	4184	0	0.0
66	13015	50392	0	0.0
67	13	310	0	0.0
68	1049	1049	1	0.0
69	3749	3749	1	0.0
70	310	310	1	0.0
71	3311	3311	1	0.0
72	279	279	1	0.0
73	11870	11870	1	0.0
74	11	11	1	0.0
75	279	279	1	0.0
76	28079	328	0	0.0
77	11	11	1	0.0
78	321	321	1	0.0
79	279	279	1	0.0
80	1970	1970	1	0.0
81	13	13	1	0.0
82	271	271	1	0.0
83	18	18	1	0.0
84	13	13	1	0.0
85	220	220	1	0.0
86	2972	2972	1	0.0
87	1536	1536	1	0.0
88	32956	73182	0	0.0
89	314	314	1	0.0
90	3297	3297	1	0.0
91	5607	5607	1	0.0
92	366	366	1	0.0
93	64700	64700	1	0.0
94	198	198	1	0.0
95	262	262	1	0.0
96	348	348	1	0.0
97	256	256	1	0.0
98	2972	60783	0	0.0
99	12151	12151	1	0.0
100	562	562	1	0.0
101	321	321	1	0.0
102	1160	1160	1	0.0
103	15487	15487	1	0.0
104	64700	64700	1	0.0
105	561	561	1	0.0
106	6007	6007	1	0.0
107	8024	8024	1	0.0
108	13	13	1	0.0
109	198	198	1	0.0
110	262	262	1	0.0
111	348	348	1	0.0
112	256	256	1	0.0
113	2972	2972	1	0.0
114	47	47	1	0.0
115	15611	15611	1	0.0
116	64700	64700	1	0.0
117	561	561	1	0.0
118	2315	2315	1	0.0
119	1429	1429	1	0.0
120	310	310	1	0.0
121	16168	16168	1	0.0
122	279	279	1	0.0
123	1287	1287	1	0.0
124	13	13	1	0.0
125	198	198	1	0.0
126	262	262	1	0.0
127	348	348	1	0.0
128	256	256	1	0.0
129	2972	2972	1	0.0
130	48296	48296	1	0.0
131	286	286	1	0.0
132	64700	64700	1	0.0
133	36381	44372	0	0.0
134	5255	5255	1	0.0
135	8882	8882	1	0.0
136	12943	12943	1	0.0
137	40397	40397	1	0.0
138	1056	1056	1	0.0
139	279	279	1	0.0
140	25212	25212	1	0.0
141	13	13	1	0.0
142	198	198	1	0.0
143	262	262	1	0.0
144	348	348	1	0.0
145	256	256	1	0.0
146	2972	2972	1	0.0
147	3692	3692	1	0.0
148	33146	33146	1	0.0
149	64700	64700	1	0.0
150	74505	74505	1	0.0
151	1146	279	0	0.0
152	12	12	1	0.0
153	64633	64633	1	0.0
154	13	13	1	0.0
155	198	198	1	0.0
156	262	262	1	0.0
157	348	348	1	0.0
158	256	256	1	0.0
159	2972	2972	1	0.0
160	3845	3845	1	0.0
161	11206	11206	1	0.0
162	64700	64700	1	0.0
163	3095	3095	1	0.0
164	310	310	1	0.0
165	2842	2842	1	0.0
166	27355	318	0	0.0
167	318	318	1	0.0
168	3092	64633	0	0.0
169	93472	466	0	0.0
170	17839	17839	1	0.0
171	553	553	1	0.0
172	271	271	1	0.0
173	19	19	1	0.0
174	13	13	1	0.0
175	220	220	1	0.0
176	2972	2972	1	0.0
177	48401	22238	0	0.0
178	286	286	1	0.0
179	279	279	1	0.0
180	14392	68868	0	0.0
181	13909	13909	1	0.0
182	12	12	1	0.0
183	8046	8046	1	0.0
184	68868	68868	1	0.0
185	64700	64700	1	0.0
186	198	198	1	0.0
187	262	262	1	0.0
188	348	348	1	0.0
189	256	256	1	0.0
190	348	348	1	0.0
191	8046	43098	0	0.0
192	220	220	1	0.0
193	16	16	1	0.0
194	25	25	1	0.0
195	21513	21513	1	0.0
196	264	264	1	0.0
197	94516	94516	1	0.0
198	4749	4749	1	0.0
199	79091	79091	1	0.0
200	1092	1092	1	0.0
201	424	424	1	0.0
202	369	369	1	0.0
203	321	318	0	0.0
204	3069	4047	0	0.0
205	424	424	1	0.0
206	12482	12482	1	0.0
207	13	318	0	0.0
208	198	318	0	0.0
209	262	262	1	0.0
210	348	348	1	0.0
211	256	256	1	0.0
212	348	348	1	0.0
213	8046	8046	1	0.0
214	220	220	1	0.0
215	17	17	1	0.0
216	25	25	1	0.0
217	52790	52790	1	0.0
218	286	286	1	0.0
219	4749	4749	1	0.0
220	79091	1061	0	0.0
221	279	279	1	0.0
222	6977	6977	1	0.0
223	314	314	1	0.0
224	5255	5255	1	0.0
225	318	318	1	0.0
226	2282	2282	1	0.0
227	5972	361	0	0.0
228	13	13	1	0.0
229	1245	1245	1	0.0
230	553	553	1	0.0
231	198	198	1	0.0
232	262	262	1	0.0
233	348	348	1	0.0
234	256	256	1	0.0
235	348	348	1	0.0
236	8046	8046	1	0.0
237	220	220	1	0.0
238	18	18	1	0.0
239	25	25	1	0.0
240	82930	3931	0	0.0
241	38795	38795	1	0.0
242	4749	4749	1	0.0
243	79091	79091	1	0.0
244	1204	421	0	0.0
245	279	279	1	0.0
246	11767	1817	0	0.0
247	42151	16298	0	0.0
248	411	383	0	0.0
249	1817	364	0	0.0
250	13	13	1	0.0
251	198	198	1	0.0
252	262	262	1	0.0
253	348	348	1	0.0
254	256	256	1	0.0
255	348	348	1	0.0
256	8046	8046	1	0.0
257	220	220	1	0.0
258	19	19	1	0.0
259	25	25	1	0.0
260	5183	5183	1	0.0
261	11206	11206	1	0.0
262	4749	4749	1	0.0
263	79091	82210	0	0.0
264	33265	948	0	0.0
265	13	13	1	0.0
266	198	198	1	0.0
267	262	262	1	0.0
268	348	348	1	0.0
269	256	256	1	0.0
270	348	348	1	0.0
271	12929	12929	1	0.0
272	51595	51595	1	0.0
273	12194	357	0	0.0
274	1472	1472	1	0.0
275	264	264	1	0.0
276	13769	2526	0	0.0
277	3010	3010	1	0.0
278	318	318	1	0.0
279	68	68	1	0.0
280	1257	1257	1	0.0
281	2487	2487	1	0.0
282	74988	74988	1	0.0
283	20	16	0	0.0
284	11	11	1	0.0
285	220	220	1	0.0
286	18	18	1	0.0
287	11	11	1	0.0
288	220	220	1	0.0
289	22	23	0	0.0
290	11	11	1	0.0
291	220	220	1	0.0
292	16	16	1	0.0
293	11	11	1	0.0
294	220	220	1	0.0
295	24	17	0	0.0
296	11	60	0	0.0
297	220	220	1	0.0
298	17	17	1	0.0
299	11	60	0	0.0
300	220	220	1	0.0
301	19	23	0	0.0
302	11	60	0	0.0
303	220	220	1	0.0
304	21	23	0	0.0
305	11	11	1	0.0
306	220	220	1	0.0
307	23	23	1	0.0
308	11	60	0	0.0
309	220	220	1	0.0
310	16	16	1	0.0
311	15	15	1	0.0
312	11	60	0	0.0
313	220	220	1	0.0
314	16	16	1	0.0
315	16	16	1	0.0
316	11	60	0	0.0
317	220	220	1	0.0
318	16	16	1	0.0
319	17	17	1	0.0
320	11	60	0	0.0
