pos	boltTok	strictPred	match	margin
0	8160	8160	1	-1.0
1	579	579	1	0.0
2	264	264	1	0.0
3	7047	7047	1	0.0
4	1817	7047	0	0.0
5	25	25	1	0.0
6	271	271	1	0.0
7	16	16	1	0.0
8	13	13	1	0.0
9	220	220	1	0.0
10	2972	2972	1	0.0
11	2014	2014	1	0.0
12	53983	53983	1	0.0
13	2570	2570	1	0.0
14	5952	57491	0	0.0
15	64700	64700	1	0.0
16	198	198	1	0.0
17	256	256	1	0.0
18	471	471	1	0.0
19	2972	2972	1	0.0
20	25562	25562	1	0.0
21	64700	64700	1	0.0
22	10382	357	0	0.0
23	3255	3255	1	0.0
24	883	883	1	0.0
25	264	264	1	0.0
26	324	324	1	0.0
27	55965	55965	1	0.0
28	51624	51624	1	0.0
29	852	852	1	0.0
30	49296	49296	1	0.0
31	264	264	1	0.0
32	1876	1876	1	0.0
33	303	303	1	0.0
34	264	264	1	0.0
35	16002	16002	1	0.0
36	13	13	1	0.0
37	198	198	1	0.0
38	256	256	1	0.0
39	471	471	1	0.0
40	2972	2972	1	0.0
41	1536	1536	1	0.0
42	33027	33027	1	0.0
43	64700	64700	1	0.0
44	436	436	1	0.0
45	55965	55965	1	0.0
46	51624	51624	1	0.0
47	11	11	1	0.0
48	1876	1876	1	0.0
49	303	303	1	0.0
50	264	264	1	0.0
51	16002	16002	1	0.0
52	11	11	1	0.0
53	2716	2716	1	0.0
54	3255	3255	1	0.0
55	3443	3443	1	0.0
56	13	13	1	0.0
57	198	198	1	0.0
58	256	256	1	0.0
59	471	471	1	0.0
60	2972	2972	1	0.0
61	51	51	1	0.0
62	588	588	1	0.0
63	14	14	1	0.0
64	2247	36282	0	0.0
65	64700	64700	1	0.0
66	5097	5097	1	0.0
67	11	11	1	0.0
68	694	694	1	0.0
69	10813	10813	1	0.0
70	1220	324	0	0.0
71	381	381	1	0.0
72	42900	42900	1	0.0
73	11	11	1	0.0
74	9781	9781	1	0.0
75	24577	24577	1	0.0
76	11	11	1	0.0
77	8106	10451	0	0.0
78	440	49986	0	0.0
79	264	264	1	0.0
80	5615	5615	1	0.0
81	314	314	1	0.0
82	83093	5596	0	0.0
83	5552	5552	1	0.0
84	466	466	1	0.0
85	5596	5596	1	0.0
86	13	13	1	0.0
87	271	271	1	0.0
88	17	17	1	0.0
89	13	13	1	0.0
90	220	220	1	0.0
91	2972	2972	1	0.0
92	62879	62879	1	0.0
93	25568	25568	1	0.0
94	286	286	1	0.0
95	9237	9237	1	0.0
96	73182	73182	1	0.0
97	64700	64700	1	0.0
98	198	198	1	0.0
99	256	256	1	0.0
100	471	471	1	0.0
101	348	348	1	0.0
102	14951	14951	1	0.0
103	51595	51595	1	0.0
104	357	20110	0	0.0
105	8434	8434	1	0.0
106	11	324	0	0.0
107	8831	8831	1	0.0
108	14708	14708	1	0.0
109	13128	13128	1	0.0
110	324	324	1	0.0
111	55965	55965	1	0.0
112	383	383	1	0.0
113	264	264	1	0.0
114	52941	53653	0	0.0
115	13255	13255	1	0.0
116	13	13	1	0.0
117	10380	21190	0	0.0
118	6725	6725	1	0.0
119	328	328	1	0.0
120	34	14004	0	0.0
121	1959	1959	1	0.0
122	25280	74294	0	0.0
123	1	1	1	0.0
124	466	466	1	0.0
125	328	328	1	0.0
126	36	14004	0	0.0
127	31589	74241	0	0.0
128	8854	579	0	0.0
129	1	1	1	0.0
130	466	466	1	0.0
131	2414	1066	0	0.0
132	4283	3514	0	0.0
133	13	13	1	0.0
134	6558	6558	1	0.0
135	579	579	1	0.0
136	708	708	1	0.0
137	440	440	1	0.0
138	328	328	1	0.0
139	14004	14004	1	0.0
140	6451	6451	1	0.0
141	4963	8394	0	0.0
142	1	1149	0	0.0
143	466	466	1	0.0
144	328	328	1	0.0
145	34	34	1	0.0
146	1959	483	0	0.0
147	7987	7798	0	0.0
148	53718	53718	1	0.0
149	1	1	1	0.0
150	471	471	1	0.0
151	3404	3404	1	0.0
152	11	11	1	0.0
153	328	328	1	0.0
154	34	34	1	0.0
155	1959	1959	1	0.0
156	2783	2783	1	0.0
157	633	633	1	0.0
158	1	1	1	0.0
159	10054	10054	1	0.0
160	1603	1603	1	0.0
161	13	13	1	0.0
162	353	2441	0	0.0
163	3172	3172	1	0.0
164	2426	8941	0	0.0
165	424	424	1	0.0
166	4145	4145	1	0.0
167	25	25	1	0.0
168	328	328	1	0.0
169	760	760	1	0.0
170	324	54894	0	0.0
171	55965	55965	1	0.0
172	383	383	1	0.0
173	279	17739	0	0.0
174	25888	6607	0	0.0
175	3438	3438	1	0.0
176	13255	17299	0	0.0
177	314	314	1	0.0
178	17739	17739	1	0.0
179	68507	68507	1	0.0
180	1149	1149	1	0.0
181	198	198	1	0.0
182	256	256	1	0.0
183	471	471	1	0.0
184	348	348	1	0.0
185	12048	12048	1	0.0
186	51595	51595	1	0.0
187	82697	82697	1	0.0
188	11	645	0	0.0
189	449	449	1	0.0
190	2235	8742	0	0.0
191	51624	11	0	0.0
192	13	11	0	0.0
193	21926	11144	0	0.0
194	290	290	1	0.0
195	11	11	1	0.0
196	55218	13618	0	0.0
197	11	11	1	0.0
198	1654	13618	0	0.0
199	908	908	1	0.0
200	13	11	0	0.0
201	10380	10380	1	0.0
202	551	551	1	0.0
203	579	579	1	0.0
204	978	978	1	0.0
205	1017	1017	1	0.0
206	364	364	1	0.0
207	10476	10476	1	0.0
208	13	13	1	0.0
209	198	1216	0	0.0
210	256	256	1	0.0
211	471	471	1	0.0
212	348	348	1	0.0
213	760	760	1	0.0
214	52173	52173	1	0.0
215	51595	51595	1	0.0
216	11962	5797	0	0.0
217	2261	2261	1	0.0
218	264	264	1	0.0
219	13071	13618	0	0.0
220	466	466	1	0.0
221	1496	3238	0	0.0
222	40554	40554	1	0.0
223	13	13	1	0.0
224	20106	20106	1	0.0
225	11	11	1	0.0
226	86249	86249	1	0.0
227	290	290	1	0.0
228	11	11	1	0.0
229	18473	18473	1	0.0
230	440	440	1	0.0
231	34830	34830	1	0.0
232	13	13	1	0.0
233	29804	29804	1	0.0
234	264	264	1	0.0
235	1876	1876	1	0.0
236	13	13	1	0.0
237	198	198	1	0.0
238	256	256	1	0.0
239	471	471	1	0.0
240	348	348	1	0.0
241	760	760	1	0.0
242	4701	4701	1	0.0
243	51595	51595	1	0.0
244	3437	3437	1	0.0
245	579	1503	0	0.0
246	4613	4613	1	0.0
247	30	30	1	0.0
248	357	357	1	0.0
249	2854	2854	1	0.0
250	6321	6321	1	0.0
251	30	30	1	0.0
252	357	357	1	0.0
253	9663	9663	1	0.0
254	30	30	1	0.0
255	357	357	1	0.0
256	2336	15707	0	0.0
257	30	30	1	0.0
258	357	357	1	0.0
259	37677	37677	1	0.0
260	30	30	1	0.0
261	6558	6558	1	0.0
262	579	579	1	0.0
263	708	1236	0	0.0
264	440	440	1	0.0
265	264	2414	0	0.0
266	14023	4204	0	0.0
267	291	291	1	0.0
268	11	694	0	0.0
269	89158	72860	0	0.0
270	1876	1876	1	0.0
271	494	421	0	0.0
272	4184	4184	1	0.0
273	852	852	1	0.0
274	557	6661	0	0.0
275	5384	60013	0	0.0
276	506	506	1	0.0
277	9117	9117	1	0.0
278	11	11	1	0.0
279	466	466	1	0.0
280	8106	8106	1	0.0
281	264	264	1	0.0
282	854	1876	0	0.0
283	1723	1723	1	0.0
284	2538	2538	1	0.0
285	7511	1075	0	0.0
286	1876	3769	0	0.0
287	13	494	0	0.0
288	32645	32645	1	0.0
289	11	11	1	0.0
290	264	264	1	0.0
291	4145	1876	0	0.0
292	11	11	1	0.0
293	80241	80241	1	0.0
294	1876	1876	1	0.0
295	4138	421	0	0.0
296	1786	1786	1	0.0
297	364	364	1	0.0
298	264	264	1	0.0
299	2716	2716	1	0.0
300	3255	3255	1	0.0
301	13	13	1	0.0
302	328	10380	0	0.0
303	1206	1206	1	0.0
304	37002	37002	1	0.0
305	13325	13325	1	0.0
306	411	411	1	0.0
307	11	25	0	0.0
308	353	279	0	0.0
309	557	1044	0	0.0
310	5384	1532	0	0.0
311	11	11	1	0.0
312	694	694	1	0.0
313	353	353	1	0.0
314	3769	5312	0	0.0
315	488	488	1	0.0
316	1423	1669	0	0.0
317	678	678	1	0.0
