pos	boltTok	strictPred	match	margin
0	8160	90700	0	-1.0
1	579	579	1	0.0
2	264	264	1	0.0
3	7047	7047	1	0.0
4	1817	1817	1	0.0
5	25	25	1	0.0
6	271	271	1	0.0
7	16	16	1	0.0
8	13	13	1	0.0
9	220	220	1	0.0
10	2972	2972	1	0.0
11	2014	2014	1	0.0
12	53983	53983	1	0.0
13	2570	2570	1	0.0
14	5952	5952	1	0.0
15	64700	64700	1	0.0
16	198	198	1	0.0
17	256	256	1	0.0
18	471	471	1	0.0
19	2972	2972	1	0.0
20	25562	25562	1	0.0
21	64700	64700	1	0.0
22	8169	8169	1	0.0
23	279	279	1	0.0
24	12515	12515	1	0.0
25	7701	7701	1	0.0
26	6105	6105	1	0.0
27	198	198	1	0.0
28	256	256	1	0.0
29	471	471	1	0.0
30	2972	2972	1	0.0
31	13410	2247	0	0.0
32	64700	64700	1	0.0
33	41774	41774	1	0.0
34	6163	6163	1	0.0
35	318	318	1	0.0
36	22230	22230	1	0.0
37	11	11	1	0.0
38	2708	2708	1	0.0
39	11	11	1	0.0
40	15156	15156	1	0.0
41	8	8	1	0.0
42	198	198	1	0.0
43	256	256	1	0.0
44	471	471	1	0.0
45	2972	2972	1	0.0
46	4232	4232	1	0.0
47	64700	64700	1	0.0
48	9680	9680	1	0.0
49	2250	2250	1	0.0
50	41228	41228	1	0.0
51	198	271	0	0.0
52	256	256	1	0.0
53	471	471	1	0.0
54	2972	2972	1	0.0
55	1536	1536	1	0.0
56	32666	32666	1	0.0
57	64700	64700	1	0.0
58	79091	35801	0	0.0
59	279	279	1	0.0
60	11991	11991	1	0.0
61	24057	24057	1	0.0
62	303	28299	0	0.0
63	29350	449	0	0.0
64	3665	3665	1	0.0
65	11	1973	0	0.0
66	5471	5471	1	0.0
67	492	492	1	0.0
68	68421	68421	1	0.0
69	11	1332	0	0.0
70	10000	10000	1	0.0
71	264	13016	0	0.0
72	19214	19214	1	0.0
73	6195	6195	1	0.0
74	3808	3808	1	0.0
75	2250	2250	1	0.0
76	41228	41228	1	0.0
77	13	13	1	0.0
78	271	271	1	0.0
79	17	17	1	0.0
80	13	13	1	0.0
81	220	220	1	0.0
82	2972	2972	1	0.0
83	27382	27382	1	0.0
84	1386	1386	1	0.0
85	9237	9237	1	0.0
86	35801	35801	1	0.0
87	73182	73182	1	0.0
88	64700	64700	1	0.0
89	198	198	1	0.0
90	256	256	1	0.0
91	471	471	1	0.0
92	7806	7806	1	0.0
93	4009	4009	1	0.0
94	5435	5435	1	0.0
95	660	660	1	0.0
96	7736	7736	1	0.0
97	318	318	1	0.0
98	5603	5603	1	0.0
99	3000	3000	1	0.0
100	8	8	1	0.0
101	198	198	1	0.0
102	256	256	1	0.0
103	471	471	1	0.0
104	8964	8964	1	0.0
105	579	579	1	0.0
106	16078	16078	1	0.0
107	5435	5435	1	0.0
108	6605	43034	0	0.0
109	33470	33470	1	0.0
110	321	321	1	0.0
111	18167	18167	1	0.0
112	198	198	1	0.0
113	256	256	1	0.0
114	471	471	1	0.0
115	7806	10382	0	0.0
116	4009	4009	1	0.0
117	1100	1100	1	0.0
118	9872	9872	1	0.0
119	948	948	1	0.0
120	424	424	1	0.0
121	12611	12611	1	0.0
122	1439	1439	1	0.0
123	18167	18167	1	0.0
124	318	318	1	0.0
125	28232	28232	1	0.0
126	60845	60845	1	0.0
127	69377	69377	1	0.0
128	8	8	1	0.0
129	198	198	1	0.0
130	256	256	1	0.0
131	471	471	1	0.0
132	8432	10382	0	0.0
133	3000	3000	1	0.0
134	682	682	1	0.0
135	22602	22602	1	0.0
136	89661	89661	1	0.0
137	11	321	0	0.0
138	748	748	1	0.0
139	424	424	1	0.0
140	1100	1100	1	0.0
141	9872	9872	1	0.0
142	777	777	1	0.0
143	1056	1056	1	0.0
144	975	975	1	0.0
145	7736	7736	1	0.0
146	198	198	1	0.0
147	256	256	1	0.0
148	471	471	1	0.0
149	1061	1061	1	0.0
150	35742	35742	1	0.0
151	6105	6105	1	0.0
152	3000	3000	1	0.0
153	23716	23716	1	0.0
154	1004	1004	1	0.0
155	6213	6213	1	0.0
156	494	494	1	0.0
157	660	660	1	0.0
158	17425	17425	1	0.0
159	11	11	1	0.0
160	3154	3154	1	0.0
161	279	279	1	0.0
162	12515	12515	1	0.0
163	1353	1353	1	0.0
164	6105	6105	1	0.0
165	271	271	1	0.0
166	18	18	1	0.0
167	13	13	1	0.0
168	220	220	1	0.0
169	2972	2972	1	0.0
170	48401	22238	0	0.0
171	471	471	1	0.0
172	47690	47690	1	0.0
173	220	220	1	0.0
174	16	16	1	0.0
175	318	25	0	0.0
176	35924	35924	1	0.0
177	14	594	0	0.0
178	21149	21149	1	0.0
179	188912	188912	1	0.0
180	198	198	1	0.0
181	256	256	1	0.0
182	4980	4980	1	0.0
183	440	440	1	0.0
184	37728	37728	1	0.0
185	321	321	1	0.0
186	279	279	1	0.0
187	16078	16078	1	0.0
188	13	13	1	0.0
189	79091	79091	1	0.0
190	421	421	1	0.0
191	37728	37728	1	0.0
192	5686	5686	1	0.0
193	4022	4022	1	0.0
194	694	694	1	0.0
195	369	5435	0	0.0
196	3404	3404	1	0.0
197	1801	1801	1	0.0
198	685	314	0	0.0
199	314	314	1	0.0
200	660	660	1	0.0
201	279	279	1	0.0
202	7736	7736	1	0.0
203	314	314	1	0.0
204	279	279	1	0.0
205	46026	46026	1	0.0
206	13	13	1	0.0
207	3095	3095	1	0.0
208	411	411	1	0.0
209	37728	3000	0	0.0
210	27891	27891	1	0.0
211	8964	8964	1	0.0
212	725	725	1	0.0
213	16078	16078	1	0.0
214	11	11	1	0.0
215	424	424	1	0.0
216	62532	8213	0	0.0
217	1083	1083	1	0.0
218	3594	13280	0	0.0
219	33470	33470	1	0.0
220	321	321	1	0.0
221	13280	13280	1	0.0
222	18167	18167	1	0.0
223	13	13	1	0.0
224	1061	1061	1	0.0
225	15752	15752	1	0.0
226	10814	10814	1	0.0
227	279	279	1	0.0
228	3000	3000	1	0.0
229	310	310	1	0.0
230	43000	43000	1	0.0
231	11	303	0	0.0
