pos	boltTok	strictPred	match	margin
0	8160	8160	1	-1.0
1	579	579	1	0.0
2	264	264	1	0.0
3	7047	7047	1	0.0
4	1817	1817	1	0.0
5	421	25	0	0.0
6	11177	11177	1	0.0
7	310	310	1	0.0
8	279	279	1	0.0
9	15673	15673	1	0.0
10	314	314	1	0.0
11	25804	25804	1	0.0
12	52231	52231	1	0.0
13	2444	2444	1	0.0
14	25	25	1	0.0
15	271	271	1	0.0
16	16	16	1	0.0
17	13	13	1	0.0
18	220	220	1	0.0
19	2972	2972	1	0.0
20	1847	1847	1	0.0
21	7355	7355	1	0.0
22	279	279	1	0.0
23	5952	5952	1	0.0
24	64700	64700	1	0.0
25	198	198	1	0.0
26	262	262	1	0.0
27	348	348	1	0.0
28	256	256	1	0.0
29	2972	2972	1	0.0
30	25562	25562	1	0.0
31	64700	64700	1	0.0
32	25804	25804	1	0.0
33	7034	7034	1	0.0
34	41085	41085	1	0.0
35	7533	7533	1	0.0
36	13	13	1	0.0
37	198	198	1	0.0
38	262	262	1	0.0
39	348	348	1	0.0
40	256	256	1	0.0
41	2972	2972	1	0.0
42	1536	1536	1	0.0
43	32956	32956	1	0.0
44	64700	310	0	0.0
45	36885	36885	1	0.0
46	4980	4980	1	0.0
47	11	11	1	0.0
48	7034	7034	1	0.0
49	41085	41085	1	0.0
50	32879	32879	1	0.0
51	663	663	1	0.0
52	11	11	1	0.0
53	16778	16778	1	0.0
54	10082	10082	1	0.0
55	32284	32284	1	0.0
56	1701	1701	1	0.0
57	11	11	1	0.0
58	16778	16778	1	0.0
59	32790	32790	1	0.0
60	13	13	1	0.0
61	198	198	1	0.0
62	262	262	1	0.0
63	348	348	1	0.0
64	256	256	1	0.0
65	2972	2972	1	0.0
66	73211	73211	1	0.0
67	64700	64700	1	0.0
68	60552	60552	1	0.0
69	15673	15673	1	0.0
70	13	13	1	0.0
71	271	271	1	0.0
72	17	17	1	0.0
73	13	13	1	0.0
74	220	220	1	0.0
75	2972	2972	1	0.0
76	6140	6140	1	0.0
77	30876	30876	1	0.0
78	18878	18878	1	0.0
79	805	805	1	0.0
80	594	594	1	0.0
81	15664	15664	1	0.0
82	1618	1618	1	0.0
83	64700	64700	1	0.0
84	198	198	1	0.0
85	262	262	1	0.0
86	348	348	1	0.0
87	256	256	1	0.0
88	348	348	1	0.0
89	3710	3710	1	0.0
90	369	369	1	0.0
91	25804	25804	1	0.0
92	52231	52231	1	0.0
93	2444	2444	1	0.0
94	174548	174548	1	0.0
95	1049	1049	1	0.0
96	579	579	1	0.0
97	264	264	1	0.0
98	16456	16456	1	0.0
99	310	310	1	0.0
100	5190	5190	1	0.0
101	3790	3790	1	0.0
102	40786	40786	1	0.0
103	318	318	1	0.0
104	435	435	1	0.0
105	235911	235911	1	0.0
106	8	8	1	0.0
107	539	539	1	0.0
108	40961	40961	1	0.0
109	279	279	1	0.0
110	11293	4238	0	0.0
111	4238	4238	1	0.0
112	3018	3018	1	0.0
113	383	383	1	0.0
114	3790	3790	1	0.0
115	10732	10732	1	0.0
116	318	318	1	0.0
117	9100	9100	1	0.0
118	11	553	0	0.0
119	7383	7383	1	0.0
120	553	553	1	0.0
121	198	198	1	0.0
122	262	262	1	0.0
123	348	348	1	0.0
124	256	256	1	0.0
125	348	348	1	0.0
126	3710	1536	0	0.0
127	513	513	1	0.0
128	279	279	1	0.0
129	7101	6007	0	0.0
130	6197	174548	0	0.0
131	174548	174548	1	0.0
132	198	198	1	0.0
133	285	285	1	0.0
134	348	348	1	0.0
135	256	256	1	0.0
136	1510	1510	1	0.0
137	66	66	1	0.0
138	22429	22429	1	0.0
139	63	63	1	0.0
140	318	318	1	0.0
141	29431	29431	1	0.0
142	41085	41085	1	0.0
143	13249	13249	1	0.0
144	1590	1590	1	0.0
145	561	561	1	0.0
146	3202	3202	1	0.0
147	314	314	1	0.0
148	795	795	1	0.0
149	5252	279	0	0.0
150	303	303	1	0.0
151	10650	10650	1	0.0
152	13	13	1	0.0
153	198	198	1	0.0
154	285	285	1	0.0
155	348	348	1	0.0
156	256	256	1	0.0
157	1510	1510	1	0.0
158	82	82	1	0.0
159	29093	29093	1	0.0
160	63	2408	0	0.0
161	318	318	1	0.0
162	56328	56328	1	0.0
163	4980	4980	1	0.0
164	56129	56129	1	0.0
165	1590	1590	1	0.0
166	357	357	1	0.0
167	11823	18169	0	0.0
168	310	869	0	0.0
169	3289	3289	1	0.0
170	24385	1881	0	0.0
171	13	13	1	0.0
172	198	198	1	0.0
173	285	285	1	0.0
174	348	348	1	0.0
175	256	256	1	0.0
176	1510	1510	1	0.0
177	50	5182	0	0.0
178	759	5182	0	0.0
179	63	71	0	0.0
180	318	318	1	0.0
181	50	56328	0	0.0
182	463	759	0	0.0
183	56129	30	0	0.0
184	1590	8	0	0.0
185	11851	318	0	0.0
186	303	303	1	0.0
187	16778	16778	1	0.0
188	32790	32790	1	0.0
189	13	318	0	0.0
190	198	198	1	0.0
191	262	262	1	0.0
192	348	348	1	0.0
193	256	256	1	0.0
194	348	348	1	0.0
195	3710	3710	1	0.0
196	513	513	1	0.0
197	279	279	1	0.0
198	5134	33286	0	0.0
199	174548	85957	0	0.0
200	198	198	1	0.0
201	285	285	1	0.0
202	348	220	0	0.0
203	256	256	1	0.0
204	36885	36885	1	0.0
205	4980	4980	1	0.0
206	318	318	1	0.0
207	325	325	1	0.0
208	57807	57807	1	0.0
209	6310	6310	1	0.0
210	553	553	1	0.0
211	198	198	1	0.0
212	285	285	1	0.0
213	348	348	1	0.0
214	256	256	1	0.0
215	7034	7034	1	0.0
216	41085	41085	1	0.0
217	32879	32879	1	0.0
218	663	663	1	0.0
219	318	318	1	0.0
220	22054	22054	1	0.0
221	6310	6310	1	0.0
222	553	553	1	0.0
223	198	198	1	0.0
224	285	285	1	0.0
225	348	348	1	0.0
226	256	256	1	0.0
227	16778	16778	1	0.0
228	10082	10082	1	0.0
229	32284	32284	1	0.0
230	1701	1701	1	0.0
231	318	318	1	0.0
232	265	265	1	0.0
233	1405	1405	1	0.0
234	1701	1701	1	0.0
235	1235	1235	1	0.0
236	1973	1973	1	0.0
237	8318	8318	1	0.0
238	364	364	1	0.0
239	423	9345	0	0.0
240	5042	5042	1	0.0
241	553	553	1	0.0
242	198	198	1	0.0
243	285	285	1	0.0
244	348	348	1	0.0
245	256	256	1	0.0
246	16778	16778	1	0.0
247	32790	32790	1	0.0
248	318	318	1	0.0
249	86999	408	0	0.0
250	5081	4557	0	0.0
251	17157	17157	1	0.0
252	303	1973	0	0.0
253	799	264	0	0.0
254	3136	3136	1	0.0
255	553	553	1	0.0
256	271	271	1	0.0
257	18	18	1	0.0
258	13	13	1	0.0
259	220	220	1	0.0
260	2972	2972	1	0.0
261	48401	48401	1	0.0
262	286	286	1	0.0
263	279	279	1	0.0
264	8615	8615	1	0.0
265	471	471	1	0.0
266	10790	10790	1	0.0
267	539	539	1	0.0
268	10790	10790	1	0.0
269	64700	64700	1	0.0
270	271	271	1	0.0
271	262	262	1	0.0
272	348	348	1	0.0
273	256	256	1	0.0
274	2972	2972	1	0.0
275	35924	35924	1	0.0
276	64700	64700	1	0.0
277	198	198	1	0.0
278	285	285	1	0.0
279	348	348	1	0.0
280	256	256	1	0.0
281	18053	18053	1	0.0
282	279	279	1	0.0
283	5614	5614	1	0.0
284	25	25	1	0.0
285	32879	7252	0	0.0
286	286	3790	0	0.0
287	3790	3790	1	0.0
288	17638	17638	1	0.0
289	13	13	1	0.0
290	198	198	1	0.0
291	285	285	1	0.0
292	348	348	1	0.0
293	256	256	1	0.0
294	82210	18053	0	0.0
295	279	279	1	0.0
296	6007	6007	1	0.0
297	16456	3759	0	0.0
298	25	25	1	0.0
299	13249	13249	1	0.0
300	1331	1331	1	0.0
301	27718	27718	1	0.0
302	66	66	1	0.0
303	22429	22429	1	0.0
304	57208	57208	1	0.0
305	271	271	1	0.0
306	262	262	1	0.0
307	348	348	1	0.0
308	256	256	1	0.0
309	2972	2972	1	0.0
310	29730	29730	1	0.0
311	220	220	1	0.0
312	16	16	1	0.0
313	25	25	1	0.0
314	36885	36885	1	0.0
315	4980	4980	1	0.0
316	64700	64700	1	0.0
317	198	198	1	0.0
