pos	boltTok	strictPred	match	margin
0	8160	8160	1	-1.0
1	579	579	1	0.0
2	264	264	1	0.0
3	7047	7047	1	0.0
4	1817	1817	1	0.0
5	421	25	0	0.0
6	11177	11177	1	0.0
7	310	310	1	0.0
8	279	279	1	0.0
9	11488	11488	1	0.0
10	15673	15673	1	0.0
11	321	321	1	0.0
12	12654	7873	0	0.0
13	7873	7873	1	0.0
14	314	314	1	0.0
15	3297	3297	1	0.0
16	5607	5607	1	0.0
17	366	366	1	0.0
18	25	25	1	0.0
19	271	271	1	0.0
20	16	16	1	0.0
21	13	13	1	0.0
22	220	220	1	0.0
23	2972	2972	1	0.0
24	15771	15771	1	0.0
25	2598	2598	1	0.0
26	279	279	1	0.0
27	38622	38622	1	0.0
28	64700	64700	1	0.0
29	561	561	1	0.0
30	1156	1156	1	0.0
31	6587	6587	1	0.0
32	264	264	1	0.0
33	11346	348	0	0.0
34	11	11	1	0.0
35	2923	2923	1	0.0
36	13909	13909	1	0.0
37	28253	28253	1	0.0
38	15673	15673	1	0.0
39	314	314	1	0.0
40	279	279	1	0.0
41	3297	3297	1	0.0
42	5607	5607	1	0.0
43	366	366	1	0.0
44	11767	11767	1	0.0
45	11	11	1	0.0
46	23195	23195	1	0.0
47	539	539	1	0.0
48	264	264	1	0.0
49	12654	12654	1	0.0
50	7873	7873	1	0.0
51	13	13	1	0.0
52	271	271	1	0.0
53	17	17	1	0.0
54	13	13	1	0.0
55	220	220	1	0.0
56	2972	2972	1	0.0
57	6196	6196	1	0.0
58	62704	62704	1	0.0
59	64700	64700	1	0.0
60	561	561	1	0.0
61	15673	15673	1	0.0
62	1220	1220	1	0.0
63	381	381	1	0.0
64	2708	2708	1	0.0
65	11	3213	0	0.0
66	19214	19214	1	0.0
67	11	11	1	0.0
68	321	321	1	0.0
69	15156	14037	0	0.0
70	310	310	1	0.0
71	4184	4184	1	0.0
72	6618	6618	1	0.0
73	24385	24385	1	0.0
74	466	11	0	0.0
75	10505	15019	0	0.0
76	13	11	0	0.0
77	1049	1049	1	0.0
78	3749	3749	1	0.0
79	310	310	1	0.0
80	3311	3311	1	0.0
81	279	279	1	0.0
82	11870	328	0	0.0
83	11	318	0	0.0
84	279	279	1	0.0
85	7123	28079	0	0.0
86	11	11	1	0.0
87	321	321	1	0.0
88	279	279	1	0.0
89	1970	1970	1	0.0
90	13	13	1	0.0
91	271	271	1	0.0
92	18	18	1	0.0
93	13	13	1	0.0
94	220	220	1	0.0
95	2972	2972	1	0.0
96	1536	1536	1	0.0
97	73182	73182	1	0.0
98	314	314	1	0.0
99	3297	3297	1	0.0
100	5607	5607	1	0.0
101	366	366	1	0.0
102	64700	64700	1	0.0
103	198	198	1	0.0
104	262	262	1	0.0
105	348	348	1	0.0
106	256	256	1	0.0
107	60783	60783	1	0.0
108	321	321	1	0.0
109	1160	1160	1	0.0
110	15487	15487	1	0.0
111	8024	8024	1	0.0
112	13	13	1	0.0
113	198	198	1	0.0
114	262	262	1	0.0
115	348	348	1	0.0
116	256	256	1	0.0
117	94516	94516	1	0.0
118	6381	6381	1	0.0
119	13	13	1	0.0
120	198	198	1	0.0
121	262	262	1	0.0
122	348	348	1	0.0
123	256	256	1	0.0
124	52790	52790	1	0.0
125	286	286	1	0.0
126	318	318	1	0.0
127	64775	62916	0	0.0
128	2094	2094	1	0.0
129	279	279	1	0.0
130	25212	25212	1	0.0
131	553	553	1	0.0
132	198	198	1	0.0
133	262	262	1	0.0
134	348	348	1	0.0
135	256	256	1	0.0
136	82930	3931	0	0.0
137	6526	6526	1	0.0
138	13	13	1	0.0
139	198	198	1	0.0
140	262	262	1	0.0
141	348	348	1	0.0
142	256	256	1	0.0
143	5183	3984	0	0.0
144	1105	1105	1	0.0
145	318	318	1	0.0
146	8732	64633	0	0.0
147	17839	17839	1	0.0
148	553	553	1	0.0
149	198	271	0	0.0
150	262	262	1	0.0
151	348	348	1	0.0
152	256	256	1	0.0
153	3984	3984	1	0.0
154	22373	22373	1	0.0
155	318	318	1	0.0
156	25451	25451	1	0.0
157	393	5972	0	0.0
158	46	46	1	0.0
159	3	1393	0	0.0
160	679	679	1	0.0
161	77	77	1	0.0
162	3	1088	0	0.0
163	681	56014	0	0.0
164	66753	66753	1	0.0
165	393	393	1	0.0
166	46	46	1	0.0
167	3	3	1	0.0
168	679	679	1	0.0
169	77	77	1	0.0
170	3	61	0	0.0
171	553	61	0	0.0
172	198	271	0	0.0
173	262	262	1	0.0
174	348	348	1	0.0
175	256	256	1	0.0
176	11156	11156	1	0.0
177	22373	22373	1	0.0
178	318	318	1	0.0
179	623	258	0	0.0
180	40284	40284	1	0.0
181	5972	5972	1	0.0
182	13	13	1	0.0
183	524	524	1	0.0
184	303	303	1	0.0
185	40284	40284	1	0.0
186	553	553	1	0.0
187	271	271	1	0.0
188	19	19	1	0.0
189	13	13	1	0.0
190	220	220	1	0.0
191	2972	2972	1	0.0
192	48401	22238	0	0.0
193	286	286	1	0.0
194	279	279	1	0.0
195	14392	68868	0	0.0
196	13909	13909	1	0.0
197	12	12	1	0.0
198	8046	8046	1	0.0
199	68868	68868	1	0.0
200	64700	64700	1	0.0
201	198	271	0	0.0
202	262	262	1	0.0
203	348	348	1	0.0
204	256	256	1	0.0
205	348	348	1	0.0
206	35924	35924	1	0.0
207	51595	51595	1	0.0
208	18053	18053	1	0.0
209	1092	1092	1	0.0
210	424	424	1	0.0
211	369	369	1	0.0
212	318	318	1	0.0
213	64775	64775	1	0.0
214	11767	11767	1	0.0
215	11	11	1	0.0
216	10727	21078	0	0.0
217	553	553	1	0.0
218	198	198	1	0.0
219	262	262	1	0.0
220	348	348	1	0.0
221	256	256	1	0.0
222	348	348	1	0.0
223	760	760	1	0.0
224	9237	9237	1	0.0
225	34906	49283	0	0.0
226	51595	318	0	0.0
227	328	15164	0	0.0
228	12151	12151	1	0.0
229	562	562	1	0.0
230	321	321	1	0.0
231	1160	1160	1	0.0
232	15487	15487	1	0.0
233	1149	1149	1	0.0
234	198	198	1	0.0
235	262	262	1	0.0
236	348	348	1	0.0
237	256	256	1	0.0
238	348	348	1	0.0
239	8046	8046	1	0.0
240	220	220	1	0.0
241	16	16	1	0.0
242	25	25	1	0.0
243	21513	21513	1	0.0
244	264	264	1	0.0
245	94516	94516	1	0.0
246	4749	4749	1	0.0
247	79091	79091	1	0.0
248	1092	1092	1	0.0
249	264	264	1	0.0
250	25212	25212	1	0.0
251	369	369	1	0.0
252	318	318	1	0.0
253	3765	5911	0	0.0
254	11	11	1	0.0
255	1483	1483	1	0.0
256	11	11	1	0.0
257	5956	4055	0	0.0
258	11	11	1	0.0
259	4055	4055	1	0.0
260	553	553	1	0.0
261	198	6558	0	0.0
262	262	262	1	0.0
263	348	348	1	0.0
264	256	256	1	0.0
265	348	348	1	0.0
266	8046	8046	1	0.0
267	220	220	1	0.0
268	17	17	1	0.0
269	25	25	1	0.0
270	52790	52790	1	0.0
271	286	286	1	0.0
272	4749	4749	1	0.0
273	1061	1061	1	0.0
274	369	369	1	0.0
275	279	279	1	0.0
276	16099	16099	1	0.0
277	919	919	1	0.0
278	13	13	1	0.0
279	33027	33027	1	0.0
280	8882	8882	1	0.0
281	708	1056	0	0.0
282	2047	2047	1	0.0
283	11	11	1	0.0
284	7875	7875	1	0.0
285	708	708	1	0.0
286	1245	1245	1	0.0
287	13	13	1	0.0
288	198	198	1	0.0
289	262	262	1	0.0
290	348	348	1	0.0
291	256	256	1	0.0
292	348	348	1	0.0
293	8046	8046	1	0.0
294	220	220	1	0.0
295	18	18	1	0.0
296	25	25	1	0.0
297	3931	3931	1	0.0
298	33146	33146	1	0.0
299	4749	4749	1	0.0
300	19927	19927	1	0.0
301	279	279	1	0.0
302	1788	1788	1	0.0
303	11870	11870	1	0.0
304	310	310	1	0.0
305	279	279	1	0.0
306	1146	1146	1	0.0
307	12	12	1	0.0
308	64633	64633	1	0.0
309	13	13	1	0.0
310	198	198	1	0.0
311	262	262	1	0.0
312	348	348	1	0.0
313	256	256	1	0.0
314	348	348	1	0.0
315	8046	8046	1	0.0
316	220	220	1	0.0
317	19	19	1	0.0
318	25	25	1	0.0
319	5183	5183	1	0.0
320	11206	11206	1	0.0
