pos	boltTok	strictPred	match	margin
0	90700	90700	1	-1.0
1	8340	8340	1	0.0
2	25	25	1	0.0
3	271	271	1	0.0
4	16	16	1	0.0
5	13	13	1	0.0
6	220	220	1	0.0
7	2972	2972	1	0.0
8	2014	1847	0	0.0
9	53983	53983	1	0.0
10	279	279	1	0.0
11	5952	5952	1	0.0
12	64700	64700	1	0.0
13	198	198	1	0.0
14	262	262	1	0.0
15	348	348	1	0.0
16	256	256	1	0.0
17	31819	31819	1	0.0
18	25	25	1	0.0
19	79091	8169	0	0.0
20	3069	3069	1	0.0
21	279	279	1	0.0
22	12515	12515	1	0.0
23	7701	7701	1	0.0
24	6105	6105	1	0.0
25	13	13	1	0.0
26	198	198	1	0.0
27	262	262	1	0.0
28	348	348	1	0.0
29	256	256	1	0.0
30	11106	11574	0	0.0
31	25	25	1	0.0
32	41774	41774	1	0.0
33	6163	6163	1	0.0
34	318	318	1	0.0
35	22230	22230	1	0.0
36	11	11	1	0.0
37	2708	2708	1	0.0
38	11	11	1	0.0
39	15156	874	0	0.0
40	553	553	1	0.0
41	198	198	1	0.0
42	262	262	1	0.0
43	348	348	1	0.0
44	256	256	1	0.0
45	16777	16777	1	0.0
46	25	25	1	0.0
47	9680	9680	1	0.0
48	2250	2250	1	0.0
49	41228	41228	1	0.0
50	13	13	1	0.0
51	271	271	1	0.0
52	17	17	1	0.0
53	13	13	1	0.0
54	220	220	1	0.0
55	2972	2972	1	0.0
56	1847	48401	0	0.0
57	7355	7355	1	0.0
58	279	279	1	0.0
59	9670	9670	1	0.0
60	318	318	1	0.0
61	28232	44	0	0.0
62	60845	60845	1	0.0
63	2383	2383	1	0.0
64	29347	29347	1	0.0
65	188912	188912	1	0.0
66	198	198	1	0.0
67	262	262	1	0.0
68	348	348	1	0.0
69	256	256	1	0.0
70	7806	7806	1	0.0
71	4009	4009	1	0.0
72	5435	5686	0	0.0
73	660	660	1	0.0
74	7736	7736	1	0.0
75	318	318	1	0.0
76	5603	28142	0	0.0
77	3000	3000	1	0.0
78	553	553	1	0.0
79	198	198	1	0.0
80	262	262	1	0.0
81	348	348	1	0.0
82	256	256	1	0.0
83	3095	52022	0	0.0
84	3000	37728	0	0.0
85	12611	12611	1	0.0
86	279	279	1	0.0
87	16078	16078	1	0.0
88	11	11	1	0.0
89	424	424	1	0.0
90	80291	80291	1	0.0
91	440	440	1	0.0
92	6605	6605	1	0.0
93	33470	33470	1	0.0
94	318	13	0	0.0
95	42608	42608	1	0.0
96	24388	24388	1	0.0
97	11	11	1	0.0
98	22817	22817	1	0.0
99	553	553	1	0.0
100	198	198	1	0.0
101	262	262	1	0.0
102	348	348	1	0.0
103	256	256	1	0.0
104	10382	10382	1	0.0
105	261	261	1	0.0
106	89661	89661	1	0.0
107	318	318	1	0.0
108	11855	11855	1	0.0
109	5285	5285	1	0.0
110	29899	29899	1	0.0
111	8	8	1	0.0
112	43000	43000	1	0.0
113	777	777	1	0.0
114	1056	1056	1	0.0
115	4860	4860	1	0.0
116	89661	89661	1	0.0
117	318	318	1	0.0
118	1114	1114	1	0.0
119	25643	25643	1	0.0
120	5131	5131	1	0.0
121	553	553	1	0.0
122	198	198	1	0.0
123	262	262	1	0.0
124	348	348	1	0.0
125	256	256	1	0.0
126	5456	5456	1	0.0
127	6213	6213	1	0.0
128	513	513	1	0.0
129	777	777	1	0.0
130	15739	15739	1	0.0
131	310	310	1	0.0
132	6105	6105	1	0.0
133	1056	1056	1	0.0
134	76990	76990	1	0.0
135	11	11	1	0.0
136	748	321	0	0.0
137	567	567	1	0.0
138	1436	1436	1	0.0
139	6105	6105	1	0.0
140	13	13	1	0.0
141	271	271	1	0.0
142	18	18	1	0.0
143	13	13	1	0.0
144	220	220	1	0.0
145	2972	2972	1	0.0
146	48401	48401	1	0.0
147	286	286	1	0.0
148	471	471	1	0.0
149	47690	47690	1	0.0
150	220	220	1	0.0
151	16	16	1	0.0
152	25	25	1	0.0
153	561	7806	0	0.0
154	8483	64839	0	0.0
155	314	321	0	0.0
156	8394	8394	1	0.0
157	64700	321	0	0.0
158	198	198	1	0.0
159	262	262	1	0.0
160	348	348	1	0.0
161	256	256	1	0.0
162	348	348	1	0.0
163	38663	38663	1	0.0
164	51595	51595	1	0.0
165	79091	1286	0	0.0
166	421	421	1	0.0
167	37728	37728	1	0.0
168	369	5686	0	0.0
169	4022	4022	1	0.0
170	694	694	1	0.0
171	5435	1801	0	0.0
172	1599	660	0	0.0
173	7736	7736	1	0.0
174	13	13	1	0.0
175	198	198	1	0.0
176	262	262	1	0.0
177	348	348	1	0.0
178	256	256	1	0.0
179	348	348	1	0.0
180	48401	48401	1	0.0
181	286	286	1	0.0
182	51595	51595	1	0.0
183	7806	7806	1	0.0
184	4009	4009	1	0.0
185	5686	5686	1	0.0
186	4022	4022	1	0.0
187	11	11	1	0.0
188	694	694	1	0.0
189	424	424	1	0.0
190	369	579	0	0.0
191	3404	3404	1	0.0
192	1801	1801	1	0.0
193	685	685	1	0.0
194	314	314	1	0.0
195	1599	660	0	0.0
196	2086	2086	1	0.0
197	7736	7736	1	0.0
198	11	11	1	0.0
199	1040	1066	0	0.0
200	264	264	1	0.0
201	46026	46026	1	0.0
202	13	13	1	0.0
203	3095	3095	1	0.0
204	411	411	1	0.0
205	3000	3000	1	0.0
206	33060	33060	1	0.0
207	1472	1472	1	0.0
208	3433	3433	1	0.0
209	11	11	1	0.0
210	424	424	1	0.0
211	3070	22651	0	0.0
212	914	914	1	0.0
213	4062	599	0	0.0
214	3977	3977	1	0.0
215	11	11	1	0.0
216	748	748	1	0.0
217	424	424	1	0.0
218	25710	25710	1	0.0
219	4022	3658	0	0.0
220	13	13	1	0.0
221	4213	4213	1	0.0
222	11	11	1	0.0
223	2957	948	0	0.0
224	424	424	1	0.0
225	23716	23716	1	0.0
226	8964	8964	1	0.0
227	11	11	1	0.0
228	424	424	1	0.0
229	682	682	1	0.0
230	310	310	1	0.0
231	1440	1440	1	0.0
232	1472	1472	1	0.0
233	279	279	1	0.0
234	3594	16078	0	0.0
235	11	11	1	0.0
236	864	864	1	0.0
237	369	369	1	0.0
238	1801	9896	0	0.0
239	314	314	1	0.0
240	28486	13280	0	0.0
241	43034	43034	1	0.0
242	1040	1040	1	0.0
243	44857	44857	1	0.0
244	321	321	1	0.0
245	22817	22817	1	0.0
246	13	13	1	0.0
247	271	1577	0	0.0
248	19	19	1	0.0
249	13	13	1	0.0
250	220	220	1	0.0
251	2972	2972	1	0.0
252	48401	48401	1	0.0
253	286	286	1	0.0
254	471	471	1	0.0
255	47690	47690	1	0.0
256	220	220	1	0.0
257	17	17	1	0.0
258	25	25	1	0.0
259	561	561	1	0.0
260	41292	41292	1	0.0
261	14	318	0	0.0
262	3217	3217	1	0.0
263	29347	29347	1	0.0
264	64700	64700	1	0.0
265	198	198	1	0.0
266	262	262	1	0.0
267	348	348	1	0.0
268	256	256	1	0.0
269	348	348	1	0.0
270	38663	38663	1	0.0
271	51595	51595	1	0.0
272	79091	79091	1	0.0
273	1204	1204	1	0.0
274	3000	279	0	0.0
275	12611	12611	1	0.0
276	3594	3594	1	0.0
277	33470	33470	1	0.0
278	321	321	1	0.0
279	5055	1100	0	0.0
280	35742	35742	1	0.0
281	11	11	1	0.0
282	11352	78112	0	0.0
283	6105	6105	1	0.0
284	13	13	1	0.0
285	198	198	1	0.0
286	262	262	1	0.0
287	348	348	1	0.0
288	256	256	1	0.0
289	348	348	1	0.0
290	48401	48401	1	0.0
291	286	286	1	0.0
292	51595	51595	1	0.0
293	1577	1577	1	0.0
294	279	37728	0	0.0
295	37728	37728	1	0.0
296	10480	12611	0	0.0
297	1472	1472	1	0.0
298	279	279	1	0.0
299	3594	3594	1	0.0
300	11	11	1	0.0
301	424	424	1	0.0
302	62532	62532	1	0.0
303	1083	1083	1	0.0
304	1439	1439	1	0.0
305	6605	6605	1	0.0
