pos	boltTok	strictPred	match	margin
0	8160	8160	1	-1.0
1	579	579	1	0.0
2	264	264	1	0.0
3	7047	7047	1	0.0
4	1817	7047	0	0.0
5	25	25	1	0.0
6	271	271	1	0.0
7	16	16	1	0.0
8	13	13	1	0.0
9	220	220	1	0.0
10	2972	2972	1	0.0
11	2014	2014	1	0.0
12	53983	53983	1	0.0
13	279	2570	0	0.0
14	57491	2570	0	0.0
15	64700	64700	1	0.0
16	198	198	1	0.0
17	256	256	1	0.0
18	471	471	1	0.0
19	2972	2972	1	0.0
20	25562	25562	1	0.0
21	64700	64700	1	0.0
22	357	357	1	0.0
23	2716	324	0	0.0
24	3255	3255	1	0.0
25	883	883	1	0.0
26	264	264	1	0.0
27	324	324	1	0.0
28	55965	55965	1	0.0
29	51624	51624	1	0.0
30	852	852	1	0.0
31	49296	49296	1	0.0
32	264	264	1	0.0
33	1876	1876	1	0.0
34	303	303	1	0.0
35	264	264	1	0.0
36	16002	16002	1	0.0
37	13	13	1	0.0
38	198	198	1	0.0
39	256	256	1	0.0
40	471	471	1	0.0
41	2972	2972	1	0.0
42	1536	1536	1	0.0
43	33027	33027	1	0.0
44	64700	64700	1	0.0
45	436	436	1	0.0
46	55965	55965	1	0.0
47	51624	51624	1	0.0
48	11	11	1	0.0
49	1876	1876	1	0.0
50	303	303	1	0.0
51	264	264	1	0.0
52	16002	16002	1	0.0
53	11	11	1	0.0
54	2716	2716	1	0.0
55	3255	3255	1	0.0
56	3443	3443	1	0.0
57	13	13	1	0.0
58	198	198	1	0.0
59	256	256	1	0.0
60	471	471	1	0.0
61	2972	2972	1	0.0
62	51	51	1	0.0
63	588	588	1	0.0
64	14	14	1	0.0
65	36282	36282	1	0.0
66	64700	64700	1	0.0
67	16018	5097	0	0.0
68	381	381	1	0.0
69	24577	24577	1	0.0
70	11	11	1	0.0
71	79434	49986	0	0.0
72	11	11	1	0.0
73	64821	36307	0	0.0
74	11	11	1	0.0
75	466	466	1	0.0
76	49986	49986	1	0.0
77	13	13	1	0.0
78	353	353	1	0.0
79	3172	3172	1	0.0
80	8940	8940	1	0.0
81	364	364	1	0.0
82	264	264	1	0.0
83	19717	19717	1	0.0
84	314	314	1	0.0
85	42900	42900	1	0.0
86	321	321	1	0.0
87	9781	9781	1	0.0
88	22960	22960	1	0.0
89	66445	66445	1	0.0
90	11	11	1	0.0
91	440	440	1	0.0
92	264	264	1	0.0
93	5077	5077	1	0.0
94	383	383	1	0.0
95	3611	95041	0	0.0
96	3511	3511	1	0.0
97	3808	3808	1	0.0
98	854	854	1	0.0
99	2600	2600	1	0.0
100	1260	1260	1	0.0
101	13	13	1	0.0
102	271	271	1	0.0
103	17	17	1	0.0
104	13	13	1	0.0
105	220	220	1	0.0
106	2972	2972	1	0.0
107	62879	12048	0	0.0
108	25568	25568	1	0.0
109	286	286	1	0.0
110	9237	9237	1	0.0
111	22185	73182	0	0.0
112	64700	64700	1	0.0
113	198	198	1	0.0
114	256	256	1	0.0
115	471	471	1	0.0
116	348	348	1	0.0
117	14951	14951	1	0.0
118	51595	51595	1	0.0
119	357	20110	0	0.0
120	8434	8434	1	0.0
121	11	11	1	0.0
122	8831	8831	1	0.0
123	14708	14708	1	0.0
124	13128	13128	1	0.0
125	324	324	1	0.0
126	55965	55965	1	0.0
127	383	383	1	0.0
128	264	264	1	0.0
129	53653	53653	1	0.0
130	13255	13255	1	0.0
131	13	13	1	0.0
132	2091	2091	1	0.0
133	33805	33805	1	0.0
134	11	11	1	0.0
135	11679	11679	1	0.0
136	3594	3594	1	0.0
137	11	11	1	0.0
138	13071	27163	0	0.0
139	88	88	1	0.0
140	49998	49998	1	0.0
141	11	11	1	0.0
142	13618	27163	0	0.0
143	13017	13017	1	0.0
144	13	13	1	0.0
145	198	198	1	0.0
146	256	256	1	0.0
147	471	471	1	0.0
148	348	348	1	0.0
149	12048	12048	1	0.0
150	51595	51595	1	0.0
151	82697	82697	1	0.0
152	11	11	1	0.0
153	449	449	1	0.0
154	8742	8742	1	0.0
155	51624	11	0	0.0
156	11	11	1	0.0
157	14542	1654	0	0.0
158	11	11	1	0.0
159	9006	55218	0	0.0
160	505	505	1	0.0
161	11	11	1	0.0
162	6970	6970	1	0.0
163	38257	264	0	0.0
164	694	694	1	0.0
165	2144	2144	1	0.0
166	440	440	1	0.0
167	780	780	1	0.0
168	95041	95041	1	0.0
169	13	13	1	0.0
170	198	11114	0	0.0
171	256	256	1	0.0
172	471	471	1	0.0
173	348	348	1	0.0
174	760	37947	0	0.0
175	52173	52173	1	0.0
176	51595	51595	1	0.0
177	5797	5797	1	0.0
178	290	290	1	0.0
179	685	23083	0	0.0
180	1238	2261	0	0.0
181	264	264	1	0.0
182	13071	13071	1	0.0
183	13	13	1	0.0
184	50190	20106	0	0.0
185	290	290	1	0.0
186	11	11	1	0.0
187	8720	8720	1	0.0
188	11	9781	0	0.0
189	9002	9781	0	0.0
190	4613	4613	1	0.0
191	11	11	1	0.0
192	264	264	1	0.0
193	21748	21748	1	0.0
194	5392	5072	0	0.0
195	13	13	1	0.0
196	198	198	1	0.0
197	256	256	1	0.0
198	471	471	1	0.0
199	348	348	1	0.0
200	760	760	1	0.0
201	4701	4701	1	0.0
202	51595	51595	1	0.0
203	2717	3437	0	0.0
204	1066	1066	1	0.0
205	264	328	0	0.0
206	5129	4055	0	0.0
207	328	78403	0	0.0
208	1927	8389	0	0.0
209	303	303	1	0.0
210	264	264	1	0.0
211	16002	16002	1	0.0
212	1	1	1	0.0
213	81245	81245	1	0.0
214	13	13	1	0.0
215	3437	10380	0	0.0
216	3520	413	0	0.0
217	424	424	1	0.0
218	6821	3175	0	0.0
219	30	30	1	0.0
220	10380	10380	1	0.0
221	424	424	1	0.0
222	579	579	1	0.0
223	494	494	1	0.0
224	4184	279	0	0.0
225	745	852	0	0.0
226	11	852	0	0.0
227	6970	6970	1	0.0
228	424	424	1	0.0
229	579	579	1	0.0
230	264	494	0	0.0
231	55452	9663	0	0.0
232	11	11	1	0.0
233	264	264	1	0.0
234	2336	2336	1	0.0
235	11	11	1	0.0
236	264	264	1	0.0
237	31708	31708	1	0.0
238	11	11	1	0.0
239	264	466	0	0.0
240	9663	9663	1	0.0
241	11	11	1	0.0
242	466	466	1	0.0
243	264	264	1	0.0
244	3511	3511	1	0.0
245	310	310	1	0.0
246	279	780	0	0.0
247	3162	3162	1	0.0
248	13	13	1	0.0
249	6558	6558	1	0.0
250	579	579	1	0.0
251	708	708	1	0.0
252	440	440	1	0.0
253	264	264	1	0.0
254	4204	6321	0	0.0
255	11	11	1	0.0
256	9781	9781	1	0.0
257	14023	24577	0	0.0
258	291	291	1	0.0
259	1876	1876	1	0.0
260	421	421	1	0.0
261	19213	19213	1	0.0
262	1083	1083	1	0.0
263	279	279	1	0.0
264	324	324	1	0.0
265	55965	55965	1	0.0
266	579	579	1	0.0
267	7193	3712	0	0.0
268	13	321	0	0.0
269	198	198	1	0.0
270	256	256	1	0.0
271	471	471	1	0.0
272	348	348	1	0.0
273	12232	24790	0	0.0
274	51595	51595	1	0.0
275	10710	10710	1	0.0
276	11	11	1	0.0
277	854	854	1	0.0
278	11	11	1	0.0
279	95041	13783	0	0.0
280	11	11	1	0.0
281	279	279	1	0.0
282	9117	9117	1	0.0
283	579	579	1	0.0
284	4779	4779	1	0.0
285	11	11	1	0.0
286	3611	8996	0	0.0
287	75635	75635	1	0.0
288	13	13	1	0.0
289	271	271	1	0.0
290	18	18	1	0.0
291	13	13	1	0.0
292	220	220	1	0.0
293	2972	2972	1	0.0
294	19821	19821	1	0.0
295	286	286	1	0.0
296	279	279	1	0.0
297	92409	25201	0	0.0
298	19087	19087	1	0.0
299	64700	64700	1	0.0
300	198	198	1	0.0
301	256	256	1	0.0
302	471	471	1	0.0
303	348	2972	0	0.0
304	72724	72724	1	0.0
305	51595	51595	1	0.0
306	38093	38093	1	0.0
307	279	6047	0	0.0
308	6047	6047	1	0.0
309	321	321	1	0.0
310	82697	13618	0	0.0
311	579	579	1	0.0
312	13618	13618	1	0.0
313	13	13	1	0.0
314	561	1286	0	0.0
315	13071	13071	1	0.0
316	12077	15734	0	0.0
317	32871	32871	1	0.0
318	11	11	1	0.0
